strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,77,0.7056421618656981,0.08677184239762492,0.1461700155095294,0.6431716869903841,-0.2892110523468687,0.5584415584415584
top-10 composite_score,57,2.8935825759655,0.3313249836393575,0.1678753877155215,1.8042734546376986,-0.15466513906999435,0.6666666666666666
top-10 composite_parsi,57,2.2855004131412695,0.28457130380480367,0.17126479864080285,1.558636369817955,-0.12772615665410225,0.6666666666666666
top-10 f_score,57,1.9160118316757448,0.2527095120554512,0.19624740196665869,1.2528596016793956,-0.15685106779367475,0.631578947368421
top-10 eps_yoy,57,2.842287522073771,0.327613162592183,0.2328319975447329,1.3418765664628314,-0.1723507908103714,0.7017543859649122
top-10 close_to_ma60,56,0.6740968789837485,0.11674234166803421,0.4657061334654336,0.45815716581418414,-0.47292449376368195,0.5
top-10 close_to_ma240,51,0.09775420715442351,0.02218761383261869,0.3725497683742924,0.2431689252454239,-0.4648231173812919,0.49019607843137253
top-10 stock_rs_in_sector_60d,54,0.32345660681755284,0.06425721083642055,0.41286909994958154,0.34827848227906555,-0.4309567173954665,0.5
top-10 low52w_prox_adj,57,0.8266239031551539,0.13523044258471617,0.3964912078955807,0.514748420533173,-0.6253060211837395,0.5614035087719298
top-10 composite_wf_score,57,0.09388440511566931,0.019071161544590653,0.23937975994082247,0.1949918682114976,-0.3086820930670716,0.49122807017543857
top-20 composite_score,57,2.13386642389952,0.2718561551269807,0.131928016724484,1.9045797047343405,-0.1119586602926389,0.7192982456140351
top-20 composite_parsi,57,2.614136202330494,0.3106134930876816,0.1576305817663569,1.8103691408018316,-0.09217126367743489,0.7017543859649122
top-20 f_score,57,2.6814316672221947,0.3157137693377723,0.1904125317712358,1.5489925195206267,-0.17351270600962354,0.6842105263157895
top-20 eps_yoy,57,2.321121422482831,0.28749087216171554,0.20701597961584872,1.3327697510328171,-0.1435960028490778,0.6666666666666666
top-20 close_to_ma60,56,0.9128237886880552,0.14910290058241826,0.3934821261136541,0.5428358361565938,-0.3775793276479761,0.5892857142857143
top-20 close_to_ma240,51,0.8607329161769999,0.15732429024219452,0.3282901103276727,0.6085813835897941,-0.3027378895146259,0.5294117647058824
top-20 stock_rs_in_sector_60d,54,0.9751928620879178,0.16329805418666576,0.3430519510855005,0.6076838402670869,-0.35880721844416186,0.5370370370370371
top-20 low52w_prox_adj,57,1.2374899034587101,0.18476962832105137,0.32055523124527296,0.6882928632550974,-0.4698415817155138,0.5964912280701754
top-20 composite_wf_score,57,0.5375579556298193,0.09479535536829786,0.19560499873341125,0.5601641416515276,-0.22295635079256626,0.5263157894736842
