strategy,total_return,cagr,annual_vol,sharpe,mdd,win_rate_monthly,n_periods_monthly,n_days,years,daily_win_rate
v13 monthly K=20 (production),2.5476,0.3055,0.1888,1.519,-0.1244,0.6667,57.0,,,
v15 rank-trigger (buy<=15 sell>25 sl-10% fee 0.585%),2.8544,0.3235,0.2222,1.374,-0.3166,,,1213.0,4.81,0.5822
