feature,wf_ic_mean,wf_ic_pos_pct,wf_n_windows,looy_min_ic,looy_max_ic,looy_range,regime_bull_ic,regime_bear_ic,regime_sideways_ic
composite_parsi,0.11282258224125204,1.0,5,0.11474757880470958,0.1258089947262631,0.011061415921553533,0.1338726965847462,0.10863225685595577,0.10786145733318162
composite_score,0.09911123113820378,1.0,5,0.09822522741528375,0.1158553900440957,0.01763016262881195,0.08046110985761087,0.11359441942825399,0.13050780207436527
f_score,0.10198537519729467,1.0,5,0.09675737190165185,0.11190016095569909,0.015142789054047243,0.07707284615616432,0.10942864450744064,0.13040088908509098
eps_yoy,0.05703069629913987,1.0,5,0.06154030416094094,0.07116948103770504,0.009629176876764102,0.051872543534907854,0.08721099650014388,0.0725891734478359
close_to_ma60,0.02698670176220455,0.8,5,-0.01639537218001819,0.014774758211243763,0.03117013039126195,-0.028686466475770292,-0.0040571098624475905,0.029049190874747454
stock_rs_in_sector_60d,0.02454704020827801,0.8,5,-0.01065641421002641,0.016578606433969828,0.027235020643996237,-0.03059473622061832,0.013953844892827215,0.0271898200625686
close_to_ma240,0.03086184709200703,0.4,5,-0.020085966558036333,0.014489947769525986,0.03457591432756232,-0.04444586164758716,-0.008978705105529693,0.05204082815677208
low52w_prox_adj,-0.019691175617451363,0.4,5,-0.06421280971056263,-0.02457764683915373,0.039635162871408905,-0.10933289865437289,-0.03588275167767192,0.02475105585786477
composite_wf_score,-0.004639963842457566,0.2,5,-0.005973874326241396,-0.0012299777475035453,0.004743896578737851,-0.011996463030452664,0.004471924369620941,0.0009090841928571957
