strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,21,0.5714401694858247,0.29470313699043027,0.29778267752653603,1.018037506470309,-0.2631484664633944,0.5238095238095238
top-10 composite_parsi,19,1.8616417655424495,0.24775560557058718,0.19856193173376066,1.244051227185515,-0.24210247566002407,0.8421052631578947
top-10 composite_score,19,2.1039266666695022,0.2692883843297773,0.2870025423816187,0.977518960985484,-0.25634916372705074,0.631578947368421
top-10 f_score,19,1.003580664432584,0.1575460581812913,0.2071190263310489,0.8152073970838564,-0.22624561208449911,0.6842105263157895
top-10 eps_yoy,19,1.0653505345113494,0.16496929322231346,0.19341272933562434,0.9012042360350998,-0.304287200962963,0.7368421052631579
top-10 close_to_ma60,19,2.8480401550632366,0.3280313762714704,0.3526688004967907,0.9967442361269494,-0.29399224705138693,0.7894736842105263
top-10 stock_rs_in_sector_60d,18,0.334768691216053,0.06627199403250827,0.3074376561508791,0.35849697318050483,-0.27695273641746143,0.6111111111111112
top-10 close_to_ma240,17,1.7014903550242497,0.2634374510799329,0.5136366219287702,0.6644452328978184,-0.4000050352034623,0.6470588235294118
top-10 low52w_prox_adj,19,1.6723672675766577,0.22990869649951673,0.3465156785060817,0.7644642969140609,-0.27035495338900983,0.6842105263157895
top-10 composite_wf_score,19,0.35975600985450096,0.06683449544297093,0.25203494332667625,0.3810362698020886,-0.4122416515428453,0.631578947368421
top-20 composite_parsi,19,1.868545256124876,0.24838871126839246,0.1896346932159289,1.2916994247735014,-0.1967086428433844,0.7894736842105263
top-20 composite_score,19,1.7339849431310173,0.235825287642351,0.20784785019781685,1.1429188711533769,-0.20685042663253828,0.8421052631578947
top-20 f_score,19,1.0843439537539559,0.16721658509228932,0.1696931527374519,1.0128974957419565,-0.2082425659697813,0.7894736842105263
top-20 eps_yoy,19,1.4013583532726455,0.20253079035305865,0.17133558936948254,1.1888271298179454,-0.24782544208745372,0.7894736842105263
top-20 close_to_ma60,19,2.3685939444723902,0.29134362805686975,0.30140708072126526,1.0203067431940265,-0.3220130181507458,0.8421052631578947
top-20 stock_rs_in_sector_60d,18,1.0113962702216397,0.16800289739106344,0.31423171585621434,0.6581096455467501,-0.32524958337546694,0.6666666666666666
top-20 close_to_ma240,17,1.7325416205084867,0.26683950121684896,0.3589054576732095,0.8361795326669307,-0.3546216451721007,0.7058823529411765
top-20 low52w_prox_adj,19,1.3830427097978646,0.20059401456603587,0.3755039606834869,0.6562648438117059,-0.3087392680597366,0.6842105263157895
top-20 composite_wf_score,19,0.5575561827818427,0.09777785980583475,0.19482288038345152,0.5769086197446743,-0.33571459952237626,0.6842105263157895
top-5 composite_parsi (K-grid),19,0.8983245401119184,0.1444697227604581,0.23256211064261006,0.6933824646966291,-0.28577945208428723,0.631578947368421
top-15 composite_parsi (K-grid),19,1.6380927990610243,0.22657086898054746,0.1696811103136114,1.3191539619363912,-0.23235562416874211,0.7894736842105263
top-30 composite_parsi (K-grid),19,1.94809940266097,0.25559903490765334,0.17687980496283826,1.4054535240048944,-0.16740110651809803,0.8421052631578947
top-50 composite_parsi (K-grid),19,1.6977562658053693,0.23235948664360384,0.15893990504831748,1.4252749179447965,-0.17265116857748097,0.7894736842105263
