strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,57,0.6237530394092798,0.1074394626490578,0.1609001192947251,0.7161933316201556,-0.28664431592235806,0.5789473684210527
top-10 composite_score,57,0.7440735796495046,0.12423149572782921,0.14942112615533112,0.8603481471835593,-0.18084732767643774,0.631578947368421
top-10 dist_52w_high,51,-0.4632354399474755,-0.13618702010519956,0.2163283680511567,-0.5632291850688039,-0.5636550033006563,0.47058823529411764
top-10 composite_parsi,57,0.3322015856349785,0.06224636066470657,0.24424451981115108,0.36623267010190536,-0.40817327006456405,0.49122807017543857
top-10 low52w_prox_adj,57,-0.5277337473857991,-0.14609851054376033,0.4061776068742757,-0.18497565512932762,-0.7752017720436631,0.49122807017543857
top-10 stock_rs_in_sector_60d,54,-0.24994821095599584,-0.06191433331866092,0.3797926119557468,0.021439573933198335,-0.6441151859296284,0.48148148148148145
top-10 close_to_ma60,55,-0.2541098883794902,-0.06196300401084642,0.39359323046354683,0.032045646684039045,-0.701589000763807,0.509090909090909
top-10 ma60_slope_20d,55,-0.32515482574188714,-0.08222663407755082,0.4162990410677034,-0.002301104850341308,-0.6615754072670654,0.4909090909090909
top-10 close_to_ma240,51,-0.15983086136364266,-0.0401487489867578,0.38860263351711927,0.08482221283360811,-0.6282821685784862,0.5294117647058824
top-10 composite_wf_score,57,-0.24743064212400456,-0.058089157715420114,0.2837759315083532,-0.0722440430510543,-0.6106759229420943,0.43859649122807015
top-20 composite_score,57,0.8165840829819355,0.1339139708286643,0.1597949062766798,0.8683300916217341,-0.273111219666093,0.5964912280701754
top-20 dist_52w_high,51,-0.5415176152006846,-0.1676399783798982,0.23013874793976283,-0.6752879889172838,-0.668322062527654,0.43137254901960786
top-20 composite_parsi,57,0.5169246120358615,0.09168585643074278,0.22927030948125912,0.49588119816621584,-0.431025883844648,0.49122807017543857
top-20 low52w_prox_adj,57,-0.2273874389428473,-0.052862563020220854,0.3577658969989065,0.023418745219875338,-0.655748230429823,0.43859649122807015
top-20 stock_rs_in_sector_60d,54,-0.33876367727473444,-0.08782268589320641,0.3290479317780799,-0.11299967159198632,-0.6077073410962233,0.5
top-20 close_to_ma60,55,0.1015429770771692,0.021324974474906666,0.33896631099231933,0.22957052053313787,-0.6466603033037712,0.4909090909090909
top-20 ma60_slope_20d,55,-0.5842764258106667,-0.17428512947145114,0.33727859865018545,-0.39491312660780126,-0.6802085757202088,0.43636363636363634
top-20 close_to_ma240,51,-0.17942767474644095,-0.045464238670317014,0.3525988580637896,0.04103107698216753,-0.6333971581660969,0.49019607843137253
top-20 composite_wf_score,57,-0.4888253113093075,-0.13174723086487983,0.2634783976450023,-0.4008896943111966,-0.6587964403979238,0.40350877192982454
