strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,77,0.7056421618656981,0.08677184239762492,0.1461700155095294,0.6431716869903841,-0.2892110523468687,0.5584415584415584
top-10 composite_score,57,2.6353002632286797,0.31222552620611665,0.1434538108907854,1.9834110296630756,-0.06060346222607871,0.7894736842105263
top-10 composite_parsi,57,3.4647076402834465,0.3702459644322553,0.17991186130104142,1.8589686088014419,-0.10334380259572329,0.7192982456140351
top-10 f_score,57,1.9445919405347651,0.25528439610051445,0.1861721111423504,1.3223664723885018,-0.15014699582102065,0.631578947368421
top-10 turnover_log,57,0.8322486014592423,0.13596548647951145,0.2308566484304623,0.6651956301214887,-0.32907308478715713,0.543859649122807
top-10 close_to_ma60,56,4.370339952692531,0.43360316947980815,0.3661855302361411,1.170871347197896,-0.35012150679828,0.6071428571428571
top-10 stock_rs_in_sector_60d,54,0.48213936481202335,0.09137837104855318,0.34381599783373884,0.42020533109744035,-0.35289577241583114,0.5185185185185185
top-10 close_to_ma240,51,0.517754422071727,0.10315274167188582,0.3649739652354455,0.4503565402668483,-0.37730244986466466,0.5686274509803921
top-10 ma60_slope_20d,55,0.14647672745335383,0.03027323284869121,0.3279805741050238,0.25030705205253106,-0.27605966389764536,0.4909090909090909
top-10 composite_wf_score,57,-0.11974739313088678,-0.026494559069621948,0.21267665055898993,-0.022099982473882174,-0.34984762732066044,0.45614035087719296
top-20 composite_score,57,2.8076135295308475,0.32508185694282865,0.14371446335837537,2.0497034854834864,-0.07866668621449713,0.7543859649122807
top-20 composite_parsi,57,2.961926041353057,0.33621094273093854,0.1587722082298931,1.9236616146966539,-0.09972568039196694,0.7192982456140351
top-20 f_score,57,2.2775861593087705,0.28391924553711867,0.17453136555690696,1.5302582407858623,-0.1262857699760297,0.5964912280701754
top-20 turnover_log,57,0.7387821809017885,0.12351256247862175,0.2278032808505173,0.6236570515831045,-0.3361755782017588,0.543859649122807
top-20 close_to_ma60,56,2.1733296383967633,0.28075936538786217,0.3070321829114016,0.9648520470176792,-0.27044548836370874,0.6071428571428571
top-20 stock_rs_in_sector_60d,54,0.9120376420036005,0.15492761040903402,0.3022540119721732,0.6241749187013829,-0.224842755805573,0.5370370370370371
top-20 close_to_ma240,51,1.0984477217495194,0.1905310925590702,0.3103872813631289,0.7164194316044933,-0.30169859654181563,0.5686274509803921
top-20 ma60_slope_20d,55,-0.06744631438183513,-0.015119851258068251,0.29367659807576557,0.09336861006069319,-0.33587603705467683,0.509090909090909
top-20 composite_wf_score,57,0.2974067281175332,0.056344327137875405,0.18474611864764315,0.3874748015749886,-0.32772005104940427,0.49122807017543857
top-5 composite_parsi (K-grid),57,5.0479470882402975,0.46065970646879184,0.24409074473735756,1.6877516883049968,-0.1422396051072996,0.6842105263157895
top-15 composite_parsi (K-grid),57,2.628778653903928,0.31172957708272375,0.15082866858930333,1.8917430605386585,-0.10222768455206843,0.6842105263157895
top-30 composite_parsi (K-grid),57,2.470686744438641,0.2994861848058623,0.14310387286142429,1.9197096158635432,-0.09414273645935567,0.7192982456140351
top-50 composite_parsi (K-grid),57,2.2602545385238053,0.2824869336417757,0.13283339998176216,1.9566260112310563,-0.081766468298758,0.6842105263157895
