label,cagr,sharpe,mdd,days_full,days_half,days_cash,final_equity
B&H_TWII,0.13200003615257572,0.8250885532686327,-0.31631862810264644,2741,0,0,4.054848168661731
Composite_50/30/20,0.11225102614812199,0.8064393257767914,-0.32283448096317147,2344,309,88,3.3240780304287583
single_m1b_ratio_pct,0.07092710502649124,0.590019411545425,-0.31631862810264644,1761,439,541,2.167784343168904
single_rv30,0.0806618205992089,0.6359459458588649,-0.3518701476293943,2185,302,254,2.40097779278738
single_rv10,0.12742336513387076,0.9831324222851093,-0.2569687563494647,2170,413,158,3.873551052548681
