,rv10,rv30,m1b_ratio_pct,foreign_5d_z,foreign_20d_z
rv10,1.0,0.7019956007697927,0.2962868279652514,-0.18794962318842723,-0.2908767941060112
rv30,0.7019956007697927,1.0,0.30175360190391864,-0.06574375841197239,-0.175623032967383
m1b_ratio_pct,0.2962868279652514,0.30175360190391864,1.0,-0.011599317627986244,0.01420404070652637
foreign_5d_z,-0.18794962318842723,-0.06574375841197239,-0.011599317627986244,1.0,0.5535514174099857
foreign_20d_z,-0.2908767941060112,-0.175623032967383,0.01420404070652637,0.5535514174099857,1.0
