feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.06586220594967242,-0.07127308483357646,0.3982456140350877,0.3587719298245614,0.18418032105131832,-0.3710675823710504,-0.0017995849544423807,0.024591182282959846,0.026390767237402225,0.7333333333333332,0.00038810678501641807
dist_52w_high,51,-0.07101223106809013,-0.09052170004539066,0.26078431372549027,0.26176470588235295,0.18418032105131832,-0.08240006233733539,0.0346934581614715,-0.005946963749026328,-0.040640421910497826,-0.9878787878787878,0.0005388772433621396
rsi_14,57,-0.010975397423239764,0.00823437717493973,0.3035087719298246,0.29122807017543856,0.18418032105131832,-0.30451403856887044,0.009242507459147621,0.023518835032845506,0.014276327573697884,0.8303030303030302,0.3783552891020113
rvol_20,57,0.00614941366182094,0.010302047255723625,0.2473684210526316,0.22543859649122808,0.18418032105131832,-0.19842024541750616,0.014688930413275871,0.012462521367180936,-0.0022264090460949355,0.07878787878787878,0.4453861505553538
turnover_log,57,-0.03936264170990113,-0.046464293645969226,0.23508771929824562,0.2596491228070176,0.18418032105131832,-0.19767944236704618,0.024067682400623285,0.03148953219900777,0.007421849798384485,-0.3696969696969697,0.01202179928062381
close_to_ma60,56,-0.00906945936525182,0.00191088731370371,0.4214285714285714,0.3803571428571429,0.18418032105131832,-0.5398327856760342,-0.004518928218023209,0.022993448335918324,0.027512376553941533,0.9151515151515152,0.5614882687665614
close_to_ma240,51,-0.02019891159926627,-0.008023884934575226,0.40392156862745093,0.3950980392156863,0.18418032105131832,-0.521918985294182,-0.008285003442167885,0.023107514332702556,0.03139251777487044,0.9878787878787878,0.31208738023308347
atr_ratio_20_60,56,-0.011587393993998163,-0.008588639557285,0.3392857142857143,0.3178571428571429,0.18418032105131832,-0.35077621509515355,0.00908380810825891,0.02353204753345437,0.014448239425195462,0.6848484848484848,0.31722246242100394
foreign_pct,53,0.002403848927475376,0.010415024212159917,0.130188679245283,0.14339622641509436,0.18418032105131832,-0.12729465241193977,0.013061280062391083,0.015103271513940933,0.0020419914515498495,0.4545454545454545,0.7089296696798286
total_pct,53,-0.00019491802613159627,0.005293078645353586,0.1283018867924528,0.1377358490566038,0.18418032105131832,-0.1296842678076037,0.012709496010742942,0.013853051594446776,0.0011435555837038345,0.4666666666666666,0.9789914509675595
foreign_net_pressure,53,0.002697602945261,0.010719416984937141,0.12264150943396224,0.13962264150943396,0.18418032105131832,-0.12075861247127816,0.012828685170539905,0.015443423083631277,0.0026147379130913723,0.4666666666666666,0.6761360705899178
trust_net_pressure,53,-0.0002145197733528007,0.0017652328809241947,0.08113207547169811,0.08207547169811322,0.18418032105131832,-0.12952431140470594,,,,,0.9768487478118368
total_net_pressure,53,-2.2247843148192187e-05,0.005496623335652644,0.13207547169811318,0.1349056603773585,0.18418032105131832,-0.12335912000083096,0.013213968778397547,0.014390023126579632,0.0011760543481820849,0.38181818181818183,0.9976005589350139
f_score,57,0.09551374740563734,0.09492640823647212,0.2175438596491228,0.22807017543859648,0.18418032105131832,-0.1304738763452805,,,,,8.11002507157212e-12
z_score,57,-0.030272180872655857,-0.04318211208736492,0.23859649122807017,0.2324561403508772,0.18418032105131832,-0.1644662360654132,0.015004562296881149,0.009269385556139181,-0.005735176740741968,-0.6363636363636362,0.002044411710426515
foreign_pct_4w_delta,52,0.002278405654094291,0.0031718682021245883,0.12499999999999999,0.13846153846153844,0.18418032105131832,-0.1123452998563106,0.019666811423272958,0.010328978041662744,-0.009337833381610214,0.17575757575757575,0.7997953321290797
foreign_pct_8w_delta,51,-0.006602416780706878,-0.010190231360846506,0.13333333333333336,0.1411764705882353,0.18418032105131832,-0.11916030233402557,0.013771118502857298,0.011829986185008677,-0.0019411323178486206,-0.10303030303030303,0.3127409831322451
total_pct_4w_delta,52,-0.001838907830575535,-0.0015120102298470243,0.12692307692307694,0.1423076923076923,0.18418032105131832,-0.1149794896599571,0.017988985283944058,0.009029619179625156,-0.008959366104318902,-0.23636363636363633,0.8300303902813082
total_pct_8w_delta,51,-0.006876662322471084,-0.01102522839698286,0.13137254901960785,0.13627450980392158,0.18418032105131832,-0.12462541303003227,0.013742556417839922,0.00912924336979381,-0.004613313048046111,-0.13939393939393938,0.24232866309028397
trust_pct_4w_delta,52,-0.008780011202420324,-0.013430399732813465,0.09423076923076922,0.09903846153846153,0.18418032105131832,-0.11398136247048601,,,,,0.28037993619936186
foreign_net_5d_4w_sum,53,0.00398239838828646,0.012426934497676548,0.11509433962264153,0.1179245283018868,0.18418032105131832,-0.15500782666135168,0.0059273956901239955,0.016133394437841946,0.010205998747717951,0.5757575757575757,0.582092216088804
foreign_net_5d_52w_z,47,0.00761913810676682,0.01344201627237153,0.3085106382978723,0.2904255319148936,0.18418032105131832,-0.2759941928116627,0.014106921210388113,0.021330477938728838,0.007223556728340725,0.2606060606060606,0.2331065277072471
trust_net_5d_4w_sum,53,-0.0043070944759639,-0.0037845847721446253,0.10000000000000002,0.11698113207547171,0.18418032105131832,-0.14883242299159866,,,,,0.5186802117257796
trust_net_5d_52w_z,47,-0.008141179096648687,-0.007863946436271379,0.20425531914893616,0.19787234042553192,0.18418032105131832,-0.23789826062128544,0.016617685814631404,0.012646858520833915,-0.0039708272937974895,-0.38181818181818183,0.4099259033229984
vol_compression_60_252,51,-0.019129144633667116,-0.0005573354870016664,0.2901960784313726,0.2950980392156863,0.18418032105131832,-0.36912677153317375,-0.0024067604682842417,0.010790426927085196,0.013197187395369438,0.7939393939393938,0.22133299280176205
price_stability_60_252,51,-0.01752608460301073,-0.00018582363525677283,0.25686274509803925,0.257843137254902,0.18418032105131832,-0.2854356082974055,0.00554631591876613,0.014361423399048853,0.008815107480282722,0.9030303030303028,0.22776773166739933
vol_price_divergence,56,-0.010913281764026103,-0.021184802438106092,0.11071428571428572,0.13392857142857142,0.18418032105131832,-0.08253341741913478,0.02945000411491513,0.003381983427272062,-0.026068020687643068,-0.9636363636363635,0.317860175818437
ma60_slope_20d,55,-0.004968563287884233,0.007424712188054557,0.38545454545454544,0.35636363636363627,0.18418032105131832,-0.5478988336479504,-0.00661161834605583,0.01951179430629309,0.02612341265234892,0.8666666666666665,0.7479692071642037
body_strength_20d,57,-0.018642242494164487,-0.017162037904200938,0.3157894736842105,0.2763157894736842,0.18418032105131832,-0.29446686262413424,0.022301913713748574,0.013312527958093125,-0.008989385755655449,-0.6363636363636362,0.06992106091892526
upper_half_close_20d_pct,57,0.05074336484581734,0.059742839709034566,0.11754385964912283,0.12368421052631579,0.18418032105131832,-0.13875759355232176,,,,,2.0805992466289013e-06
stealth_volume_20d,57,0.02607089109445125,0.03116703660143025,0.21578947368421053,0.22105263157894733,0.18418032105131832,-0.1889543506310838,0.011867709504247335,0.01911730545837715,0.007249595954129814,0.8181818181818182,0.0012364338216744868
revenue_score,57,0.02980367225386898,0.02641075533689559,0.1701754385964912,0.18333333333333332,0.18418032105131832,-0.10693797270588404,,,,,7.687953046553327e-05
revenue_score_3m_delta,57,0.01797424312592361,0.020675118850408538,0.16666666666666666,0.1745614035087719,0.18418032105131832,-0.11627972889133244,,,,,0.002483946402721071
revenue_score_6m_delta,57,0.03129081085833422,0.046819992576172045,0.18596491228070175,0.193859649122807,0.18418032105131832,-0.11737877002163291,,,,,6.001772005807494e-06
roe,57,0.04457158905668202,0.0362031429738174,0.24912280701754388,0.24736842105263157,0.18418032105131832,-0.16558976278927146,0.0048962793276206415,0.02327006871537387,0.018373789387753227,0.406060606060606,0.008108017455795922
roa,57,0.02768349108958421,0.01685935554204778,0.23684210526315788,0.22105263157894736,0.18418032105131832,-0.15313771020176264,0.005411839732809234,0.010518316184970148,0.005106476452160914,-0.04242424242424241,0.09906007151178904
gross_margin,57,-0.0064138003383035274,-0.015220723015005773,0.20877192982456141,0.19298245614035087,0.18418032105131832,-0.14317170183410907,0.019281744783683157,0.01287613434716645,-0.006405610436516707,-0.35757575757575755,0.5689640818300621
op_margin,57,0.03410165123914558,0.02697753429620086,0.21403508771929827,0.19912280701754384,0.18418032105131832,-0.14599920480875822,0.012531309583792193,0.008161150298778022,-0.0043701592850141704,0.07878787878787878,0.02224176150169503
debt_ratio,57,0.04349285082538431,0.055331303238650924,0.0456140350877193,0.07456140350877193,0.18418032105131832,-0.07529295912390933,0.009687690900368744,0.026455970139663686,0.016768279239294942,0.9636363636363635,4.706394105473364e-06
gross_margin_4q_delta,57,0.01362792686894924,-0.0005719933093983923,0.2596491228070176,0.24912280701754386,0.18418032105131832,-0.17320331043316234,0.001163782323962914,0.01793499281364682,0.016771210489683906,0.7333333333333332,0.21240521874580973
op_margin_4q_delta,57,-0.007053410007494648,-0.022937229341182867,0.2210526315789474,0.22894736842105262,0.18418032105131832,-0.15864684426342815,0.003557545562411229,0.01288510773954913,0.009327562177137901,0.4666666666666666,0.509547002966662
roe_4q_delta,57,-0.0067548448718513085,-0.02522905279799511,0.25789473684210523,0.24912280701754386,0.18418032105131832,-0.18855645013696254,0.0015285494250772789,0.01756765142954056,0.01603910200446328,0.6,0.5645994836875872
eps_yoy,57,0.07656721345721787,0.05250061401388835,0.26842105263157895,0.2692982456140351,0.18418032105131832,-0.17997023198921705,-0.018365090493319094,0.042107390234424946,0.06047248072774404,0.9636363636363635,4.6447417564698127e-07
sector_return_60d,54,0.014958281397669011,0.014931537520821927,0.21851851851851853,0.22037037037037038,0.18418032105131832,-0.21803289162887374,-0.002024270226793995,0.023827785827304156,0.02585205605409815,0.9393939393939393,0.37870234356762833
sector_return_120d,51,-0.016113570855632423,-0.0029364899531517698,0.16862745098039214,0.17058823529411762,0.18418032105131832,-0.17815846107833727,0.030425479768888635,0.0028546027866583642,-0.02757087698223027,-0.12727272727272726,0.28328324570689345
stock_rs_in_sector_60d,54,-0.01421712058695418,-0.0005769795285387812,0.39814814814814814,0.38703703703703707,0.18418032105131832,-0.5650142640591284,0.0026797526198912344,0.018522193475342504,0.01584244085545127,0.9393939393939393,0.2681588668652077
sector_momentum_rank,54,0.014958281397669011,0.014931537520821927,0.21851851851851853,0.22037037037037038,0.18418032105131832,-0.21803289162887374,-0.002024270226793995,0.023827785827304156,0.02585205605409815,0.9393939393939393,0.37870234356762833
cfo_to_revenue,57,0.020161839511158405,0.019668232536501542,0.1701754385964912,0.17719298245614035,0.18418032105131832,-0.12834713688009078,0.010351212555676744,0.009200810935122717,-0.0011504016205540271,0.0303030303030303,0.058200470565580975
cfo_to_ni,57,0.010983445755960886,0.01363394218139464,0.18596491228070175,0.17807017543859646,0.18418032105131832,-0.12986272698724113,0.016689731097578424,0.01880934323009985,0.0021196121325214277,0.04242424242424241,0.05505693146294482
fcf_to_revenue,57,-0.003008956361515652,-0.023788091031478397,0.2526315789473684,0.23157894736842105,0.18418032105131832,-0.15328112477450387,0.05425769643952701,0.0502610524860852,-0.003996643953441813,-0.49090909090909085,0.8595039140199897
capex_intensity,57,-0.03188125512451394,-0.039108394764127336,0.17894736842105266,0.21315789473684213,0.18418032105131832,-0.12181515171106654,0.05432248451655173,0.054109422050084725,-0.00021306246646700389,-0.5878787878787878,0.018399186972512867
interest_coverage,0,,,,,0.18418032105131832,,,,,,
cfo_to_revenue_4q_delta,57,-0.00044498040065054625,-0.00796120232483907,0.20526315789473687,0.18333333333333335,0.18418032105131832,-0.1530590909554925,0.010220338412887149,0.007408571306802735,-0.0028117671060844136,0.3696969696969697,0.9457670026033143
fcf_to_revenue_4q_delta,57,-0.008419065464211546,-0.014485900285480479,0.21929824561403513,0.22719298245614036,0.18418032105131832,-0.14005641341043898,0.06098711397300079,0.0494626579831943,-0.01152445598980649,-0.01818181818181818,0.4625928252811574
f_score_4q_delta,57,0.052348555915930246,0.043722550397796024,0.2543859649122807,0.2657894736842106,0.18418032105131832,-0.15992074436409995,,,,,8.500178260403869e-07
f_score_1q_delta,57,0.05233044753291173,0.05544968388930883,0.20877192982456144,0.21052631578947367,0.18418032105131832,-0.12156722403202426,,,,,3.081603023468088e-09
composite_score,57,0.13346668334268472,0.13944389538115348,0.22631578947368422,0.22719298245614036,0.18418032105131832,-0.1543955155340031,-0.010511429062520177,0.05825713808306605,0.06876856714558623,0.9999999999999999,1.064741643544908e-15
composite_wf_score,57,0.004996608313085435,-0.0007004636935962797,0.18070175438596492,0.17543859649122806,0.18418032105131832,-0.14721584510891036,0.014298695665099944,0.014972529082428658,0.0006738334173287137,0.3696969696969697,0.33377947691296206
composite_parsi,57,0.09906419722915126,0.10528581598315286,0.2771929824561404,0.27982456140350875,0.18418032105131832,-0.1989090565934863,-0.015322108747667014,0.054372410840818175,0.06969451958848519,0.9878787878787878,2.5425180483926092e-09
