strategy,total_return,cagr,annual_vol,sharpe,mdd,win_rate_monthly,n_periods_monthly,n_days,years,daily_win_rate
v13 monthly K=20 (production),2.5476,0.3055,0.1888,1.519,-0.1244,0.6667,57.0,,,
v15 rank-trigger (buy<=20 sell>30 sl-15% fee 0.585%),2.1904,0.2725,0.2179,1.216,-0.341,,,1213.0,4.81,0.578
