score,label,liquidity,year,ic_mean,ic_ir,ls_spread_20d,ic_n
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2026,0.012017758264494551,0.23043577065192908,0.018276352450807935,80
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2006,0.002613217145267567,0.028180899568030604,0.008475902471487207,227
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2007,0.004348102053955854,0.04296324619325621,0.004676198984641687,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2008,-0.007520001451053609,-0.08523171316849597,-0.005308139390560795,249
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2009,-0.02422001834488094,-0.2775532379777906,0.004452349606721626,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2010,-0.017558973390269628,-0.2439700428550522,0.002675639739285869,250
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2011,0.0006544296090881068,0.009271701171654533,0.0006028300764449532,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2012,-0.010523893321475842,-0.13374413729586196,-0.0019222969729575344,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2013,0.004223332765208291,0.049027927162066214,0.008745853517249554,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2014,-0.0005271171316099362,-0.006342215433532633,0.0017884308185338628,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2015,-0.012749522590388272,-0.27611761309907346,0.001403087900804791,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2016,-0.007832474152569026,-0.2123304271126036,0.00038904851528141077,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2017,-0.00455145704547135,-0.14927335053578755,0.0043019647076188855,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2018,-0.013475875343464557,-0.36290539264146804,-0.0013808723486497245,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2019,-0.00023612411500312155,-0.007571099583665512,0.0018468005410323257,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2020,-0.013247678723697377,-0.3075116297581575,0.003315552162682745,245
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2021,-0.024894870045556704,-0.5742912837862141,-0.0004541183080939287,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2022,-0.0209504709235543,-0.5252508853708603,-0.004553184914746822,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2023,-0.0039135059120057256,-0.09825280403038568,0.004825694071006043,239
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2024,-0.010049105167455757,-0.25364007025655005,0.003120533370892492,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2025,-0.00443917469697331,-0.12268445326190526,0.007347063597717918,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2026,0.009681555695708059,0.1670769048381077,0.010712053767268671,80
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2006,0.010388838113247074,0.11084961076342431,0.0075565381984994545,227
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2007,-0.01759125954180794,-0.16990765104217248,-0.00426378399996903,243
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2008,-0.022009671761625386,-0.22007519531387107,-0.010241296345136888,249
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2009,-0.013558384427822557,-0.13824185805656727,0.005333939574212743,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2010,-0.0028770418043877147,-0.03453350952285941,0.0018518465742590993,250
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2011,-0.013233997607662229,-0.1755016331877419,-0.0014805927980366188,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2012,-0.01083252823323132,-0.13385785469123554,5.761579704136044e-05,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2013,0.004887794388429746,0.05758879540685295,0.0056327926580782665,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2014,0.0026436934958130485,0.03106732695802494,0.002305305980609941,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2015,-0.011518874837058794,-0.25733454252338966,0.0006073509628668448,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2016,-0.014738935836423618,-0.4025728602655584,-0.0009099922428209006,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2017,-0.0033068377773145872,-0.10419287421247567,0.0036216333041874747,246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2018,-0.013013566853758875,-0.338597141927968,-8.011262311918323e-05,247
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2019,-0.003019844400162756,-0.0967773365709055,0.002051393094259465,242
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2020,-0.012294485378676742,-0.3050301094618607,0.003950629658797302,245
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2021,-0.013415382685003995,-0.30254689762174264,0.0006608000343745167,244
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2022,-0.01788901317786424,-0.4672407448383478,-0.0033814753372037928,246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2023,-0.0014933816375471687,-0.04224091171847759,0.00333375798506938,239
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2024,-0.007309150784349623,-0.18648006657361504,0.002403049020617885,242
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2025,-0.007358120654402875,-0.14768730639035238,0.004149465330958315,243
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2026,0.006765550364778801,0.12935101167433236,0.003184990234445975,80
rvol_only,純 RVOL baseline (對照),all,2006,0.004944790198421684,0.0486875873763812,0.009549347673456714,228
rvol_only,純 RVOL baseline (對照),all,2007,-0.013595730416646475,-0.12495049530244572,0.0035257089919202515,243
rvol_only,純 RVOL baseline (對照),all,2008,0.040835202926424854,0.33217376908369006,0.017524289688423567,249
rvol_only,純 RVOL baseline (對照),all,2009,-0.0113256805762372,-0.10772389308113255,0.004380271173161948,247
rvol_only,純 RVOL baseline (對照),all,2010,-0.002104242385084454,-0.021579677211553062,-0.0020629102198338363,250
rvol_only,純 RVOL baseline (對照),all,2011,0.03754483680185311,0.3669045242102325,0.008905473309345498,247
rvol_only,純 RVOL baseline (對照),all,2012,0.01632738476900377,0.151306323859701,0.0021184854924511734,247
rvol_only,純 RVOL baseline (對照),all,2013,0.018056447150478397,0.224990742125531,0.008286995831310161,244
rvol_only,純 RVOL baseline (對照),all,2014,0.019997077922698534,0.20364988310247836,0.005245374905393667,247
rvol_only,純 RVOL baseline (對照),all,2015,0.026030136436585652,0.5323715984134392,0.013525913768204178,244
rvol_only,純 RVOL baseline (對照),all,2016,0.006774085652014867,0.14349673907951108,0.003920690191250523,244
rvol_only,純 RVOL baseline (對照),all,2017,0.006357072385074028,0.16077911927161603,0.007458265776165738,246
rvol_only,純 RVOL baseline (對照),all,2018,0.01230469053725579,0.26398788910441673,0.003941561255033744,247
rvol_only,純 RVOL baseline (對照),all,2019,0.004695680375979414,0.10634438508381175,0.004702247629602559,242
rvol_only,純 RVOL baseline (對照),all,2020,0.005254054505163169,0.10444488693574619,0.008043904785138875,245
rvol_only,純 RVOL baseline (對照),all,2021,0.008391089450520969,0.14701432351840352,0.008975482656106419,244
rvol_only,純 RVOL baseline (對照),all,2022,0.005881725321388895,0.09575507912479206,0.0001200399829470759,246
rvol_only,純 RVOL baseline (對照),all,2023,-0.0006127713052162738,-0.013773656267230297,0.0049973560935630545,239
rvol_only,純 RVOL baseline (對照),all,2024,0.0018543043563534773,0.03685554372515386,0.00846126558418715,242
rvol_only,純 RVOL baseline (對照),all,2025,0.017481607793386693,0.28154612949638397,0.011090117349799433,243
rvol_only,純 RVOL baseline (對照),all,2026,0.013501051273542486,0.22385432586284892,0.014714941033881997,80
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2006,0.003965794438945617,0.030747732277870195,0.011062859890472773,228
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2007,-0.007988687527175563,-0.0771087038158037,-0.008371435618055152,243
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2008,-0.009953054186488597,-0.07301587782436093,-0.004242898643878383,249
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2009,-0.030817721137351914,-0.24156898296742246,-0.007993438589147375,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2010,-0.020634084261237376,-0.19203404944604516,0.0025718652661352367,250
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2011,-0.021956181736391862,-0.18078871001511002,-0.005783778344180382,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2012,-0.016566541457075767,-0.15235360547596152,0.0024189745210523176,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2013,0.0001670232721124589,0.0016635383359803403,0.007275241126992318,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2014,-0.008501127929901198,-0.07854891711427299,0.0013056782546892048,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2015,-0.003287827008908292,-0.029835397838685343,0.0034597411788128323,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2016,-0.02887071552569718,-0.38447154088957824,-0.0028281732668739568,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2017,-0.021454502055687094,-0.2988671728745446,0.005767741505749945,246
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2018,-0.02787535442971343,-0.3073260520920334,0.006202720869507629,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2019,-0.03030505526454967,-0.39722437111804004,-0.006161059070119764,242
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2020,-0.015416802188099075,-0.21212832198153403,0.007900978185403477,245
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2021,-0.03425898289108189,-0.4404529397142026,-0.0016954300500274487,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2022,-0.035659026965332935,-0.45766848519910197,-0.004859104731231969,246
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2023,-0.03046262911218879,-0.47471208618326205,-0.0036417311799142003,239
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2024,-0.024628078909047276,-0.4093263005135886,0.003296276308688678,242
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2025,-0.0026675094893336172,-0.037383187280256976,0.013145330564510133,243
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_50m,2026,0.01098040912625948,0.15040818899425856,0.009596991205759658,80
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2006,0.00042675437706337266,0.0033798512402853764,0.004873702608500442,228
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2007,-0.027282621749149333,-0.23571244098820068,-0.007989622425595158,243
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2008,-0.014118834355719399,-0.09601467578652718,0.001809996080373251,249
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2009,-0.027992066570482532,-0.22066134469383766,-0.008465142578689605,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2010,-0.01220768355128353,-0.1124979052004699,0.0020205831855066025,250
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2011,-0.030238328010612433,-0.2263697065170908,-0.007361762672776866,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2012,-0.022648158123919637,-0.2139980501037858,-0.001237272672812712,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2013,-0.0038649145251957967,-0.037075572296240505,0.003106367092867695,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2014,0.00101205865553425,0.008766212059470022,0.00397183425065605,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2015,-0.006390666378825735,-0.05731683637453023,0.0014673375153715362,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2016,-0.02951812004844178,-0.355667271439071,-0.0017935783928931075,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2017,-0.018692509037242646,-0.2673000348196156,0.005128477375521124,246
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2018,-0.02129217460969139,-0.25007950644066007,0.0036507627049155323,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2019,-0.030555517166776156,-0.40389697521089724,-0.004607573023574889,242
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2020,-0.012149403486660491,-0.15930791914479517,0.007217679730531477,245
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2021,-0.02325636284789564,-0.31374403202990975,0.0031168938492301818,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2022,-0.029931661888475545,-0.39154997152587356,-0.002112731535286542,246
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2023,-0.0281389122728099,-0.44809413189031905,-0.0017677645554350432,239
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2024,-0.022574646217720006,-0.37804339197848186,0.0009376524771136357,242
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2025,-0.0033129880289937724,-0.04418171408357503,0.012080367839856318,243
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_50m,2026,0.006296441551828071,0.09509814097991236,0.01168583265361875,80
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2006,-0.010927486492733313,-0.08487315711531193,0.005722003421335751,227
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2007,-0.005848487602260336,-0.0535362902410554,0.00040883952663662085,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2008,0.005593470086057214,0.04188905387634605,7.666889133770005e-07,249
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2009,-0.03424329678087276,-0.2796921210462695,-0.008640343728695057,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2010,-0.016455541140294648,-0.15164758051793353,0.001578498622802382,250
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2011,0.009700776741255574,0.07984885752586493,0.0021397433634306635,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2012,-0.0007437131844770017,-0.006788724085267845,-0.0008384643593920479,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2013,0.008736290980280883,0.07928516987674725,0.01033248698815472,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2014,0.00591546774190205,0.052447683427102196,0.0039035991219462836,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2015,0.0030468387598553705,0.029661320255906273,0.0023214230428054176,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,2016,-0.006501278028868148,-0.08719969012983782,-0.0002612294496205751,244
