quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2015-12-31,1200,-0.15171801824134148,-0.19598961353315125,-0.26615241854492705
2016-03-31,1194,-0.09048298319437256,-0.18641636017713348,-0.16596485341513592
2016-06-30,1199,-0.1480248180618458,-0.1672042770195709,-0.10065332458522908
2016-09-30,1211,-0.08806411475464547,0.02477443420570417,0.023111755269626166
2016-12-31,1238,0.11524128216329377,0.06261634843046138,0.11205407002038867
2017-03-31,1234,-0.030775014711246492,0.004593209458910735,0.0024040788430886827
2017-06-30,1239,0.05306833163228098,0.10553828364138719,0.019636941399181092
2017-09-30,1248,0.09598824629839864,-0.011812498495124786,0.015712218444947516
2017-12-31,1273,-0.08097590614328083,-0.0579913124445741,-0.03638636802832527
2018-03-31,1279,0.04413452319940232,0.02133197464792118,0.03707638270641353
2018-06-30,1290,-0.00537406065417831,0.00818247795318267,0.046548361585903954
2018-09-30,1289,-0.007146662955688796,-0.008786249077855201,0.07620056836617495
2018-12-31,1298,0.02175780153322231,0.06007537938244217,0.0469397065390811
2019-03-31,1295,0.07983237133917706,0.0828861781541817,0.15061658364045422
2019-06-30,1311,0.012404898331031854,0.0024403306531549343,0.1416968108991175
2019-09-30,1317,-0.012009539032373721,0.13245631493610288,0.10417406426811786
2019-12-31,1332,0.18022266342788182,0.1712603145850797,0.04356347512457451
2020-03-31,1325,-0.0486464434985019,-0.07441292464536249,-0.17385434838169253
2020-06-30,1335,-0.08012785913355022,-0.3092829513091449,-0.1476360219803286
2020-09-30,1335,-0.2681140432852504,-0.22827591495062466,-0.08193674168140841
2020-12-31,1372,-0.03459786017437596,0.16138944750833195,-0.024722288331322607
2021-03-31,1376,0.2033643930378216,0.08105643321435374,0.03397580351724926
2021-06-30,1386,-0.0864364947252637,-0.16742491149025052,-0.08144629713953737
2021-09-30,1386,-0.13617409616912982,-0.052853941784031605,-0.03835483662519347
2021-12-31,1397,0.056757057075644615,0.04281599654919577,0.06462419890638049
2022-03-31,1387,-0.05511983387010872,-0.008371288779279203,0.1144462451522361
2022-06-30,1387,0.05656582602558067,0.10567292473127375,0.15736663408429988
2022-09-30,1378,-0.005759400124816024,0.08637164976087001,0.08265826371181906
2022-12-31,1400,0.09502390123996442,0.15200698454507597,0.09660821409719139
2023-03-31,1398,0.01906934853066063,0.026647080426872836,-0.023950957919976
2023-06-30,1406,0.040765847036653174,0.025138585077283757,-0.07409026291451787
2023-09-30,1408,-0.018154852639348316,-0.02364242621495837,-0.1331956948144865
2023-12-31,1425,-0.0002281383470361387,-0.08603465195937639,-0.11633207183222857
2024-03-31,1423,-0.08656643105799487,-0.10259176137419718,-0.0711480699644834
2024-06-30,1429,-0.05983576013656162,-0.06798157853985203,-0.030919100827680866
2024-09-30,1428,-0.032644682387438624,0.06069723454586511,-0.02112226559770106
2024-12-31,1432,0.08545682244723485,0.05855972502413253,-0.0328058433933276
