target,model,use_self_lag,feature,importance,rank
trust,logistic,False,ret_120d,0.1655383863664717,6.0
trust,logistic,False,atr_pct,0.13444652320700567,7.0
trust,logistic,False,ma20_ma60_ratio,0.10213080067682447,8.0
trust,logistic,False,ret_60d,0.10138704091990534,9.0
trust,logistic,False,rvol_20,0.08110062663590047,10.0
trust,logistic,False,ret_20d,0.05260290307037698,11.0
trust,logistic,False,foreign_flow_20d_norm,0.0477020137545977,12.0
trust,logistic,False,rev_yoy,0.02279988267004367,13.0
trust,logistic,False,short_ratio,0.015729563973465827,14.0
trust,logistic,True,mcap_log,0.5301796146172404,1.0
trust,logistic,True,trust_flow_20d_norm,0.505957056447119,2.0
trust,logistic,True,margin_utilization,0.2784787883289086,3.0
trust,logistic,True,rsi_14,0.2644062088082077,4.0
trust,logistic,True,sbl_ratio,0.19457044494130263,5.0
trust,logistic,True,f_score,0.18870837885734285,6.0
trust,logistic,True,ret_120d,0.13752498494907367,7.0
trust,logistic,True,atr_pct,0.1366231571724939,8.0
trust,logistic,True,ret_20d,0.10692463646235326,9.0
trust,logistic,True,rvol_20,0.08577979826199315,10.0
trust,logistic,True,ret_60d,0.045803135033982645,11.0
trust,logistic,True,rev_yoy,0.029348923433253175,12.0
trust,logistic,True,short_ratio,0.02308467299977174,13.0
trust,logistic,True,foreign_flow_20d_norm,0.012661694232493404,14.0
trust,logistic,True,ma20_ma60_ratio,0.0035918822679504195,15.0
