date,ret,n_held,nav
2016-01-15,-3.9066914494223506e-05,10,0.9999609330855058
2016-01-18,0.014837643838291148,10,1.0147979972628338
2016-01-19,-0.0033627288784463414,10,1.0113855067316486
2016-01-20,-0.023209297699338494,10,0.9879119594171174
2016-01-21,-0.0051562822466378,10,0.9828180065195338
2016-01-22,0.01070169989821108,10,0.9933358298798638
2016-01-25,0.02592030172895775,10,1.0190833943085345
2016-01-26,-0.016229529727047932,10,1.002544150066263
2016-01-27,0.004715707737976249,10,1.0072718552723934
2016-01-28,0.007593110914894019,10,1.014920182190928
2016-01-29,0.01706882180205065,10,1.0322436739240497
2016-01-30,0.0,10,1.0322436739240497
2016-02-01,0.0,10,1.0322436739240497
2016-02-02,0.007495448678406158,10,1.0399808034055569
2016-02-03,-0.019717040772974325,10,1.0194754595016988
2016-02-15,0.002024465202408005,11,1.021539352094169
2016-02-16,0.01212481500962463,11,1.0339253277633627
2016-02-17,0.00038211107250541896,11,1.034320402079245
2016-02-18,0.003805598519561627,11,1.03825661027015
2016-02-19,0.006972697774374128,11,1.0454960598258098
2016-02-22,-0.010945441646629462,11,1.0340526437112054
2016-02-23,0.008420165680241641,11,1.0427595382933457
2016-02-24,0.003971049016901646,11,1.0469003875327503
2016-02-25,0.003893108335009847,11,1.050976084157379
2016-02-26,0.005554263544485113,11,1.0568134823077402
2016-03-01,0.00855440092395656,11,1.0658538885372433
2016-03-02,0.0034600766240001635,11,1.0695418246615704
2016-03-03,0.0006872955885632758,11,1.0702769160394443
2016-03-04,0.0008729849962425842,11,1.0712112517289716
2016-03-07,-0.003446350003212907,11,1.0675194828281338
2016-03-08,0.007021581742225558,11,1.0750151581382297
2016-03-09,-0.009290459104551426,11,1.0650277737747735
2016-03-10,0.0032691966388246644,11,1.068509558993053
2016-03-11,0.01066107834852798,11,1.0799010231176291
2016-03-14,0.004271369542326279,11,1.0845136794565007
2016-03-15,-0.020429611529401936,11,1.062357486286882
2016-03-16,0.013436631244883984,11,1.0766319920803606
2016-03-17,-0.0004459708810480099,11,1.076151845562288
