universe,score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,7,0.008485074406259964,0.6187885382662314,2757
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,8,0.008985463361465322,0.6220529561117156,2757
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,9,0.010644015843210508,0.6035545883206384,2757
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,10,0.015058079270426319,0.6282190787087414,2757
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,1,0.031421534459291016,0.6507177033492823,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,2,0.02847134904171024,0.6672800883327199,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,3,0.026959276460706814,0.6790577843209422,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,4,0.026072122054145462,0.6867868973132131,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,5,0.025862142150106664,0.6908354803091645,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,6,0.02678123401903695,0.6864188443135811,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,7,0.026624985328555742,0.6753772543246227,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,8,0.02682403219450235,0.6613912403386087,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,9,0.03011509328783883,0.6555023923444976,2717
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,10,0.039193331445176796,0.6591829223408171,2717
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,1,0.002334351938872828,0.5844436442203818,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,2,0.0017946512567411628,0.5999279798343536,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,3,0.002082385170686874,0.5938062657544112,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,4,0.0017434786773283248,0.583003240907454,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,5,0.002505919801938326,0.6182931220741807,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,6,0.0029533308441372814,0.610010803024847,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,7,0.0026026092966187006,0.602448685631977,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,8,0.0020172028787168745,0.5970471732084984,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,9,0.0023454582218035273,0.6006481814908174,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,10,0.004468734978275787,0.621173928700036,2777
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,1,0.009387113901862266,0.5890658942795076,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,2,0.0074172095936051955,0.6082548877624909,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,3,0.00825830626941098,0.6049963794351919,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,4,0.008036711007664177,0.5992034757422158,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,5,0.010837019346155696,0.6212889210716872,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,6,0.011649344450010018,0.6238233164373642,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,7,0.010048246556857496,0.6263577118030412,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,8,0.00903970853243213,0.6093410572049239,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,9,0.009897329581105714,0.6169442433019551,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,10,0.013753830236478717,0.6386676321506155,2762
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,1,0.02601119537477939,0.6252755326965467,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,2,0.02302381322113629,0.6469507714915503,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,3,0.025249886205784906,0.6407053637031594,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,4,0.02474005367965657,0.6531961792799412,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,5,0.033977274433733266,0.6818515797207936,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,6,0.032728218789142526,0.6748714180749449,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,7,0.029494956820929986,0.6700955180014695,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,8,0.027452655995472953,0.6763409257898604,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,9,0.027400689671332287,0.6818515797207936,2722
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,10,0.038433318982374044,0.6807494489346069,2722
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,1,0.002628062386854028,0.5964467005076142,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,2,0.0018516343304045015,0.5855692530819434,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,3,0.002051820929539367,0.6080493110949964,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,4,0.0023097933883577484,0.6091370558375635,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,5,0.0025490476743444458,0.6287164612037709,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,6,0.0023520452186983785,0.602610587382161,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,7,0.0020680031957219336,0.5949963741841915,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,8,0.0021622881283955985,0.597897026831037,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,9,0.0031903807239467264,0.6065989847715736,2758
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,10,0.003789188612146131,0.603698332124728,2758
