score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d
sig_rvol_log_rn,log(RVOL),all,2006,0.003665122375010482,0.035943400707179225,46.49122807017544,0.5427334487595935,228,0.00895364789535492
sig_rvol_log_rn,log(RVOL),all,2007,-0.009707335839722903,-0.0885086457298075,44.8559670781893,-1.379713241818267,243,0.005527242075506684
sig_rvol_log_rn,log(RVOL),all,2008,0.04064724107918418,0.3666784679532328,66.26506024096386,5.786088628449442,249,0.019453270503218316
sig_rvol_log_rn,log(RVOL),all,2009,0.0010172182747815177,0.009123253580294968,49.392712550607285,0.14338318487507573,247,0.005682001683362262
sig_rvol_log_rn,log(RVOL),all,2010,0.004170917458077476,0.04428785437775967,48.0,0.7002524625778987,250,-0.0018227921436543316
sig_rvol_log_rn,log(RVOL),all,2011,0.033746364649301634,0.33169337259329795,65.18218623481782,5.212970542340724,247,0.005222955371322575
sig_rvol_log_rn,log(RVOL),all,2012,0.023318240102861067,0.24794500516153986,61.53846153846154,3.896761632353888,247,0.00594639940871191
sig_rvol_log_rn,log(RVOL),all,2013,0.024012734306729608,0.3097874576211135,62.295081967213115,4.839034780970495,244,0.010936037925074357
sig_rvol_log_rn,log(RVOL),all,2014,0.02031968263156158,0.21059744636452515,59.10931174089069,3.309798672210892,247,0.005565745443889625
sig_rvol_log_rn,log(RVOL),all,2015,0.02030723649947311,0.4074791883603585,63.934426229508205,6.365028397660393,244,0.00866759074942719
sig_rvol_log_rn,log(RVOL),all,2016,0.011383614126542076,0.23143102010269107,57.786885245901644,3.615068099503578,244,0.005593428092962954
sig_rvol_log_rn,log(RVOL),all,2017,0.008132888633452798,0.20588344655285118,61.382113821138205,3.2291556817320313,246,0.0074252809553043125
sig_rvol_log_rn,log(RVOL),all,2018,0.012502323365156942,0.25203464170214607,59.91902834008097,3.9610353157512366,247,0.0039297651710209205
sig_rvol_log_rn,log(RVOL),all,2019,0.007371207110365827,0.16514804387824158,57.85123966942148,2.5691006379719585,242,0.006013647837940006
sig_rvol_log_rn,log(RVOL),all,2020,0.01292669648447465,0.24486726532246952,58.77551020408164,3.832778955078632,245,0.012394567573871567
sig_rvol_log_rn,log(RVOL),all,2021,0.01054885891163374,0.18895061677849612,59.42622950819673,2.951502986913223,244,0.009112821615706864
sig_rvol_log_rn,log(RVOL),all,2022,0.0065574167597552925,0.10814738431662424,54.0650406504065,1.6962254439471762,246,0.0007155590508196295
sig_rvol_log_rn,log(RVOL),all,2023,0.0015287824408167904,0.034385096916533756,51.88284518828452,0.5315806982014125,239,0.00606061608630052
sig_rvol_log_rn,log(RVOL),all,2024,0.0015863734948133408,0.03204102399285739,48.34710743801653,0.4984413575132272,242,0.008614974541917841
sig_rvol_log_rn,log(RVOL),all,2025,0.018360464137871957,0.30016147227253265,56.79012345679012,4.67905428405633,243,0.011850033815579223
sig_rvol_log_rn,log(RVOL),all,2026,0.015616837253915033,0.25752428148273554,63.74999999999999,2.303367197008748,80,0.016445221405054094
sig_atr_pct_rn,ATR% (raw rank),all,2006,0.017431214684556242,0.0862881237176082,54.8936170212766,1.3227718885944528,235,-0.01915535945256133
sig_atr_pct_rn,ATR% (raw rank),all,2007,-0.02652814955688334,-0.10951879318612562,43.44262295081967,-1.710738237975251,244,-0.0027944778912741414
sig_atr_pct_rn,ATR% (raw rank),all,2008,0.006674949665139424,0.031186344729937032,47.01195219123506,0.4940846207900346,251,-0.00781873959165117
sig_atr_pct_rn,ATR% (raw rank),all,2009,0.09383984749515764,0.5122746477134908,71.4859437751004,8.08355759290458,249,-0.06729979297787884
sig_atr_pct_rn,ATR% (raw rank),all,2010,-0.03652521847087031,-0.15941314295700487,36.4,-2.5205431035508234,250,0.020185986951548215
sig_atr_pct_rn,ATR% (raw rank),all,2011,-0.1016951241605545,-0.4958223698359976,26.720647773279353,-7.792460211008899,247,0.026151844905024264
sig_atr_pct_rn,ATR% (raw rank),all,2012,-0.0332338517011636,-0.1283655099062706,45.96774193548387,-2.0215020715070318,248,-0.015085865094473048
