score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,10,top,-0.01562265695076968,-0.23044084325769942,39.34459187776437,-16.252207039916875,4974,0.0022144501407853102,0.0025,-0.00278554985921469,0.2727272727272727,-0.0027929034614539126
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,10,top,-0.01562265695076968,-0.23044084325769942,39.34459187776437,-16.252207039916875,4974,0.0022144501407853102,0.0035,-0.00478554985921469,0.2727272727272727,-0.0027929034614539126
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,20,top,-0.01851700238910223,-0.27257680438847337,37.02659145850121,-19.204578603517902,4964,0.0027034109959318056,0.0025,-0.0022965890040681945,0.17575757575757575,-0.0040475771741793915
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,20,top,-0.01851700238910223,-0.27257680438847337,37.02659145850121,-19.204578603517902,4964,0.0027034109959318056,0.0035,-0.0042965890040681945,0.17575757575757575,-0.0040475771741793915
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,60,top,-0.016845706178062456,-0.25170886686388244,37.59138911454102,-17.662718064089066,4924,0.003703187444970668,0.0025,-0.001296812555029332,0.309090909090909,-0.001525487692937963
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,60,top,-0.016845706178062456,-0.25170886686388244,37.59138911454102,-17.662718064089066,4924,0.003703187444970668,0.0035,-0.003296812555029332,0.309090909090909,-0.001525487692937963
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,10,top,-0.01638730240277089,-0.2377633638798984,39.324487334137515,-16.768639454950847,4974,0.0010479491831749564,0.0025,-0.003952050816825044,0.49090909090909085,-0.0039594044190642665
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,10,top,-0.01638730240277089,-0.2377633638798984,39.324487334137515,-16.768639454950847,4974,0.0010479491831749564,0.0035,-0.005952050816825044,0.49090909090909085,-0.0039594044190642665
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,20,top,-0.017688221529356018,-0.2538859095961936,37.99355358581789,-17.88769927839071,4964,0.0016442572516598732,0.0025,-0.003355742748340127,0.4424242424242424,-0.005106730918451324
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,20,top,-0.017688221529356018,-0.2538859095961936,37.99355358581789,-17.88769927839071,4964,0.0016442572516598732,0.0035,-0.005355742748340127,0.4424242424242424,-0.005106730918451324
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,top,-0.012963882125777784,-0.1878148116811039,39.86596263200649,-13.179194314109083,4924,0.003736370592237498,0.0025,-0.0012636294077625022,0.34545454545454546,-0.0014923045456711331
