me_date,n,ic,p,factor,horizon_m
2017-02-28,1091,0.020053882048293375,0.5081681578737851,yoy,1
2017-03-31,1091,0.02907025549790947,0.3374071496429658,yoy,1
2017-04-30,1091,-0.04939807926370729,0.10294138278559059,yoy,1
2017-05-31,1118,-0.023058586780246276,0.44115841055892535,yoy,1
2017-06-30,1118,0.013603525455674108,0.6495650039639171,yoy,1
2017-07-31,1118,0.055738916904186475,0.06245124520402478,yoy,1
2017-08-31,1120,-0.0013242793251897701,0.9646896678048721,yoy,1
2017-09-30,1120,0.0295877194276799,0.3225137534250945,yoy,1
2017-10-31,1120,0.05799518786613571,0.05233641262370011,yoy,1
2017-11-30,1143,-0.01569319052767792,0.5961036494106543,yoy,1
2017-12-31,1143,0.013811158211630021,0.6408985159200944,yoy,1
2018-01-31,1143,-0.02608447503853643,0.37828734246968454,yoy,1
2018-02-28,1146,-0.0053020048790739325,0.8577083085803642,yoy,1
2018-03-31,1146,0.05756860801602607,0.051374594481777204,yoy,1
2018-04-30,1145,-0.0006423742534270324,0.9826770347562077,yoy,1
2018-05-31,1159,-0.06310841072546823,0.031690591707884054,yoy,1
2018-06-30,1159,0.01328363837401103,0.6514409373891425,yoy,1
2018-07-31,1159,-0.04037961747742673,0.16951489009155632,yoy,1
2018-08-31,1163,0.007606712112774308,0.7955311817433589,yoy,1
2018-09-30,1163,0.014811064190569153,0.6138517005793809,yoy,1
2018-10-31,1162,0.007694723636713214,0.7933058323073234,yoy,1
2018-11-30,1177,-0.027721744839178608,0.3419933692114513,yoy,1
2018-12-31,1177,-0.03892844417185538,0.1820001458769958,yoy,1
2019-01-31,1177,-0.04147389794450772,0.1550370001242385,yoy,1
2019-02-28,1196,-0.00496064156960217,0.8639275821594129,yoy,1
2019-03-31,1196,-0.03348324773860235,0.24724271341402887,yoy,1
2019-04-30,1197,0.08553381068559315,0.0030603606812084415,yoy,1
2019-05-31,1215,-0.03541253905544613,0.21739452745987142,yoy,1
2019-06-30,1215,0.0027827314109945198,0.9228077142658793,yoy,1
2019-07-31,1215,-0.04641642374285221,0.10584879124511602,yoy,1
2019-08-31,1217,-0.03688140068351912,0.19853298021467397,yoy,1
2019-09-30,1217,-0.026524619151110807,0.35520673717305207,yoy,1
2019-10-31,1217,0.01393274813750257,0.627268267348165,yoy,1
2019-11-30,1238,-0.08919218805483758,0.001681769557299069,yoy,1
2019-12-31,1238,0.030264595153794316,0.28731302211558013,yoy,1
2020-01-31,1238,-0.05016326597083511,0.07767582543945524,yoy,1
2020-02-29,1242,0.02204745857730178,0.43756657271105537,yoy,1
2020-03-31,1242,0.026208354123310785,0.35607816119137425,yoy,1
2020-04-30,1242,-0.014039387488517567,0.6210925272166301,yoy,1
2020-05-31,1262,-0.004225754097528346,0.8807880465691729,yoy,1
2020-06-30,1262,0.031187797040981746,0.26824782075645737,yoy,1
2020-07-31,1262,0.045210267821861154,0.10842609006867318,yoy,1
2020-08-31,1269,-0.04303700650967845,0.12544656297049947,yoy,1
2020-09-30,1270,0.007023041819468971,0.8025585877196307,yoy,1
2020-10-31,1270,0.03760454293861429,0.1804829825900517,yoy,1
2020-11-30,1277,-0.006911235034478343,0.8051133063038749,yoy,1
2020-12-31,1277,0.021149579216927356,0.45017252697156085,yoy,1
2021-01-31,1277,0.09635832232562076,0.0005646877105564211,yoy,1
2021-02-28,1277,0.04682524886242618,0.09440892665003771,yoy,1
2021-03-31,1277,-0.006254960307950369,0.8232980178052531,yoy,1
2021-04-30,1277,-0.04824220178547508,0.08484209406908987,yoy,1
2021-05-31,1288,-0.0030934613875108156,0.911685469720076,yoy,1
2021-06-30,1288,0.011967185710067234,0.6678611479620604,yoy,1
2021-07-31,1288,-0.07746768717638126,0.005407541594278062,yoy,1
2021-08-31,1294,-0.07557700148746808,0.006529470754835158,yoy,1
2021-09-30,1295,0.053873646172470833,0.052594148662003966,yoy,1
2021-10-31,1296,0.028846723525777253,0.29941164433046896,yoy,1
2021-11-30,1305,-0.018872251692904775,0.49576812845372886,yoy,1
2021-12-31,1305,-0.03639135326224509,0.1889117802708527,yoy,1
2022-01-31,1308,0.02192582028584128,0.4281784784363919,yoy,1
2022-02-28,1311,0.01574511487443807,0.5689582346737888,yoy,1
2022-03-31,1311,-0.0457310217436502,0.09790358046925866,yoy,1
2022-04-30,1311,0.041641370853599424,0.1318221663270885,yoy,1
2022-05-31,1314,0.006852556582676879,0.8040061434031787,yoy,1
2022-06-30,1314,-0.04569193293502284,0.09780658695730321,yoy,1
2022-07-31,1314,0.001812517761933967,0.9476646567173769,yoy,1
2022-08-31,1315,0.12419492945820357,6.2755487130017155e-06,yoy,1
2022-09-30,1315,0.004352942519059753,0.8746923511584835,yoy,1
