conv,scale,cap,IC,IR,spread,winrate,grade
2.0,4.0,20.0,0.03976686468418544,0.5022474701422001,0.014999165454950383,0.5792880258899676,A
2.0,4.0,30.0,0.03981550242777958,0.5013017784175273,0.021562642194491197,0.6116504854368932,A
0.0,4.0,20.0,0.03972617607946074,0.5012926705227402,0.014933719398833017,0.5792880258899676,A
0.5,4.0,20.0,0.039712467361218626,0.5010806302282603,0.014933719398833017,0.5792880258899676,A
1.0,4.0,20.0,0.03969111118244004,0.5009579755648791,0.014893069465485242,0.5792880258899676,A
0.0,4.0,30.0,0.03977503037709155,0.5003525343256493,0.021497196138373826,0.6116504854368932,A
0.5,4.0,30.0,0.03976135554151368,0.5001412567589297,0.021497196138373826,0.6116504854368932,A
1.0,4.0,30.0,0.03973996247650498,0.5000177573954631,0.021456546205026055,0.6116504854368932,A
2.0,2.0,30.0,0.04076672907662701,0.49274771920893023,0.02497206721232849,0.627831715210356,A
3.0,2.0,30.0,0.04070083488332321,0.4921123808995745,0.024764178256718505,0.6245954692556634,A
3.0,4.0,20.0,0.03899103000901363,0.49196095931650397,0.014307429405695848,0.5857605177993528,A
0.0,2.0,30.0,0.0407265186877924,0.49167222294602175,0.02487831121930424,0.627831715210356,A
0.5,2.0,30.0,0.040712912601105,0.4915123176989845,0.02487831121930424,0.627831715210356,A
1.0,2.0,30.0,0.040691530732842277,0.4914701505143682,0.024837661285956474,0.627831715210356,A
3.0,4.0,30.0,0.039040295147440625,0.4912465470668446,0.02055036671470408,0.6116504854368932,A
2.0,3.0,30.0,0.03950534181797528,0.48902640106875656,0.022081174758392694,0.6116504854368932,A
2.0,3.0,20.0,0.039169742064375096,0.4886134803245277,0.01629676074429777,0.598705501618123,A
3.0,3.0,30.0,0.03943923286601705,0.48835879620148426,0.02186630104960445,0.6084142394822006,A
0.0,3.0,30.0,0.03946506711870802,0.48810880605633844,0.022019929125004528,0.6116504854368932,A
3.0,3.0,20.0,0.03910340400072049,0.48794867296986116,0.01608188703550953,0.598705501618123,A
0.5,3.0,30.0,0.03945141593666645,0.48790292690856335,0.022019929125004528,0.6116504854368932,A
1.0,3.0,30.0,0.03943001196421571,0.48777305898820633,0.021979279191656757,0.6116504854368932,A
0.0,3.0,20.0,0.039129238213086726,0.4876923717634935,0.016235515110909607,0.598705501618123,A
0.5,3.0,20.0,0.03911555389575621,0.4874836514119589,0.016235515110909607,0.598705501618123,A
1.0,3.0,20.0,0.03909417339151524,0.4873527079026024,0.016194865177561836,0.598705501618123,A
2.0,2.0,20.0,0.04036184796483286,0.48724745543798104,0.024075819183352377,0.6181229773462783,A
3.0,2.0,20.0,0.04029574795753593,0.4866087017673214,0.02386793022774239,0.6148867313915858,A
0.0,2.0,20.0,0.04032137400051733,0.4861782374089965,0.02398206319032813,0.6181229773462783,A
0.5,2.0,20.0,0.040307739031139524,0.4860208826071582,0.02398206319032813,0.6181229773462783,A
1.0,2.0,20.0,0.0402863900964829,0.4859778408869205,0.023941413256980355,0.6181229773462783,A
2.0,4.0,10.0,0.04022672196279777,0.4687133530676808,0.011355318933639596,0.5210355987055016,A
0.0,4.0,10.0,0.04018618888697408,0.46770415463625953,0.011289872877522226,0.5210355987055016,A
0.5,4.0,10.0,0.04017142377632735,0.4675569001992987,0.011289872877522226,0.5210355987055016,A
1.0,4.0,10.0,0.04014592661150985,0.4674787150951921,0.011249222944174457,0.5210355987055016,A
3.0,4.0,10.0,0.03983645159761723,0.4644556417784483,0.013501459924097467,0.5210355987055016,A
2.0,3.0,10.0,0.04008412799886089,0.4643320468841109,0.014007649219780057,0.5307443365695793,A
3.0,3.0,10.0,0.04001489481352329,0.4637723990511795,0.013792775510991817,0.5307443365695793,A
0.0,3.0,10.0,0.040044610451573454,0.4633747791742963,0.01394640358639189,0.5307443365695793,A
0.5,3.0,10.0,0.040029833404006496,0.463227207224035,0.01394640358639189,0.5307443365695793,A
1.0,3.0,10.0,0.04000448885054119,0.4631449299919273,0.013905753653044115,0.5307443365695793,A
2.0,2.0,10.0,0.039660471420573995,0.4492471487339156,0.01390631460847865,0.5501618122977346,A
3.0,2.0,10.0,0.039591367677380924,0.4487044811561389,0.013698425652868662,0.5501618122977346,A
0.0,2.0,10.0,0.03961877586743804,0.44827765530801533,0.013812558615454405,0.5501618122977346,A
0.5,2.0,10.0,0.03960443915016963,0.4481578708375711,0.013812558615454405,0.5501618122977346,A
1.0,2.0,10.0,0.03958044254885742,0.4481029436674763,0.013771908682106634,0.5501618122977346,A
2.0,1.0,30.0,0.03586961768650365,0.41405726088374367,0.021724650399629397,0.5728155339805825,A
3.0,1.0,30.0,0.0358034827531861,0.4134732860217486,0.021601402734834928,0.5728155339805825,A
0.0,1.0,30.0,0.03582977467541234,0.41311126102368495,0.0216500207415037,0.5728155339805825,A
0.5,1.0,30.0,0.035816200807185894,0.4129783983953227,0.0216500207415037,0.5728155339805825,A
1.0,1.0,30.0,0.03579475746515394,0.41291535192133166,0.02160937080815593,0.5728155339805825,A
2.0,1.0,20.0,0.03548648839017223,0.407732680115511,0.02281871282051385,0.5825242718446602,A
3.0,1.0,20.0,0.035420273251271485,0.40714624354713663,0.022695465155719373,0.5825242718446602,A
0.0,1.0,20.0,0.035446537415694604,0.4068065821012412,0.022744083162388146,0.5825242718446602,A
0.5,1.0,20.0,0.03543295274235491,0.40667306726108776,0.022744083162388146,0.5825242718446602,A
1.0,1.0,20.0,0.035411527898193726,0.4066030356077359,0.022703433229040376,0.5825242718446602,A
2.0,1.0,10.0,0.0349427661337257,0.3877999870416373,0.01935858986161562,0.5533980582524272,A
3.0,1.0,10.0,0.03487518348777938,0.3872587679631114,0.01923534219682115,0.5533980582524272,A
0.0,1.0,10.0,0.034902610338982,0.3869409212179236,0.01928396020348992,0.5533980582524272,A
0.5,1.0,10.0,0.034888605339075576,0.3868297456328896,0.01928396020348992,0.5533980582524272,A
1.0,1.0,10.0,0.034865100282289015,0.3867467048483017,0.019243310270142148,0.5533980582524272,A
