quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,top_quin_ret_3m,bot_quin_ret_3m,top_dec_ret_6m,bot_dec_ret_6m,top_quin_ret_6m,bot_quin_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,top_quin_ret_12m,bot_quin_ret_12m
2015-12-31,1248,0.09515060319226643,0.1464051182630792,0.11399285169632163,0.1464051182630792,0.25239616953007443,0.2408079225532474,0.2645595217789614,0.2408079225532474,0.29387742850709697,0.4375024754574729,0.35942956749204097,0.4375024754574729
2016-03-31,1240,0.15198828652653215,0.07503998375624023,0.14382169459222072,0.07503998375624023,0.1500206440740156,0.13571101310555428,0.15225508801528093,0.13571101310555428,0.2278170300828549,0.26569707885057375,0.2908819767272523,0.26569707885057375
2016-06-30,1248,0.0025911638477644186,0.0531905025311589,-0.00017036879131872862,0.0531905025311589,0.036406538826149186,0.18266001860994616,0.06351469334894665,0.18266001860994616,0.08941941118785197,0.21435324709001044,0.14277691032034392,0.21435324709001044
2016-09-30,1263,0.03684088177860058,0.1057791941844584,0.06238625456002558,0.1057791941844584,0.045273580122323215,0.09200111894411732,0.0844617304148865,0.09200111894411732,0.1493491295275804,0.2246568198011381,0.22065512640755156,0.2246568198011381
2016-12-31,1286,0.044643495310500644,0.004714222166155833,0.040146506150006034,0.004714222166155833,0.07251491824631519,0.04567723742990664,0.059784413629073406,0.04567723742990664,0.251830043499508,0.14684605639492876,0.23902322161690734,0.14684605639492876
2017-03-31,1275,0.020170047089718892,0.031210387914717433,0.02002920735558681,0.031210387914717433,0.08132098613461501,0.09995764989762475,0.08927558365541366,0.09995764989762475,0.30280923677060834,0.18571365373453078,0.27507891829984504,0.18571365373453078
2017-06-30,1279,0.08541913604590158,0.05788375824198337,0.06705108766761819,0.05788375824198337,0.19459573890570547,0.08755450601043682,0.1607579097905149,0.08755450601043682,0.4696281908753881,0.20238841589492693,0.40831383382730274,0.20238841589492693
2017-09-30,1289,0.1277326933836371,0.040808502965847426,0.11523708315470775,0.040808502965847426,0.2136635496951304,0.0920873921715107,0.19051645249315433,0.0920873921715107,0.2639609863292605,0.07171648314643657,0.24185319488590676,0.07171648314643657
2017-12-31,1325,0.10718375853617437,0.04215321217176223,0.08958680957735647,0.04215321217176223,0.2114150102048799,0.08957235191200975,0.2343224133605374,0.08957235191200975,0.20811001045238717,0.09774217735980407,0.2703910288012592,0.09774217735980407
2018-03-31,1318,0.12999932569818443,0.04688206012473555,0.11665662879859892,0.04688206012473555,0.0727341755805913,0.00773129459059758,0.059823841098538146,0.00773129459059758,0.1394659863707876,0.08606802050920931,0.141042180837704,0.08606802050920931
2018-06-30,1330,-0.04144335898795086,-0.05041538135952616,-0.04841075778275812,-0.05041538135952616,-0.011444972193777984,-0.022714510662567966,-0.013424736848443001,-0.022714510662567966,-0.023406931504327114,0.01215841790095766,-0.003776834329563196,0.01215841790095766
2018-09-30,1334,0.04666172788560489,0.05026332176219195,0.055847121407584466,0.05026332176219195,0.044539709310905666,0.07923307212151771,0.04719882234225512,0.07923307212151771,0.13725152660744863,0.17107845603316374,0.15962038835310682,0.17107845603316374
2018-12-31,1358,0.02030446266823145,0.04821126580459205,0.026657159044213872,0.04821126580459205,-0.010386714696417875,0.03863854275555951,0.0005190417553892009,0.03863854275555951,0.1892913168919085,0.21093882476240114,0.17986886713597006,0.21093882476240114
2019-03-31,1353,-0.013868658531852035,-0.02009129736475618,-0.015049339340867548,-0.02009129736475618,0.08623128865355352,0.07648601798780742,0.08451968305050418,0.07648601798780742,-0.03251891891715363,-0.19629007543118163,-0.0465658913207245,-0.19629007543118163
2019-06-30,1361,0.11471452518166608,0.09047222685028157,0.11161643642506167,0.09047222685028157,0.18463760031048967,0.16614375598132186,0.18178208482858096,0.16614375598132186,0.2909584792226456,0.017712765333751386,0.25782408421281705,0.017712765333751386
2019-09-30,1367,0.05712262524367376,0.059621327051639854,0.06535945238550829,0.059621327051639854,-0.05906350857761823,-0.19092944351102592,-0.07434502145444882,-0.19092944351102592,0.2731314759778912,0.028008131120475985,0.23609873042708945,0.028008131120475985
2019-12-31,1390,-0.1378837036970361,-0.3091416610985415,-0.15627994108679516,-0.3091416610985415,0.07408840838684731,-0.1226868994954126,0.05827108286114658,-0.1226868994954126,0.5887379329824427,0.2879579637625775,0.48618044273201627,0.2879579637625775
2020-03-31,1379,0.25545544048984775,0.2815700106058032,0.2793317231165961,0.2815700106058032,0.39196991275941345,0.38384869276016,0.41975977087873684,0.38384869276016,1.1895428675116586,1.368039121418963,1.1027103957216169,1.368039121418963
2020-06-30,1386,0.09121321852320188,0.06846915959609429,0.0903313721904135,0.06846915959609429,0.4994021612031092,0.5117866173299817,0.42663792581594023,0.5117866173299817,0.8049211903908912,0.7962853597897288,0.6627210557964102,0.7962853597897288
2020-09-30,1394,0.2615366729891794,0.9636736452194311,0.21432113387779886,0.9636736452194311,0.39321161682334654,1.5440211275369922,0.31948545103350096,1.5440211275369922,0.6212686533385737,2.6315313197210273,0.5412962327902736,2.6315313197210273
2020-12-31,1429,0.08002897158882129,0.12149465673887698,0.07501284799894067,0.12149465673887698,0.13616088564424597,0.1311448885282126,0.13178207842776335,0.1311448885282126,0.0504437796371581,0.1929439271420128,0.061516051806384794,0.1929439271420128
2021-03-31,1415,0.05733175074158303,0.014128830637462538,0.06414126893272508,0.014128830637462538,0.115788077778088,0.11166482926318756,0.13561473186504588,0.11166482926318756,-0.15189811676542375,0.011791354610843133,-0.12651626363704196,0.011791354610843133
2021-06-30,1430,0.05644414536281598,0.09682773680879346,0.07136976991764256,0.09682773680879346,-0.07271060397656047,0.054455327931628945,-0.0607401033203249,0.054455327931628945,-0.07382779491542053,0.07551204689786996,-0.0522400571193105,0.07551204689786996
2021-09-30,1441,-0.10330119376808515,-0.028097223794666625,-0.0976041985805462,-0.028097223794666625,-0.2076280251465551,-0.07691644064444682,-0.19191443417368545,-0.07691644064444682,-0.13460518367313037,-0.041771476746739145,-0.13632833511576922,-0.041771476746739145
2021-12-31,1451,-0.1223552664351136,-0.06665134153815822,-0.11597027076836888,-0.06665134153815822,-0.012192811793071693,0.010050491056241421,-0.0045631459129588416,0.010050491056241421,0.05368424674990912,0.0367172650480515,0.03934952202172999,0.0367172650480515
2022-03-31,1448,0.12397935732031631,0.08839626122066753,0.13081981008615748,0.08839626122066753,0.07846816783187717,0.0501305994085318,0.06678389792919816,0.0501305994085318,0.14728375928068627,0.0028708303088894513,0.13456843604648738,0.0028708303088894513
2022-06-30,1446,-0.02358495319996373,-0.02103239116413285,-0.04161030707649395,-0.02103239116413285,0.07249196448758367,0.024504422989467214,0.04301809269951246,0.024504422989467214,0.0946670190904155,-0.0033714799885034862,0.06535309014939672,-0.0033714799885034862
2022-09-30,1450,0.11510808301023279,0.06483296997050675,0.1131263585802669,0.06483296997050675,0.04676537955787983,-0.04097658125716882,0.06773413913611691,-0.04097658125716882,0.1092737414278774,0.027676040215376042,0.12105790663101969,0.027676040215376042
2022-12-31,1471,-0.043346115130873934,-0.11963264493281539,-0.04448704089432245,-0.11963264493281539,0.017346094288165664,-0.036346557581791054,0.031120652024665605,-0.036346557581791054,0.16062696161078355,0.07591354355769146,0.20677082436346148,0.07591354355769146
2023-03-31,1463,0.07151359099572312,0.09722138245827522,0.0755321599770096,0.09722138245827522,0.01831011664041257,0.04072575411796247,0.022476930033783916,0.04072575411796247,0.2580663145920715,0.28405578197359405,0.29007979810708634,0.28405578197359405
2023-06-30,1466,-0.06572831528796357,-0.06665096535085012,-0.06292308497821389,-0.06665096535085012,0.08531143642505205,0.04928683583889953,0.09196823406517415,0.04928683583889953,0.1577873451814422,0.17792696445003936,0.16013340873386242,0.17792696445003936
2023-09-30,1472,0.1615068441090381,0.12186294353466309,0.16394327047633092,0.12186294353466309,0.19298243219006578,0.18192800591786826,0.2067381536663753,0.18192800591786826,0.35631624898281117,0.4275463052320156,0.3457042922556641,0.4275463052320156
2023-12-31,1487,0.041672582728355945,0.07899735814611178,0.054115514116605125,0.07899735814611178,0.061917276827360083,0.12629397614971424,0.06465788713879979,0.12629397614971424,0.21439107581911065,0.2680992899024349,0.22075058024269234,0.2680992899024349
2024-03-31,1479,0.02101874949242439,0.043408663012726674,0.017322343913708658,0.043408663012726674,0.1418709000921848,0.18424262515401357,0.11289853055058079,0.18424262515401357,0.13452352902776363,0.12609751778837644,0.11236524709468579,0.12609751778837644
2024-06-30,1484,0.1429245379773014,0.15852564796431198,0.1212409140214508,0.15852564796431198,0.17770535033096557,0.13139565304738574,0.15050964950941112,0.13139565304738574,0.14671770265018622,0.1498146609125413,0.1457467343169953,0.1498146609125413
2024-09-30,1486,0.03283666379529152,-0.012106176010127883,0.029772011602893476,-0.012106176010127883,-0.005965411008875053,-0.04700268038375638,-0.009571710104821815,-0.04700268038375638,-0.02985321991295047,0.010977598061191763,-0.011889633215038803,0.010977598061191763
2024-12-31,1496,-0.026382569966474492,-0.026473887144034355,-0.023857443875113137,-0.026473887144034355,0.0011970182660326811,0.016485258793480208,0.018232934661559258,0.016485258793480208,0.017878607886812236,0.1480957179649717,0.06113574785578228,0.1480957179649717
