horizon,n_q,pos_q,neg_q,pos_q_rate,neg_q_rate,mean_ic,ir_q,grade
20,41,18,23,0.43902439024390244,0.5609756097560976,-0.015428269680606737,-0.07084061437486261,C
40,41,18,23,0.43902439024390244,0.5609756097560976,-0.04529999332508519,-0.19079380178274105,B(rev)
60,41,20,21,0.4878048780487805,0.5121951219512195,-0.04580127274354432,-0.18778310004354246,B(rev)
