date,regime,val_ret_gross,val_ret_net,val_turnover,qm_ret_gross,qm_ret_net,qm_turnover,combined_gross,combined_net
2016-01-08,neutral,0.0,0.0,0.0,0.05633801195328081,0.052338011953280805,1.0,0.028169005976640404,0.026169005976640403
2016-02-03,ranging,0.0,0.0,0.0,0.029126213592232997,0.029126213592232997,0.0,0.014563106796116498,0.014563106796116498
2016-03-11,trending,0.0,0.0,0.0,-0.036065650497264456,-0.036065650497264456,0.0,-0.018032825248632228,-0.018032825248632228
2016-04-08,ranging,0.0,0.0,0.0,-0.04755997682404067,-0.049559976824040675,0.5,-0.023779988412020336,-0.024779988412020337
2016-05-06,neutral,0.0,0.0,0.0,0.02884675685859454,0.027513423525261208,0.3333333333333333,0.01442337842929727,0.013756711762630604
2016-06-03,trending,0.0,0.0,0.0,0.020872373128549837,0.019539039795216505,0.3333333333333333,0.010436186564274919,0.009769519897608252
2016-07-01,ranging,0.0,0.0,0.0,0.02790322291960305,0.023903222919603048,1.0,0.013951611459801524,0.011951611459801524
2016-07-29,neutral,0.0,0.0,0.0,0.02479024305126909,0.024123576384602424,0.16666666666666666,0.012395121525634545,0.012061788192301212
2016-08-26,ranging,0.0,0.0,0.0,-0.009189813147923508,-0.013189813147923508,1.0,-0.004594906573961754,-0.006594906573961754
2016-09-23,neutral,0.0,0.0,0.0,-0.00041082398838976353,-0.0034108239883897636,0.75,-0.00020541199419488176,-0.0017054119941948818
2016-10-21,ranging,0.0,0.0,0.0,-0.030398391212170455,-0.03239839121217045,0.5,-0.015199195606085228,-0.016199195606085227
2016-11-18,neutral,0.0,0.0,0.0,0.05550062587165998,0.05230062587165998,0.8,0.02775031293582999,0.02615031293582999
2016-12-16,neutral,0.0,0.0,0.0,0.0175592548206297,0.0159592548206297,0.4,0.00877962741031485,0.00797962741031485
2017-01-13,ranging,0.0,0.0,0.0,0.02250060803955935,0.02116727470622602,0.3333333333333333,0.011250304019779675,0.01058363735311301
2017-02-10,neutral,0.0,0.0,0.0,-0.025191290311716612,-0.02719129031171661,0.5,-0.012595645155858306,-0.013595645155858305
2017-03-10,ranging,0.0,0.0,0.0,0.021900076652032217,0.01710007665203222,1.2,0.010950038326016109,0.00855003832601611
2017-04-07,ranging,0.0,0.0,0.0,0.024096519078136574,0.02076318574480324,0.8333333333333334,0.012048259539068287,0.01038159287240162
2017-05-05,ranging,0.0,0.0,0.0,0.0748949569182752,0.07222829025160854,0.6666666666666666,0.0374474784591376,0.03611414512580427
2017-06-02,ranging,0.0,0.0,0.0,0.025484984919493775,0.023484984919493773,0.5,0.012742492459746887,0.011742492459746887
2017-06-30,neutral,0.0,0.0,0.0,0.04788124404249106,0.04679033495158197,0.2727272727272727,0.02394062202124553,0.023395167475790984
2017-07-28,ranging,0.0,0.0,0.0,0.10446296018102948,0.10046296018102947,1.0,0.05223148009051474,0.05023148009051474
2017-08-25,ranging,0.0,0.0,0.0,-0.032751669721040454,-0.042085003054373786,2.3333333333333335,-0.016375834860520227,-0.021042501527186893
2017-09-22,ranging,0.0,0.0,0.0,-0.0285388591359486,-0.0295388591359486,0.25,-0.0142694295679743,-0.0147694295679743
2017-10-20,ranging,0.0,0.0,0.0,0.06680906502197825,0.06347573168864493,0.8333333333333334,0.03340453251098913,0.03173786584432246
2017-11-17,ranging,0.0,0.0,0.0,-0.060974131312586555,-0.06383127416972942,0.7142857142857143,-0.030487065656293277,-0.03191563708486471
2017-12-15,ranging,0.0,0.0,0.0,0.06910494637704144,0.06510494637704144,1.0,0.03455247318852072,0.03255247318852072
2018-01-12,neutral,0.0,0.0,0.0,-0.04983363729642968,-0.053262208725001106,0.8571428571428571,-0.02491681864821484,-0.026631104362500553
2018-02-09,volatile,0.055229932131877386,0.05122993213187739,1.0,0.186093408500989,0.18359340850098899,0.625,0.12066167031643318,0.11741167031643318
2018-03-09,neutral,0.0,-0.002,1.0,0.057521145250061134,0.051521145250061136,1.5,0.028760572625030567,0.024760572625030567
2018-04-03,ranging,0.0,0.0,0.0,-0.04394253366215038,-0.044742533662150384,0.2,-0.02197126683107519,-0.022371266831075192
2018-05-04,neutral,0.0,0.0,0.0,0.10745147628880714,0.10445147628880713,0.75,0.05372573814440357,0.052225738144403566
2018-06-01,neutral,0.0,0.0,0.0,-0.08258409536042233,-0.08591742869375565,0.8333333333333334,-0.041292047680211164,-0.04295871434687783
2018-06-29,ranging,0.0,0.0,0.0,-0.0057690897445868815,-0.008054804030301167,0.5714285714285714,-0.0028845448722934408,-0.004027402015150583
2018-07-27,neutral,0.0,0.0,0.0,-0.04659639779454838,-0.05159639779454838,1.25,-0.02329819889727419,-0.02579819889727419
2018-08-24,neutral,0.0,0.0,0.0,-0.0410217714790014,-0.04235510481233473,0.3333333333333333,-0.0205108857395007,-0.021177552406167366
2018-09-21,ranging,0.0,0.0,0.0,-0.12863758636539352,-0.13197091969872685,0.8333333333333334,-0.06431879318269676,-0.06598545984936342
2018-10-19,volatile,0.02562886538635501,0.02162886538635501,1.0,,,0.0,,
2018-11-16,ranging,0.0,-0.002,1.0,,,1.0,,
2018-12-14,ranging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,ranging,0.0,0.0,0.0,0.08277280975861168,0.07877280975861167,1.0,0.04138640487930584,0.039386404879305836
2019-02-15,neutral,0.0,0.0,0.0,0.170854271356784,0.162854271356784,2.0,0.085427135678392,0.081427135678392
2019-03-15,neutral,0.0,0.0,0.0,0.06330724842374127,0.06250724842374128,0.2,0.03165362421187064,0.03125362421187064
2019-04-12,neutral,0.0,0.0,0.0,-0.037753744543341225,-0.03946803025762694,0.42857142857142855,-0.018876872271670612,-0.01973401512881347
2019-05-10,ranging,0.0,0.0,0.0,-0.06117768391528497,-0.06267768391528497,0.375,-0.030588841957642485,-0.031338841957642485
2019-06-06,neutral,0.0,0.0,0.0,0.0643832324466763,0.0613832324466763,0.75,0.03219161622333815,0.03069161622333815
2019-07-05,neutral,0.0,0.0,0.0,-0.029413815883050587,-0.036413815883050586,1.75,-0.014706907941525293,-0.018206907941525293
2019-08-02,neutral,0.0,0.0,0.0,0.0581297987855101,0.0571297987855101,0.25,0.02906489939275505,0.02856489939275505
2019-08-30,ranging,0.0,0.0,0.0,0.11489979564340287,0.10556646231006954,2.3333333333333335,0.057449897821701436,0.05278323115503477
2019-09-27,neutral,0.0,0.0,0.0,0.10049862281480659,0.09889862281480659,0.4,0.050249311407403296,0.049449311407403294
2019-10-25,neutral,0.0,0.0,0.0,-0.04274513365200346,-0.0480784669853368,1.3333333333333333,-0.02137256682600173,-0.0240392334926684
2019-11-22,neutral,0.0,0.0,0.0,0.00643689672222425,0.00543689672222425,0.25,0.003218448361112125,0.002718448361112125
2019-12-20,neutral,0.0,0.0,0.0,0.025920189163505192,0.011920189163505191,3.5,0.012960094581752596,0.005960094581752596
2020-01-17,ranging,0.0,0.0,0.0,-0.06572702939427881,-0.06732702939427881,0.4,-0.032863514697139405,-0.03366351469713941
2020-02-14,ranging,0.0,0.0,0.0,-0.1471972231162302,-0.1501972231162302,0.75,-0.0735986115581151,-0.0750986115581151
2020-03-13,volatile,0.05184103843897583,0.04784103843897583,1.0,0.005791561778592413,-0.0022084382214075868,2.0,0.02881630010878412,0.022816300108784122
2020-04-10,volatile,0.09670268683804335,0.09536935350471001,0.3333333333333333,0.0,0.0,0.0,0.048351343419021676,0.04768467675235501
2020-05-08,volatile,0.0874602455722771,0.0854602455722771,0.5,0.03852019873387724,0.03452019873387724,1.0,0.06299022215307717,0.05999022215307717
2020-06-05,trending,0.0,-0.002,1.0,0.20250919271141338,0.20050919271141338,0.5,0.10125459635570669,0.09925459635570669
2020-07-03,trending,0.0,0.0,0.0,-0.05622499489045074,-0.06422499489045075,2.0,-0.02811249744522537,-0.032112497445225374
2020-07-31,trending,0.0,0.0,0.0,0.11333340010322335,0.10933340010322334,1.0,0.056666700051611674,0.05466670005161167
2020-08-28,ranging,0.0,0.0,0.0,-0.036720115005985515,-0.037720115005985516,0.25,-0.018360057502992758,-0.018860057502992758
2020-09-25,neutral,0.0,0.0,0.0,0.019496836103994566,0.017496836103994565,0.5,0.009748418051997283,0.008748418051997282
2020-10-23,neutral,0.0,0.0,0.0,0.053809390330494575,0.04980939033049457,1.0,0.026904695165247287,0.024904695165247286
2020-11-20,volatile,-0.019460489142876663,-0.023460489142876663,1.0,-0.04959127154794141,-0.05959127154794141,2.5,-0.03452588034540904,-0.041525880345409036
2020-12-18,neutral,0.0,-0.002,1.0,0.14977223100670123,0.14577223100670123,1.0,0.07488611550335061,0.07188611550335061
2021-01-15,volatile,0.05276382597854189,0.04876382597854188,1.0,0.06217616580310881,0.05417616580310881,2.0,0.05746999589082535,0.05146999589082535
2021-02-19,volatile,0.13614608026964994,0.13491531103888071,0.3076923076923077,0.010099633179427081,0.008099633179427081,0.5,0.07312285672453851,0.0715074721091539
2021-03-19,neutral,0.0,-0.002,1.0,0.20618385423946828,0.20538385423946828,0.2,0.10309192711973414,0.10169192711973414
2021-04-16,trending,0.0,0.0,0.0,-0.029737301246537506,-0.034737301246537504,1.25,-0.014868650623268753,-0.017368650623268752
2021-05-14,volatile,0.17584867091649622,0.17184867091649622,1.0,0.1556063528862202,0.15480635288622022,0.2,0.1657275119013582,0.16332751190135822
2021-06-11,volatile,0.04085107129425604,0.03945107129425604,0.35,0.04320719581966832,0.03680719581966832,1.6,0.04202913355696218,0.03812913355696218
2021-07-09,neutral,0.0,-0.002,1.0,0.07727074855199394,0.07327074855199393,1.0,0.03863537427599697,0.035635374275996966
2021-08-06,ranging,0.0,0.0,0.0,-0.08408595312161601,-0.08808595312161602,1.0,-0.04204297656080801,-0.04404297656080801
2021-09-03,ranging,0.0,0.0,0.0,-0.04939925904218201,-0.06539925904218201,4.0,-0.024699629521091004,-0.032699629521091005
2021-10-01,neutral,0.0,0.0,0.0,0.2905212896992163,0.2897212896992163,0.2,0.14526064484960816,0.14486064484960814
2021-10-29,ranging,0.0,0.0,0.0,0.06655235041839935,0.059885683751732685,1.6666666666666667,0.033276175209199677,0.029942841875866343
2021-11-26,neutral,0.0,0.0,0.0,0.03376533068303087,0.0330986640163642,0.16666666666666666,0.016882665341515436,0.0165493320081821
2021-12-24,neutral,0.0,0.0,0.0,-0.065135095903022,-0.069135095903022,1.0,-0.032567547951511,-0.034567547951511
