quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2016-12-31,18,0.22752029928190398,-0.459458468452777,-0.06185017844556613
2017-03-31,18,-0.22487239817113247,-0.126356871353303,0.08352403360642062
2017-06-30,18,0.17190532697045044,0.24926272410715314,0.47872032622584365
2017-09-30,18,0.2534683284111787,0.46355373445509623,0.31166142916177725
2017-12-31,18,0.22970372088404714,0.3397921401095813,0.2146155731678896
2018-03-31,18,0.3464504173309054,0.1832390273831104,0.14809729610415773
2018-06-30,18,-0.5485685675118764,-0.34829750318214375,-0.1330994030017478
2018-09-30,17,-0.18891324889939323,0.078078948627188,0.0614391726902463
2018-12-31,17,0.3082223568170065,0.4143316927704022,0.4370694076175584
2019-03-31,17,0.19428512687881128,-0.13841227993327077,0.10158699444643728
2019-06-30,17,-0.305709233330094,-0.28219313845854826,-0.4951444420175453
2019-09-30,17,-0.25111191081579953,0.02575506777597944,-0.4507136860796402
2019-12-31,17,-0.2554003742148037,-0.5172178432591251,-0.4325121915094918
2020-03-31,17,-0.46384591589291857,-0.4879253486851739,-0.5107374429094157
2020-06-30,17,-0.08164646883987244,-0.1518114029991378,-0.15563858122600682
2020-09-30,17,-0.20279934997487833,-0.1452143493647277,-0.19153271942071845
2020-12-31,17,-0.3231969982435138,-0.11979502637597421,-0.13726513438913712
2021-03-31,17,0.2590468358384151,0.13968211736385125,0.2311104123656448
2021-06-30,17,-0.050429855404473166,0.011346717466006462,0.26223524810326043
2021-09-30,17,-0.08727248968144047,0.21433096730589057,-0.01026735172722829
2021-12-31,17,0.17297634080890373,0.09150197738442009,-0.0940088808744042
2022-03-31,17,0.1375047745542317,-0.007639154141901761,-0.33357639752971024
2022-06-30,17,-0.11326742425393034,-0.4634850923494161,-0.17575979625609878
2022-09-30,17,0.12525151433577172,0.11879525071021647,0.07101889988110768
2022-12-31,18,-0.21972782143338576,-0.03955100785800944,0.03515645142934173
2023-03-31,18,0.03914525996276708,-0.030197771971277466,0.03914525996276708
2023-06-30,18,0.08624255524745979,0.054979628970255615,0.05174553314847586
2023-09-30,18,-0.10739239043297785,-0.10413807557137246,0.10413807557137246
2023-12-31,18,0.06179938645454839,0.3239140255548743,0.49226407831036817
2024-03-31,18,0.3949711038266445,0.5456412796733209,0.5144310289622236
2024-06-30,18,0.46121776596001113,0.354130422599181,0.3286839251669045
2024-09-30,18,0.2533301677176099,0.5686338099412446,0.18483316957937204
2024-12-31,18,0.5141817481336516,0.24841270110254476,-0.5315380940622138
