score,label,liquidity,horizon,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
sig_rvol_log_rn,log(RVOL),all,10,10,top,0.007896111146384825,0.05569999168293208,2.250393127896387,0.5564467615801083,4987
sig_rvol_log_rn,log(RVOL),all,10,10,bot,0.0035381778002107327,0.047756320953228334,1.1761130296685085,0.5039101664327251,4987
sig_rvol_log_rn,log(RVOL),all,10,20,top,0.008058076195599456,0.049134287266024805,2.6034364406756345,0.5935432123521155,4987
sig_rvol_log_rn,log(RVOL),all,10,20,bot,0.0026285844970969853,0.04164473273710065,1.0019871069902693,0.5181471826749549,4987
sig_rvol_log_rn,log(RVOL),all,10,50,top,0.007772937643594926,0.04419626342376201,2.7919002696016686,0.6151995187487468,4987
sig_rvol_log_rn,log(RVOL),all,10,50,bot,0.0022999886417215385,0.038769217410740395,0.9417571522992807,0.5496290354922799,4987
sig_rvol_log_rn,log(RVOL),all,20,10,top,0.016752154841546768,0.08028437509318496,3.3123781993994785,0.5750452079566004,4977
sig_rvol_log_rn,log(RVOL),all,20,10,bot,0.009210129540691144,0.06997661978810067,2.0893589071161713,0.5394816154309825,4977
sig_rvol_log_rn,log(RVOL),all,20,20,top,0.016331329112174355,0.07200000084355405,3.6007195753107517,0.6021699819168174,4977
sig_rvol_log_rn,log(RVOL),all,20,20,bot,0.008290565098871303,0.06291981229999274,2.0916883898403764,0.5533453887884268,4977
sig_rvol_log_rn,log(RVOL),all,20,50,top,0.015305441662121777,0.06512803973421422,3.730595225273584,0.6315049226441631,4977
sig_rvol_log_rn,log(RVOL),all,20,50,bot,0.00767267022238362,0.05949324018065533,2.047289127833222,0.5736387381957002,4977
sig_atr_pct_rn,ATR% (raw rank),all,10,10,top,0.010867044225073936,0.07769859118166311,2.220233036555104,0.5557331202556932,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,10,bot,0.0036644263466580882,0.04481957050424957,1.2978920639211862,0.4642429085097883,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,20,top,0.010083624104677273,0.06915806996993396,2.314589898778046,0.5727127447063524,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,20,bot,0.0030622958871782133,0.03499618408364583,1.3890783073384847,0.5249700359568518,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,50,top,0.00886201297122252,0.061531677757640076,2.2863035715978475,0.5829005193767479,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,50,bot,0.003546815870367116,0.03355037443177232,1.678191596617501,0.5936875749101078,5006
sig_atr_pct_rn,ATR% (raw rank),all,20,10,top,0.018641330722651533,0.1129353368973974,2.6202777565139854,0.5582465972778222,4996
sig_atr_pct_rn,ATR% (raw rank),all,20,10,bot,0.009937645213493818,0.06358111762007175,2.4811647391548024,0.49579663730984785,4996
sig_atr_pct_rn,ATR% (raw rank),all,20,20,top,0.01917565503242185,0.10157597510501401,2.996811857731194,0.5816653322658126,4996
sig_atr_pct_rn,ATR% (raw rank),all,20,20,bot,0.008123445811015002,0.050547674930003166,2.5511698531674187,0.5712570056044836,4996
sig_atr_pct_rn,ATR% (raw rank),all,20,50,top,0.01815701967410738,0.09093277023007583,3.169745636446456,0.5968775020016013,4996
sig_atr_pct_rn,ATR% (raw rank),all,20,50,bot,0.008158854046786746,0.050220764713691475,2.5789689480995532,0.6281024819855885,4996
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,10,top,0.003174334268115877,0.031462869956156096,1.6016019638376766,0.5676759574894726,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,10,bot,0.007305194702628244,0.06874828449166294,1.6868256659761138,0.5355925406055745,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,20,top,0.003434999334192035,0.030311443441009073,1.7989550401250096,0.5823140164427512,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,20,bot,0.006808324452460188,0.060463797535541486,1.7874960634744728,0.5638660517345098,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,50,top,0.0038307054565522355,0.0315017194275721,1.9303887219129785,0.6019651092841387,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,50,bot,0.006291527846466082,0.055044634608731983,1.8144349399401498,0.5827150591537998,4987
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,10,top,0.007827080068900249,0.046414390973112826,2.6769939563912186,0.5939320876029737,4977
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,10,bot,0.01547400104168262,0.1013269574464361,2.4242527107411886,0.5495278280088407,4977
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,20,top,0.007915390940229949,0.0456851473377801,2.7504110869377065,0.6065903154510749,4977
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,20,bot,0.014605213289007454,0.08967667567284078,2.585405530557979,0.566003616636528,4977
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,50,top,0.008306832019511073,0.047819061977252074,2.7576214335032048,0.6190476190476191,4977
