quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2010-12-31,963,-0.04796012658288354,-0.06853960504076675,0.02280920652844963
2011-03-31,1028,-0.0467146196220495,-0.07694309809240231,-0.003958487814240687
2011-06-30,1065,-0.048173175378699626,-0.07346033948809548,0.015237964040109762
2011-09-30,1084,-0.06968320129567959,-0.08799044674989907,0.021058034110374328
2011-12-31,1102,-0.0331698877258015,-0.06872848026528677,0.05818839358701097
2012-03-31,1108,-0.023964616479530857,-0.07414660713509118,0.06250883940139326
2012-06-30,1114,-0.024597087116076565,-0.08259315123888238,0.04998101992768759
2012-09-30,1117,-0.00016512115925452174,-0.06434767782085525,0.04827386033728555
2012-12-31,1134,-0.006011076230646808,-0.04505584941413415,0.05501604130875777
2013-03-31,1145,-0.01585302491043683,-0.03888001994565975,0.06290045515343462
2013-06-30,1152,-0.011428187103086827,-0.03445387509305925,0.0659493430600596
2013-09-30,1156,0.0010223112641271422,-0.018382829703070473,0.07765448326290404
2013-12-31,1181,-0.013410400994639983,-0.018999920316488627,0.0933289751156909
2014-03-31,1192,0.008655919361325523,-0.010256235626679235,0.10718439902679901
2014-06-30,1194,0.0002332639637475158,-0.007395459379411579,0.0964978323179632
2014-09-30,1196,-0.0010091944267453926,-0.01003441460558163,0.09323147219628446
2014-12-31,1222,-0.0070764079528317534,-0.014864309164647854,0.07997404360339579
2015-03-31,1232,-0.009001099489470473,-0.02172927970062912,0.06405185068218794
2015-06-30,1239,0.0025832986352163053,0.16397549186110938,0.05755238786500138
2015-09-30,1241,0.2294552480809964,0.1229474886553703,-0.03068725198839304
2015-12-31,1251,-0.11689853617887415,-0.16924272288519696,-0.21747985662556377
2016-03-31,1264,-0.10386148112920396,-0.12922944293345132,-0.1612511980358862
2016-06-30,1266,-0.0883208777797281,-0.1360216040862781,-0.14073615214989144
2016-09-30,1271,-0.12257657456371575,-0.06244202980388902,-0.04619001893852081
2016-12-31,1288,0.023080924165011604,-0.016343010274006805,0.04107019685617881
2017-03-31,1298,-0.025155479569510062,-0.03363141633828049,-0.05426835496594197
2017-06-30,1299,-0.001544337756343442,0.04876704942134998,0.0053428740492536654
2017-09-30,1305,0.06604547025233393,-0.04646868937827744,0.051041257983833285
2017-12-31,1328,-0.11521142382984015,-0.03074798637661964,-0.006690785415656486
2018-03-31,1339,0.07110359550926264,0.07320788667305687,0.05564182532392019
2018-06-30,1344,0.0696294671945821,0.03885124783738932,0.06834615537158466
2018-09-30,1349,-0.05415275580432284,-0.0059200230488222925,0.00048452132679601616
2018-12-31,1363,0.030353778263992513,0.07908160863941166,0.02379290942005028
2019-03-31,1372,0.09540976096822248,0.0447974435215229,0.10065820154103357
2019-06-30,1376,-0.03681597354844375,-0.06145531297957655,0.040832702413347806
2019-09-30,1379,-0.022693708814188994,0.09159120049720426,0.037518285762290056
2019-12-31,1390,0.11786007917614047,0.100326801966056,-0.06896055127382553
2020-03-31,1396,-0.06519213490330814,-0.09804767352732126,-0.1851064263251609
2020-06-30,1401,-0.08258828060577589,-0.32959916968736014,-0.14550817164137247
2020-09-30,1403,-0.30548903305066977,-0.19747417596542194,-0.09823324442518118
2020-12-31,1428,0.05391815450278457,0.19348439911616305,0.05730956937482502
2021-03-31,1441,0.1498071168475026,0.03069298537780094,0.0891184477917025
2021-06-30,1445,-0.10090187033681663,-0.08935785150257775,-0.023889406532920966
2021-09-30,1446,-0.029239252172536017,0.03693093230995392,0.035804430451137445
2021-12-31,1452,0.11013792235664659,0.08701337079283611,0.07491851333193172
2022-03-31,1457,-0.052691695253274794,-0.01313887703778421,0.07646551998964765
2022-06-30,1457,0.025937225615432873,0.012866326898381745,0.05972128560137857
2022-09-30,1458,-0.09426194416467196,0.07197140570662812,0.044409007450999426
2022-12-31,1469,0.18421116531077064,0.12784002628948998,0.0714424658391501
2023-03-31,1475,-0.0714992499018161,0.015861556628324114,-0.07509221140733302
2023-06-30,1478,0.15479992998007927,0.07395690082912738,0.0016302698075988191
2023-09-30,1479,-0.02849561457862609,-0.03666388713152302,-0.07042249251954734
2023-12-31,1487,-0.0195644778248928,-0.01931555893598379,-0.0820620462666193
2024-03-31,1492,0.029739938240971778,-0.011023545036044899,0.02717835066990295
2024-06-30,1495,-0.058301079806094655,-0.07118857824197102,-0.038355495039655796
2024-09-30,1495,-0.05249511138671721,0.08699975140040865,-0.03590267065843833
2024-12-31,1498,0.14426827380606164,0.02614991843603692,-0.07752566670223861
