horizon,top_n,n_weeks,mean_ret,std_ret,sharpe_w,annual_ret,maxdd,pos_w_rate,q_win_rate
20,10,482,0.020855130902761743,0.09836135199277327,0.2120256633346601,0.26277464937479794,-0.9268332264167551,0.5684647302904564,0.6190476190476191
20,20,529,0.019867273885088247,0.08122356201759148,0.24459988446191724,0.2503276509521119,-0.834347996805774,0.5746691871455577,0.11904761904761904
20,30,533,0.016510983454145804,0.0757850066625101,0.2178660949081051,0.20803839152223713,-0.8295410043438037,0.575984990619137,0.14285714285714285
20,50,538,0.014200280360414505,0.06977436086283029,0.20351716855322968,0.17892353254122276,-0.7811812872814526,0.5669144981412639,0.11904761904761904
40,10,482,0.03894615920347249,0.1465910824579575,0.2656789113665376,0.24536080298187668,-0.9844336537592441,0.6058091286307054,0.47619047619047616
40,20,529,0.03682637034638444,0.1255570217548962,0.2933039493265009,0.23200613318222196,-0.966549873240639,0.6257088846880907,0.16666666666666666
40,30,533,0.032937285029590466,0.1162586164394291,0.2833104851781101,0.20750489568641992,-0.9393816998760389,0.6097560975609756,0.11904761904761904
40,50,538,0.02991929755266087,0.10327494256522561,0.28970529355428754,0.18849157458176347,-0.9334558151183379,0.6115241635687733,0.23809523809523808
60,10,482,0.055672417995575346,0.20838255737282013,0.2671644819867099,0.23382415558141648,-0.9992190933169023,0.5643153526970954,0.42857142857142855
60,20,529,0.05361592278928692,0.16798638128590787,0.3191682705399445,0.22518687571500506,-0.9973556461596985,0.6124763705103969,0.2857142857142857
60,30,533,0.05027048269242235,0.1588321645144193,0.3165006461135183,0.21113602730817388,-0.9932437026768651,0.6078799249530957,0.09523809523809523
60,50,538,0.04623469336610484,0.1397583141289193,0.33081891159230714,0.19418571213764035,-0.9814097702918454,0.6338289962825279,0.19047619047619047
