horizon,n_weeks,eq_mean,qw_mean,delta,t_stat,p_val,delta_IR,grade
5,445,0.002700102113409492,0.002849630960679229,0.00014952884726973688,1.1177399233086056,0.26428251161455,0.05298595396148705,C
20,445,0.011892014935651741,0.012515150465231693,0.0006231355295799483,2.0502887961959266,0.04092291973132968,0.09719301019634045,C
40,445,0.027339813489435746,0.027597305802297942,0.00025749231286219194,0.6139415995025126,0.5395683441818554,0.029103622987706704,D
60,445,0.04095427427434911,0.041519450770135274,0.0005651764957861537,0.9939088997212476,0.3208085668887439,0.0471158004687304,D
