regime,sl_mult,tp_mult,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp_trigger_rate,be_arm_rate,false_stop_rate
trending,0.7,0.8,1898,-0.0015610848251595602,0.09878200205728181,-0.015803332516527824,0.37407797681770283,0.5310853530031612,0.19863013698630136,0.35932560590094836,0.11805555555555555
trending,0.7,1.0,1898,0.00023339030847129087,0.10546858577264503,0.002212889333458991,0.36828240252897787,0.5310853530031612,0.14330874604847207,0.35932560590094836,0.11805555555555555
trending,0.7,1.2,1898,0.0009129876699113191,0.1074683228338928,0.008495411911493847,0.3667017913593256,0.5310853530031612,0.12486828240252898,0.35932560590094836,0.11805555555555555
trending,0.7,1.4,1898,0.0014434337065611926,0.10862545597308687,0.013288171668700005,0.3667017913593256,0.5310853530031612,0.11907270811380401,0.35932560590094836,0.11805555555555555
trending,0.85,0.8,1898,-0.001601094707551705,0.10464639306287525,-0.015300046764055313,0.398840885142255,0.4541622760800843,0.20864067439409906,0.35932560590094836,0.08700696055684455
trending,0.85,1.0,1898,0.00014859830550898262,0.11124860899456625,0.001335731806914014,0.39199157007376184,0.4541622760800843,0.15015806111696522,0.35932560590094836,0.08700696055684455
trending,0.85,1.2,1898,0.0008124196274948502,0.11315759682956048,0.007179541190844904,0.3904109589041096,0.4541622760800843,0.13119072708113805,0.35932560590094836,0.08700696055684455
trending,0.85,1.4,1898,0.0013664147689837144,0.11430410965264128,0.01195420508620479,0.3904109589041096,0.4541622760800843,0.12539515279241306,0.35932560590094836,0.08700696055684455
trending,1.0,0.8,1898,-0.0021189481966333965,0.10874627076142095,-0.019485249303694916,0.4135932560590095,0.38777660695468913,0.21390937829293993,0.35932560590094836,0.06521739130434782
trending,1.0,1.0,1898,-0.00027282649999422635,0.11533184128065747,-0.0023655782909969255,0.4067439409905163,0.38777660695468913,0.15489989462592202,0.35932560590094836,0.06521739130434782
