score,label,horizon,universe,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,10,top,0.0031274269406335225,0.030724263245561014,1.6158683179428883,0.5715066994804484,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,10,bot,0.012327768549471249,0.05227580224149761,3.7435534305055156,0.5936560021875854,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,top,0.0033838490487861526,0.02880407845450946,1.8649073751295124,0.5917418649165983,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,20,bot,0.010393687013189259,0.0441383077371623,3.7381285035702785,0.6133442712605961,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,50,top,0.003340092326385477,0.027689050084157712,1.9149202211167093,0.6148796498905909,3656
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,50,bot,0.007904117634233597,0.03626387581764169,3.4600266720650144,0.6307439824945296,3656
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,10,top,0.0016808973142415384,0.03428822471964828,0.7782093665008711,0.5437026841018582,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,10,bot,0.013014572766668682,0.057024672868537636,3.622992072895222,0.5898141775636614,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,20,top,0.0018693489770013946,0.03268170295188676,0.9080002680435283,0.5495526496902959,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,20,bot,0.010081092145330792,0.047802432226678675,3.3477873218659537,0.5977288368891948,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,50,top,0.0016949098092925174,0.03144376434598456,0.855681870795709,0.5588437715072264,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,50,bot,0.007154080823527237,0.03963498290917972,2.8653352158643783,0.6176875430144528,2906
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,10,top,0.005300665481999701,0.04247511825915714,1.9810528926061883,0.572289156626506,3652
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,10,bot,0.018836813844763208,0.07374971311985516,4.05459407103601,0.5889923329682366,3652
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,top,0.005405094081717693,0.03971312232675047,2.1605757364737816,0.5889923329682366,3652
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,20,bot,0.016795116748480998,0.06124712588231692,4.3530893752131945,0.6185651697699891,3652
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,50,top,0.005443942987694963,0.03802551954442805,2.2726820518877635,0.6014790468364831,3651
combo_all_equal,全 15 指標等權（方向 flipped）,10,all,50,bot,0.013990512674795494,0.050223471880885266,4.422085833443997,0.6453026568063545,3651
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,10,top,0.0020940611033204615,0.04649392160103697,0.7149792556241467,0.532574974146846,2901
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,10,bot,0.019927480482330548,0.07934501604352685,3.986878589834858,0.5894519131334023,2901
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,20,top,0.00257492667415422,0.04466748420978255,0.9151107224274825,0.5456739055498104,2901
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,20,bot,0.016576089792403263,0.0664659972110413,3.9589756995286556,0.6056532230265426,2901
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,50,top,0.002536136612744381,0.04314873831396151,0.9330497757849238,0.562564632885212,2901
combo_all_equal,全 15 指標等權（方向 flipped）,10,momentum,50,bot,0.012719779670424834,0.054562093938096315,3.7007421794692292,0.6284039986211651,2901
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,10,top,0.010516695899084301,0.05857613851024766,2.8500917954708225,0.5766062602965404,3642
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,10,bot,0.027492160061688503,0.10421062472061726,4.1879080212146205,0.5804503020318507,3642
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,top,0.010680941063152715,0.054776201071599986,3.0954078525052946,0.6018671059857221,3642
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,20,bot,0.025410841577721863,0.0867321328755444,4.6509245321558845,0.6112026359143328,3642
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,50,top,0.010380142534125282,0.052685639789283686,3.1276008979151104,0.6132930513595166,3641
combo_all_equal,全 15 指標等權（方向 flipped）,20,all,50,bot,0.02229235182838185,0.0715923233822885,4.9429896634347,0.6338917879703378,3641
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,10,top,0.005088623326989338,0.06462616224593429,1.2499487549016164,0.5382220684884124,2891
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,10,bot,0.03027163853364441,0.1115572524448436,4.307629970255603,0.5928744379107576,2891
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,20,top,0.005700016379476406,0.061834324132211,1.4633450939168628,0.5524040124524386,2891
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,20,bot,0.025944453022328583,0.09349812885102779,4.404958993867071,0.613628502248357,2891
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,50,top,0.006125940400357252,0.059822283723814734,1.625586370514631,0.5652023521272916,2891
combo_all_equal,全 15 指標等權（方向 flipped）,20,momentum,50,bot,0.020696652919063748,0.07665640659845353,4.2859976634777235,0.6260809408509166,2891
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,10,top,0.010318404963346902,0.05165073663317394,3.1712926365897833,0.5860362836723474,3638
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,10,bot,0.0032951845047045707,0.03855158696021368,1.356868457713968,0.5475536008796041,3638
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,top,0.008820254500673095,0.04179222358142049,3.3503170555567765,0.5984057174271578,3638
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,20,bot,0.003200246930146893,0.03357092366678538,1.5132841017794991,0.5739417262231996,3638
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,50,top,0.006953206808438312,0.03377423810472629,3.2681340089719826,0.621941160296948,3637
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,all,50,bot,0.0030815783557617622,0.031488137456739305,1.5535545700865139,0.5952708276051691,3637
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,10,top,0.00890991588416812,0.04988590534073489,2.835280402871296,0.574328974535444,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,10,bot,0.001590578879189195,0.04015194490747376,0.6288526493046385,0.5464556090846524,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,20,top,0.007206698847037622,0.04241493813051648,2.697228914632669,0.5894700619408121,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,20,bot,0.0015694028164597586,0.037355366679588345,0.6669322126888503,0.550929112181693,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,50,top,0.0057798484828117,0.035961195022644575,2.551423837532277,0.6018582243633861,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,5,momentum,50,bot,0.0015635538572423536,0.03505890451855153,0.7079698680596368,0.5605643496214728,2906
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,10,top,0.01995520446768755,0.07124682862261826,4.4462196622898125,0.6154693091109276,3633
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,10,bot,0.005690493337383012,0.05552440326473674,1.626920343784821,0.550784475639967,3633
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,top,0.01658407300379826,0.05807045551026543,4.53352733403309,0.6339113680154143,3633
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,20,bot,0.004742940863409396,0.04745460448333635,1.5866079354310514,0.5650977153867327,3633
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,50,top,0.013346159442466787,0.047651066837861626,4.4461483680185525,0.6459251101321586,3632
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,all,50,bot,0.004180701118335957,0.043786096584879024,1.5156996847478341,0.5823237885462555,3632
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,10,top,0.01744019165614561,0.06970646173078163,3.9717187296932326,0.6084108927955877,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,10,bot,0.0015281832749056156,0.05555793954636539,0.4366460962528282,0.5298173043778007,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,20,top,0.014226087651320782,0.05939432850113026,3.802250922400999,0.6246122026887281,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,20,bot,0.0019365441766771739,0.05136485417151239,0.5984965062612506,0.5480868665977249,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,50,top,0.011614597420709813,0.05051989159797531,3.649572718548186,0.6311616683902103,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,10,momentum,50,bot,0.002124972735362148,0.04815908251037947,0.7004472395439678,0.5536022061358152,2901
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,10,top,0.029074190324427714,0.10238455146722769,4.507891634039246,0.5903947005244272,3623
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,10,bot,0.012968762311553278,0.08322585680650935,2.4736629604269917,0.5638973226607784,3623
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,top,0.024761820776817805,0.08380055357126466,4.690681647745834,0.620756279326525,3623
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,20,bot,0.010203183556926546,0.06885622668965882,2.352300226479765,0.5677615235992272,3623
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,50,top,0.020634232073684054,0.06870806442578893,4.767392039174046,0.6361126449475428,3622
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,all,50,bot,0.008428071906982186,0.06210822718186361,2.1541670058316753,0.5770292655991165,3622
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,momentum,10,top,0.02291495075291894,0.0995351416313268,3.6546244876252545,0.585956416464891,2891
