combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,all,0.05165992003653451,0.1217201863005606,0.42441538750993996,0.0,0.047600798735603474,0.05554301966356245,69.14617076584683,5001
combo_all_equal,全 15 指標等權（方向 flipped）,1,all,0.04087976791999455,0.1268969838206754,0.32214924806852646,0.0,0.037452690986693245,0.04497374227940938,64.89128266507082,5013
combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,all,0.035211888694194865,0.1270537034357976,0.2771417734547819,0.0,0.0315955662856037,0.0389064874321093,63.32332332332332,4995
combo_rvol_meanrev,RVOL + 均值回歸 composite,1,all,0.02270102477303202,0.09525770883390439,0.23831168155235127,0.0,0.019218881636055837,0.02584877442248848,64.74474474474474,4995
combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,all,0.022228789732842435,0.11174167819280405,0.19893015831109942,0.0,0.018631820312093574,0.025553902137575007,61.28128128128129,4995
combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,0.016992806920785405,0.15609499565138996,0.10886195838549352,1.709743457922741e-14,0.012726969662148832,0.02096132206917421,54.03403403403403,4995
combo_momflip_volpos,動能 flip + 量能正向,1,all,0.01495696115029247,0.08019752243096623,0.18650153641800313,0.0,0.012263126047994562,0.017578185679628502,62.20220220220221,4995
combo_squeeze_rvol,Squeeze + RVOL,1,all,-0.006570463167806955,0.08832027614946608,-0.07439359855134098,1.5187329149846107e-07,-0.009071921587963525,-0.0039532429840684145,46.90690690690691,4995
combo_rvol_only,只用 RVOL（baseline）,1,all,-0.009502821282500377,0.09124303871784036,-0.10414845248509168,2.2715163083830703e-13,-0.012492165002417887,-0.006863462143678469,45.213726670680316,4983
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,all,-0.03865858595455206,0.13260348079492157,-0.29153522760341144,0.0,-0.04237601330404293,-0.03493681627242555,36.01601601601602,4995
combo_meanrev_pure,純反向均值回歸 (6 個 flipped),1,momentum,0.04686938570277836,0.1495924786355719,0.3133137850931577,0.0,0.04209123283499124,0.0522790556485735,62.54998823806164,4251
combo_all_equal,全 15 指標等權（方向 flipped）,1,momentum,0.035274365833870135,0.15347928937557231,0.22983143834834815,0.0,0.030641611900826714,0.040138743950819365,59.79769466007998,4251
combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,1,momentum,0.030321133598200174,0.14979731897387952,0.2024143943690163,0.0,0.02572819468396789,0.03489894994552064,58.85673959068455,4251
combo_rvol_meanrev,RVOL + 均值回歸 composite,1,momentum,0.012886279862275571,0.1175947858254072,0.10958206838701005,1.056044141023449e-12,0.009082942225960072,0.017052357055424246,53.63443895553988,4251
combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,momentum,0.01064677494374849,0.13029608582427418,0.08171216254421815,1.046651829650358e-07,0.0068788187468254314,0.014878132826929473,53.446247941660786,4251
combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,momentum,0.006297779474053866,0.1897077643863596,0.0331972678842379,0.030485208492410987,0.0008015661437185147,0.012118234362728497,49.96471418489767,4251
combo_momflip_volpos,動能 flip + 量能正向,1,momentum,0.0037131862141164427,0.1017195630598394,0.03650415025801926,0.01735369789121144,0.0003998794454601729,0.007409024406905287,50.835097624088455,4251
combo_squeeze_rvol,Squeeze + RVOL,1,momentum,-0.018052561333202648,0.11370639196375587,-0.15876470109927449,0.0,-0.021597823348482783,-0.014442231564940409,43.166313808515646,4251
combo_rvol_only,只用 RVOL（baseline）,1,momentum,-0.0208738949764473,0.1210299119295666,-0.17246889338062868,0.0,-0.024900704990635823,-0.01651657657240015,42.4363807728558,4244
combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,1,momentum,-0.03876800847294845,0.1543896468332154,-0.25110497541864896,0.0,-0.043852461067876734,-0.0340721008596272,40.15525758645025,4251
combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,all,0.05060047583871037,0.11501516265169265,0.4399461312066031,0.0,0.04446665766055884,0.0569525514503213,68.38735494197678,4998
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,0.041158180589787347,0.12154617016788392,0.3386217807845216,0.0,0.03475773060732665,0.04819363499914967,64.19161676646706,5010
combo_3group_median_flip,現行 scanner: 3-group median（方向 flipped）,5,all,0.03662042753973422,0.12286930736800683,0.29804373707464704,0.0,0.030238906379354006,0.043288783865698593,62.88060897435898,4992
combo_rvol_meanrev,RVOL + 均值回歸 composite,5,all,0.027313901451467844,0.09246717361838654,0.29539024912984513,0.0,0.022736260046115418,0.03207839145472946,64.7235576923077,4992
combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,all,0.02624233493568231,0.109667617792768,0.23928973259244857,0.0,0.020783808888334688,0.03178812702764562,60.75721153846154,4992
combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,0.024313895943407014,0.15394939148537895,0.1579343426356848,0.0,0.015795753571087173,0.032092526618506645,56.129807692307686,4992
