score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d,direction
sig_lambda_level,lambda level (低衝擊=高分),all,2006,-0.06160145093198163,-0.37985207113074027,33.755274261603375,-5.847748304974162,237,0.03075019329259618,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2007,0.01659719558488247,0.09513150428453812,51.440329218106996,1.4829533893914872,243,0.013945491592946588,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2008,0.03516144912117646,0.21955615420138389,58.63453815261044,3.464537675805787,249,0.006111355825953575,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2009,-0.15410829181124105,-0.7972599766687812,20.647773279352226,-12.52992406953381,247,0.09130418982741689,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2010,0.005653494727730568,0.029017576275530053,50.4,0.45880816604170327,250,0.01622490742897609,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2011,0.04221424872035295,0.3082845017410578,65.58704453441295,4.845071258649544,247,-0.006715525226859198,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2012,-0.01338684980513204,-0.07146713908148511,57.48987854251012,-1.1231942557801864,247,0.010353282955617875,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2013,-0.02089773442296966,-0.13526880854055473,50.0,-2.1129663361282938,244,0.01969866399533432,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2014,0.005087484054756383,0.02837698702736213,55.87044534412956,0.4459793582773943,247,0.008716321159907676,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2015,0.014781745972791941,0.15864193718278463,54.91803278688525,2.4780662769340953,244,0.005687407369954541,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2016,0.004809309174264705,0.042494198657225354,46.31147540983606,0.6637806025810146,244,0.004936879660943028,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2017,0.03653931954358107,0.4514137682759453,69.10569105691057,7.080148302579251,246,0.002114645813431671,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2018,-0.034642303188222624,-0.2669749260962912,36.032388663967616,-4.195840316019864,247,0.0189627278349017,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2019,0.05786444689234567,0.4487089125954785,69.83471074380165,6.980272527252303,242,-0.011367219794801311,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2020,0.010532668785322915,0.09652595548978596,58.77551020408164,1.510870186477963,245,0.014888470748638374,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2021,-0.025902017396313308,-0.185528710834489,38.9344262295082,-2.898051107332894,244,0.00990597997594668,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2022,-0.06329051262859396,-0.3496479554790673,30.081300813008134,-5.48401389691804,246,0.02055788688217584,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2023,-0.0008040971815165848,-0.007509259624228967,47.69874476987448,-0.11609033656973355,239,-0.0025601784964941476,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2024,-0.023869145448992452,-0.251170996526232,42.561983471074385,-3.9073037273837907,242,0.011892113294024738,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2025,0.04451158300272658,0.4015386563637558,72.0164609053498,6.259368186224687,243,-0.02843774401997492,bot
sig_lambda_level,lambda level (低衝擊=高分),all,2026,0.18143637822037215,1.6796577558711918,96.25,15.023315684250925,80,-0.11139704522088427,bot
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2006,-0.02202371730525071,-0.166881073393819,51.75438596491229,-2.5198489490072,228,0.008777120350048066,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2007,0.009786336606223174,0.08229150065788553,54.32098765432099,1.2827975415349089,243,0.006587540415961967,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2008,-0.022741211745710158,-0.15416347231917263,47.791164658634536,-2.4326585607475972,249,-0.01710287524707669,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2009,-0.004736425931277439,-0.03441320096624595,53.441295546558706,-0.5408459068751267,247,0.020259023700316986,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2010,0.010962122237694072,0.09425401716092487,60.8,1.4902868642455989,250,0.016891925065930864,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2011,-0.006184363486403636,-0.050081904211009706,53.036437246963565,-0.7870989079918645,247,-0.006048119183519416,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2012,0.0033026733445040727,0.02424894637831476,46.15384615384615,0.3811021069388373,247,0.005433681256711164,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2013,0.007435458843580796,0.07408865296508507,57.377049180327866,1.1573017556178324,244,0.018650435806412465,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2014,-0.010653327543888183,-0.14598958144177415,46.558704453441294,-2.2944063717479235,247,-0.000182123752318325,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2015,0.0022227519794495334,0.021241659094814673,50.81967213114754,0.3318053221219918,244,0.0006717129644577659,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2016,-0.013676701272316478,-0.2036339391690226,46.72131147540984,-3.180863814796908,244,0.008481229135259772,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2017,-0.006797522451060916,-0.14973824943065236,43.49593495934959,-2.348552673939599,246,0.010392631313605122,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2018,-0.00681808683957441,-0.06423533895095297,48.582995951417004,-1.0095375952511736,247,0.0031951359696150957,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2019,-0.022249022415432636,-0.31689309973061025,35.9504132231405,-4.929699714076267,242,0.004054564505427943,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2020,-0.0015891072948071678,-0.012704104523618821,60.816326530612244,-0.19885068915651988,245,0.015807064305955347,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2021,-0.035195475948248206,-0.3401808546552766,38.9344262295082,-5.313794819642045,244,0.008711305614613581,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2022,-0.05406384000545879,-0.48738901892477987,33.33333333333333,-7.644398061262969,246,-0.012750518852040217,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2023,-0.0008197856379021036,-0.012318133532033001,48.53556485355649,-0.1904337230571466,239,0.015164395448252668,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2024,-0.007186512205352295,-0.08572352855045028,47.107438016528924,-1.333545143595764,242,0.01796318414396979,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2025,-0.002615233802906556,-0.019169295982096903,53.086419753086425,-0.29881975127686006,243,0.021213756497108195,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,2026,0.05277960546076865,0.6066200883769469,72.5,5.425775016511134,80,0.07026686426937709,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2006,-0.01587230094105869,-0.11277764760340563,44.29824561403509,-1.702905134810043,228,0.007915802410315868,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,2007,0.028463057019855624,0.26676930547414696,59.67078189300411,4.158521918829763,243,0.004761770903618765,top
