date,ret,n_stocks,mean_score,mean_pe,mean_pb,mean_fscore,cum_ret,year
2020-01-03,-0.10003212577935533,4,54.1125,10.887320792123667,1.3225440841959388,5.75,0.8999678742206447,2020
2020-01-31,-0.03221064261874769,5,56.42999999999999,10.274928550189639,1.4566495105361763,5.6,0.8709793306557694,2020
2020-02-27,-0.14029329337423313,2,63.44049579049402,11.299089162411565,1.3196117939684866,6.0,0.7487867718971863,2020
2020-03-27,0.1486611690666438,8,52.89670489319267,9.873526121259825,1.308535533618746,3.75,0.8601022887890604,2020
2020-04-24,0.10032188739466104,6,52.4,10.412236466189311,1.3328244758578147,3.3333333333333335,0.9463893737528466,2020
2020-05-22,0.10855283857392878,4,50.262499999999996,9.124236591187469,1.3578041705208768,3.25,1.049122626669921,2020
2020-06-19,0.068230120903084,4,51.012499999999996,10.13031832800559,1.5239892640983672,3.25,1.1207043903297706,2020
2020-07-17,0.03680722483981881,8,57.112022160228996,10.276002115478535,1.6895410012166885,5.25,1.1619544088036107,2020
2020-08-14,-0.009537920781228254,8,56.26141784807169,10.505752184800556,1.724625201033192,5.25,1.1508717797010428,2020
2020-09-11,0.025924633673350926,10,53.84152358250715,9.820524955550608,1.457260725320751,4.6,1.1807077089947897,2020
2020-10-08,0.020250981849208215,12,56.28876965208929,9.045622423980285,1.4980751448391982,4.583333333333333,1.2046181993788634,2020
2020-11-06,0.09112756118928397,13,56.355311358298394,10.013324452279763,1.4920484440175146,4.769230769230769,1.3143921180524858,2020
2020-12-04,0.004715158720473911,10,57.495538291444895,9.047149313254657,1.6596237396269093,4.3,1.3205896855100432,2020
2020-12-31,-0.06120370545144987,15,60.50333333333334,8.78190511015386,1.5463662997690917,5.266666666666667,1.2397647033758639,2020
2021-01-29,0.12409166882330645,16,62.912101018506874,7.89808714636693,1.515262099378909,5.5,1.3936091743660064,2021
2021-03-05,0.1896167475318825,12,62.92817572124054,8.544210077366763,1.4658819875284281,5.666666666666667,1.657860813339881,2021
2021-04-01,0.1621142444547581,13,58.61935114594061,8.353911487375084,1.3915968273033739,4.153846153846154,1.9266236665056264,2021
2021-04-29,-0.09001040532015718,18,56.375,8.381494985712097,1.323417106516036,3.6666666666666665,1.7532074893840477,2021
2021-05-28,0.07124452352933922,20,59.19175763261349,7.917049916461046,1.286424920793474,4.1,1.8781139216132834,2021
2021-06-25,0.009512928828688316,20,58.61249999999999,7.172841792530756,1.2298571891861472,4.1,1.8959802856817594,2021
2021-07-23,-0.08624235644576907,20,59.897499999999994,7.943580120261603,1.1854830671633962,4.25,1.732466478069842,2021
2021-08-20,0.044549737774278154,20,61.56499999999998,7.52862698998572,1.3181263152680567,4.75,1.8096474053705804,2021
2021-09-17,-0.06522487657884021,20,60.52499999999999,8.370217219119155,1.40492244899256,4.75,1.6916133767040658,2021
2021-10-15,0.06177822091407774,20,64.33249999999998,6.961540079481523,1.5425238872357467,5.1,1.7961182415912986,2021
2021-11-12,0.015578917666921188,20,62.68249999999998,7.55416476731187,1.67057961115627,5.15,1.8240998197971048,2021
2021-12-10,-0.009377322127175135,20,62.637499999999974,7.414369010826206,1.6934506521654236,5.1,1.8069946481947452,2021
2022-01-07,-0.0038237484611906626,20,62.2675,6.9214599182911245,1.4640212898305398,4.45,1.8000851551893307,2022
2022-02-11,0.007048064107090729,20,62.23990396632623,7.234635116821474,1.8293420620777447,4.9,1.8127722707613274,2022
2022-03-11,-0.07017739731728591,20,62.452499999999986,6.936347457200888,1.7067145319341648,4.8,1.6855566308703511,2022
2022-04-08,-0.06755870549991289,17,56.32647058823529,6.288198516829171,1.5490807749163131,3.4705882352941178,1.5716826068419556,2022
2022-05-06,-0.0002383064050549888,20,57.477499999999985,6.8376651276926195,1.68142989116201,3.7,1.5713080648100317,2022
2022-06-02,-0.22361361701873825,20,57.15249999999999,6.9714131282767955,1.6006845174245712,3.75,1.2199421849871466,2022
2022-07-01,0.06324116357452376,20,62.50499999999998,6.383756200449157,1.5310381892872156,4.65,1.2970927482593806,2022
2022-07-29,0.01794384726885596,20,58.269999999999996,6.540864345211867,1.569624976063351,4.3,1.3203675824276877,2022
2022-08-26,-0.15741836534148784,17,55.0,5.761402317673746,1.6445529198298268,3.411764705882353,1.1125174759520289,2022
2022-09-23,-0.042451715992409114,20,53.61,6.606570244319691,1.527929899385224,4.05,1.0652892000263214,2022
2022-10-21,0.11996002812465104,20,61.392499999999984,7.681527560187218,1.3777286292855295,5.2,1.193081322422366,2022
2022-11-18,0.031571318681543406,20,58.29142101791874,7.666100990523935,1.5821492823139305,4.95,1.2307484730655598,2022
2022-12-16,0.017395241893298042,20,57.545674371883386,6.964896156581172,1.5437387196330974,4.7,1.2521576404643424,2022
2023-01-13,0.09726146199662822,19,55.776118149440684,6.79020988136867,1.3831281870096617,4.052631578947368,1.3739443232261526,2023
2023-02-17,0.03384199355278808,18,55.15175092600114,6.598991813700941,1.3220767373979703,4.0,1.4204413381546617,2023
