cluster,n,mean_fwd60,winrate_60
2015H2_China,9,-0.0612088890082619,0.5555555555555556
2018H2_Fed_Trade,16,0.07290433964316373,0.75
2020Q1_COVID,11,0.49419270021393236,1.0
2022_FedHike,52,0.06315962275781593,0.5961538461538461
2025H1_Tariff,26,0.031028799180336568,0.34615384615384615
