regime_filter,hold_days,long_ann,short_ann,gross_cagr,gross_sharpe,gross_mdd,gross_ann_ls,net_monthly_cagr,net_monthly_sharpe,net_monthly_mdd,net_monthly_ann_ls,net_daily_cagr,net_daily_sharpe,net_daily_mdd,net_daily_ann_ls
all_regime,2697,0.2403008650268459,0.07941949885141142,0.10014716439482152,0.48985910941260985,-0.5459461698042162,0.14909274727131128,0.0350630142856887,0.26785427263374273,-0.5983911578485903,0.07896212268969305,-0.6760272036566449,-3.9502376261647285,-0.9999966735209528,-0.6748568272348507
volatile_only,1252,0.5616605662736127,0.1023731498336844,0.1479628471115444,1.1564594442620952,-0.3362978094230563,0.4168259080927399,0.11551818830073723,0.947496757228285,-0.35250231372758456,0.33042479195673446,-0.3538828783979322,-3.0227942964141077,-0.9923376376988562,-0.5986782530983977
volatile_2015,79,0.5727359754129442,-0.029072904546393885,0.389835776329708,1.3897990211918632,-0.17470913734383142,0.6197377368857884,0.32336446517766193,1.208417994901185,-0.17804480568520864,0.5210134405238693,-0.47968099878513315,-2.2378215046216834,-0.24128288286598032,-0.5408944710878889
volatile_2016,109,0.6325273107882672,0.3618881885562504,0.07049218831504112,0.6225017967822808,-0.11246184101913437,0.19898986210136282,0.03801692727540562,0.4064800939928172,-0.12285798242074153,0.12582591082577976,-0.4227492064691899,-3.6979322590069903,-0.3881096144929602,-0.6606656898388088
volatile_2017,79,0.38062848605224886,0.22873728483701194,0.034324710998876906,0.5446755440806348,-0.1349801271940635,0.123722756517888,0.011201169181145998,0.2505693993160543,-0.14404802782244308,0.05513460781798685,-0.34264162300796874,-5.337447351210966,-0.3323748109458706,-0.6820710810706221
volatile_2018,143,-0.2221312617828839,-9.258031197612038e-05,-0.17263756488923865,-0.7304217269040929,-0.3362978094230562,-0.22205916797934488,-0.20394893857583662,-0.913769466525717,-0.3506489399455267,-0.2696091729610478,-0.6182331310419007,-4.397376519336578,-0.6191042006338472,-0.780307802349375
volatile_2019,76,0.4701774612152352,0.3106496042480327,0.039337473700829406,0.6139733612638755,-0.09468982300493278,0.12185499516651999,0.013809123334357132,0.2776513904288883,-0.10282489643900083,0.05338041017317963,-0.3687024519157962,-6.112466055435862,-0.2881594399932732,-0.6826021688945427
volatile_2020,102,1.4349535911636155,-0.05216625361134852,0.6283801527083157,3.337475380228767,-0.08942518174290581,1.5684527276730136,0.5741345080735587,3.114993829044056,-0.09240198251603915,1.4121807976868492,-0.17438516616786615,-1.1121556434654574,-0.18719782208932312,-0.2703027517633052
volatile_2021,121,0.6550822227624609,0.1439613474595114,0.18669443301670063,1.0880263540414687,-0.2904846205495789,0.44708418193456567,0.14645517381556905,0.9026785065336015,-0.2967285359147923,0.3588450208178029,-0.4057232696430584,-2.618930596115875,-0.4105047744471799,-0.5900640070434106
volatile_2022,168,-0.0023016797083265095,-0.027691424161226608,-0.011248809086312428,0.08922516871875345,-0.17936658512919346,0.02610989907916572,-0.054634554902113774,-0.12885164049327044,-0.20012772359596476,-0.03654218598664116,-0.5978280298442679,-4.272311015521718,-0.5727978192280194,-0.7098206703979815
volatile_2023,74,2.650660926378305,0.2266939267422876,0.45504938154972985,4.537676180571388,-0.07672292918797574,1.9786442217272193,0.42318988917723765,4.276326426898342,-0.07950771789201805,1.797518310396974,-0.0664800612010108,-0.6893188928895423,-0.16765874211271303,-0.1531396355117962
volatile_2024,83,0.3084801328779718,0.17692511438386793,0.032963747298975,0.33330835693509936,-0.142800451995845,0.1118547466819233,-0.004176192507795662,0.13530688946637584,-0.15242591560958452,0.04398820962818495,-0.504235577481017,-3.6267209924393655,-0.3459467299578267,-0.6854456099579248
volatile_2025,119,0.40689035503923976,0.04040641138019163,0.17180513689179833,1.0466010197003008,-0.13977258700639605,0.35231486657722755,0.1276968721020737,0.8282693704891102,-0.14152508982455547,0.2698329949852143,-0.456998278366486,-3.320031964523514,-0.39727910386518683,-0.6170408446303093
volatile_2026,97,3.0494948252768506,0.22161375580130782,1.9148476553517169,3.2934797024028524,-0.10536562704871222,2.318024139302572,1.7472942606161062,3.120892475329445,-0.10829430586363442,2.1163448582739326,-0.1104274496363784,-0.15826483906529148,-0.18058248483362072,-0.05614099368460623
