regime,horizon,mean_ic,ic_ir,t_stat,p_value,n_days,n_obs_bull,n_obs_bear,bull_mean_ret,bear_mean_ret,bull_bear_spread,bull_strong_mean,bear_strong_mean,n_obs_bull_strong,n_obs_bear_strong
2016-2019,20,-0.02870247868022318,-0.21858199187098223,-6.818216688892222,1.6167733818406305e-11,973,32607,27349,0.010305659151973052,0.011741057889854035,-0.001435398737880983,0.034571254593016514,0.02823417088314606,1956,671
2016-2019,40,-0.019603775122526264,-0.15265680397996964,-4.761815736328071,2.2103471317702628e-06,973,32607,27349,0.016224817807783114,0.014537083979980669,0.001687733827802445,0.038492628176936425,0.0034107584023604014,1956,671
2016-2019,60,-0.019506918140118398,-0.156385202465095,-4.878115476103188,1.2508709428260545e-06,973,32603,27349,0.020605574774482445,0.018652338620663882,0.0019532361538185626,0.0529250247362977,0.011971763577893419,1956,671
2020-2022,20,-0.016089994374512574,-0.12457464604702713,-3.375030421981807,0.0007769382810829395,734,27784,24030,0.012484590671390523,0.017291366325870246,-0.004806775654479723,0.028546527366037088,0.06551432353584036,1517,710
2020-2022,40,-0.007386186112229906,-0.06266296024706082,-1.6976921378161434,0.08999033713738758,734,27784,24030,0.03094424510586302,0.032319538974694556,-0.0013752938688315376,0.0431026616406569,0.1320476095107719,1517,710
2020-2022,60,-0.0032323917022745847,-0.024364017319393052,-0.6600805401734916,0.509409502760795,734,27784,24030,0.05632212541582085,0.06397267912223265,-0.0076505537064117946,0.06990848519729559,0.18054663101343074,1517,710
2023-2025,20,-0.007086120076366689,-0.05875022790867052,-1.5808069579263013,0.11435953331142334,724,29817,27977,0.01096805786809261,0.01176937719441724,-0.0008013193263246305,0.0007298545584119476,0.019535523031824386,1035,1049
2023-2025,40,-0.015592457943590736,-0.13349659273429235,-3.5920259404249615,0.0003503367769999155,724,29817,27977,0.025409316981135473,0.021264687396375524,0.004144629584759949,-0.007639570530018207,0.04385681222015699,1035,1049
2023-2025,60,-0.009165882007707104,-0.06771511144841044,-1.822027303465222,0.06886384425504866,724,29817,27969,0.04123518214331762,0.031078103569522987,0.01015707857379463,-0.005818660060129446,0.06414655754724194,1035,1049
