stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
4.5,1.5,0.1,1.0,0.5834057986185919,0.0222950079248404,1.0,-0.058110870564666905,-0.002782418424732186,261.0,2016-12-02,2017-02-24,train_top5
4.5,1.5,0.1,1.2,0.5834057986185919,0.0222950079248404,1.0,-0.058110870564666905,-0.002782418424732186,261.0,2016-12-02,2017-02-24,train_top5
4.5,1.5,0.1,1.5,0.5834057986185919,0.0222950079248404,1.0,-0.058110870564666905,-0.002782418424732186,261.0,2016-12-02,2017-02-24,train_top5
4.5,1.5,0.1,1.8,0.5834057986185919,0.0222950079248404,1.0,-0.058110870564666905,-0.002782418424732186,261.0,2016-12-02,2017-02-24,train_top5
4.5,1.5,0.12,1.0,0.5834057986185919,0.0222950079248404,1.0,-0.06771363744510475,-0.003322958965272727,381.0,2016-12-02,2017-02-24,train_top5
3.0,3.0,0.14,1.2,0.5203344787242885,0.020772766602362082,241.0,-0.051916450555899746,-0.0024143095889230565,221.0,2016-12-02,2017-02-24,baseline
4.5,1.5,0.14,1.0,0.2862586523472169,0.012357798506438233,1.0,0.2947428745746591,0.01641713575742225,41.0,2016-12-30,2017-03-24,train_top5
4.5,1.5,0.14,1.2,0.2862586523472169,0.012357798506438233,1.0,0.2947428745746591,0.01641713575742225,41.0,2016-12-30,2017-03-24,train_top5
4.5,1.5,0.14,1.5,0.2862586523472169,0.012357798506438233,1.0,0.2947428745746591,0.01641713575742225,41.0,2016-12-30,2017-03-24,train_top5
4.5,1.5,0.14,1.8,0.2862586523472169,0.012357798506438233,1.0,0.2947428745746591,0.01641713575742225,41.0,2016-12-30,2017-03-24,train_top5
4.5,1.5,0.16,1.0,0.2862586523472169,0.012357798506438233,1.0,0.27563296802289994,0.0158289004633046,121.0,2016-12-30,2017-03-24,train_top5
