scenario,n,mean_20d,win_20d,mean_40d,win_40d,mean_60d,win_60d
A,1230,0.012182024446717924,0.508130081300813,0.020680473367487743,0.5130081300813009,0.027182693343174028,0.491869918699187
B,1156,0.015835397312390094,0.532871972318339,0.03254078280360444,0.523356401384083,0.05629882559511495,0.5320069204152249
C_low,695,0.01208714992311318,0.5381294964028777,0.039095621702576355,0.5323741007194245,0.058798659306175734,0.5251798561151079
C_mid,1842,0.014696942819878897,0.5190010857763301,0.03297477911087471,0.5190010857763301,0.050463491704400086,0.5331161780673181
