quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m,scenario
2015-12-31,240,-0.16785222069001596,-0.15189758399064845,-0.18858195638592565,P/B bottom 20%
2016-03-31,240,-0.10750449340435624,-0.0905443725567167,-0.1163637284524188,P/B bottom 20%
2016-06-30,241,-0.07440739788756932,-0.05571064157891115,0.010077022986288174,P/B bottom 20%
2016-09-30,243,0.006157387529924806,0.05803416644079287,-0.01313475965881861,P/B bottom 20%
2016-12-31,246,0.11234541419198253,-0.0005319573316417942,0.07054065352368165,P/B bottom 20%
2017-03-31,248,-0.06860445181266168,-0.014463721491760631,0.012808052703335448,P/B bottom 20%
2017-06-30,248,0.039677089225027676,-0.02138658283807505,0.04169264592657077,P/B bottom 20%
2017-09-30,249,0.04942234093048646,-0.01904719219234383,-0.03204422509010687,P/B bottom 20%
2017-12-31,253,-0.044365061712477984,-0.03809959563357453,-0.04126796774759904,P/B bottom 20%
2018-03-31,255,0.08988772379684275,0.057096204057393705,-0.014630856391602406,P/B bottom 20%
2018-06-30,256,-0.0646123509351894,-0.03983792270757511,-0.12869032258979807,P/B bottom 20%
2018-09-30,257,-0.09841220016190312,-0.1259633899763673,-0.05339005545831081,P/B bottom 20%
2018-12-31,259,-0.03669558867104251,-0.020661501848410004,-0.03147178748840662,P/B bottom 20%
2019-03-31,260,0.010320335333315335,-0.0381712463501999,0.0028939130953872486,P/B bottom 20%
2019-06-30,262,0.013274660866009437,-0.022726086029964638,0.08754825290645078,P/B bottom 20%
2019-09-30,262,0.01327621747753717,0.0853350020360325,0.018442557620670475,P/B bottom 20%
2019-12-31,266,0.07813301966667051,-0.014246100471866679,-0.07289021684417613,P/B bottom 20%
2020-03-31,265,-0.043749496482341665,-0.0822749415588707,-0.06971865138806567,P/B bottom 20%
2020-06-30,267,-0.10439363277209289,-0.21325676703411453,-0.18805388810721538,P/B bottom 20%
2020-09-30,267,-0.13294832905596599,-0.04550127700464133,0.006182669376793425,P/B bottom 20%
2020-12-31,273,0.04794686955408669,0.09642002493713607,0.06992578352342897,P/B bottom 20%
2021-03-31,275,0.014018938254588362,0.05393009635540411,0.06055613942200212,P/B bottom 20%
2021-06-30,276,0.10948659482940193,0.06658521226001782,0.027197783406603563,P/B bottom 20%
2021-09-30,276,0.05140405439626139,0.06474384604920594,-0.02234463274160317,P/B bottom 20%
2021-12-31,277,-0.0755879928397253,-0.17119280653948046,-0.061220633598431023,P/B bottom 20%
2022-03-31,276,-0.21047463212695766,-0.17144375832777947,-0.05935730731939051,P/B bottom 20%
2022-06-30,277,-0.10315342097809256,-0.04791930672352633,0.03572525681428968,P/B bottom 20%
2022-09-30,275,0.015669663412725257,0.038158845885839995,0.019145558932770854,P/B bottom 20%
2022-12-31,279,0.16957927149216737,0.11307096471385233,0.09880984060560628,P/B bottom 20%
2023-03-31,279,-0.0794942914982279,-0.011067932948555074,-0.009335961409312105,P/B bottom 20%
2023-06-30,281,0.024276183614157152,0.06712376526340302,-0.03980320354345363,P/B bottom 20%
2023-09-30,281,0.0940185522656413,0.09040546163318673,-0.017264639213958977,P/B bottom 20%
2023-12-31,284,0.022312210428453345,-0.0326556830296369,-0.11352507037728034,P/B bottom 20%
2024-03-31,283,-0.08065413016768515,0.05182156962470479,-0.030333770729575694,P/B bottom 20%
