score,label,horizon,universe,decile,mean_ret,median_ret,std_ret,win_rate,n_days
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,1,0.004898348614907316,0.007408980764971052,0.028712492748544833,0.626196335794367,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,2,0.0025443941087879163,0.005021551835501294,0.0232805438293366,0.6086956521739131,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,3,0.0024513900831043757,0.004503315256880847,0.022614497799563888,0.6168990976210008,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,4,0.0026696562243882366,0.00454537929319608,0.023036694376425266,0.61744599398414,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,5,0.002791784089120955,0.00455481317540887,0.023693041872491757,0.6199070276182663,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,6,0.0026121320798197126,0.004694927100375773,0.023878224739471203,0.6177194421657096,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,7,0.0023525954782808367,0.004664193760503118,0.02397461347152756,0.6190866830735575,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,8,0.002291959687320032,0.0046556324723930976,0.02537775382023424,0.61744599398414,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,9,0.0024341231549043574,0.004498520620901839,0.026793710053224246,0.6177194421657096,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,all,10,0.0028880492625095087,0.0049084446327985025,0.026698933401086814,0.616078753076292,3657
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,1,0.006879273653800359,0.008680004030683234,0.0382543389459394,0.6114934618031659,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,2,0.003293316578844932,0.005929468186440551,0.03137644701094428,0.5891259463179629,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,3,0.0030876936343511106,0.005320957304015027,0.030033914169067512,0.5922229869236063,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,4,0.0026232732287907326,0.0053000341999561145,0.02977838970591942,0.5870612525808672,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,5,0.002641238200273971,0.00497448684433122,0.02997985982266947,0.5946317962835512,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,6,0.002046589724824982,0.004694337500687727,0.030429796179487916,0.5788024776324845,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,7,0.001852888412875209,0.00440022225223608,0.030977545687078892,0.578114246386786,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,8,0.001764533338633612,0.004302138576765341,0.03124265089669989,0.5719201651754989,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,9,0.0017332662872367164,0.003935220980041658,0.03153928152247762,0.5698554714384033,2906
combo_all_equal,全 15 指標等權（方向 flipped）,5,momentum,10,0.0018540994031084471,0.003206916219561865,0.03167590490601884,0.5633172746042671,2906
