n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,run,period,side,cfg_min_hold,cfg_tp,cfg_rebal,cfg_defer
51,0.98,14.66,10.1,1.352,-5.23,52.9,rule4_monthly_hold40,OOS_2025,dual,40,none,4,3
309,5.94,7.41,13.46,0.476,-33.72,34.0,rule4_monthly_hold40,FULL_2020_2025,value,40,none,4,3
309,5.94,7.48,15.83,0.409,-22.76,41.1,rule4_monthly_hold40,FULL_2020_2025,qm,40,none,4,3
309,5.94,7.9,11.24,0.614,-19.19,51.8,rule4_monthly_hold40,FULL_2020_2025,dual,40,none,4,3
155,2.98,5.09,14.12,0.289,-33.72,34.8,rule4_monthly_hold60,IS_2020_2022,value,60,none,4,3
155,2.98,4.8,13.34,0.285,-19.24,41.3,rule4_monthly_hold60,IS_2020_2022,qm,60,none,4,3
155,2.98,5.32,10.81,0.399,-14.78,49.0,rule4_monthly_hold60,IS_2020_2022,dual,60,none,4,3
51,0.98,13.95,6.21,2.085,-1.72,17.6,rule4_monthly_hold60,OOS_2023,value,60,none,4,3
51,0.98,9.22,9.39,0.875,-7.4,52.9,rule4_monthly_hold60,OOS_2023,qm,60,none,4,3
51,0.98,11.69,6.22,1.718,-3.75,52.9,rule4_monthly_hold60,OOS_2023,dual,60,none,4,3
52,1.0,5.25,10.98,0.387,-4.81,28.8,rule4_monthly_hold60,OOS_2024,value,60,none,4,3
52,1.0,11.65,6.11,1.744,-3.03,48.1,rule4_monthly_hold60,OOS_2024,qm,60,none,4,3
52,1.0,8.58,6.69,1.133,-2.82,50.0,rule4_monthly_hold60,OOS_2024,dual,60,none,4,3
51,0.98,-0.24,13.97,-0.089,-15.7,27.5,rule4_monthly_hold60,OOS_2025,value,60,none,4,3
51,0.98,10.85,9.95,0.99,-7.85,43.1,rule4_monthly_hold60,OOS_2025,qm,60,none,4,3
51,0.98,5.52,8.73,0.517,-5.08,52.9,rule4_monthly_hold60,OOS_2025,dual,60,none,4,3
309,5.94,6.79,13.15,0.44,-33.72,34.0,rule4_monthly_hold60,FULL_2020_2025,value,60,none,4,3
309,5.94,12.09,14.74,0.752,-19.24,46.3,rule4_monthly_hold60,FULL_2020_2025,qm,60,none,4,3
309,5.94,9.82,10.68,0.826,-14.78,53.1,rule4_monthly_hold60,FULL_2020_2025,dual,60,none,4,3
155,2.98,6.03,7.57,0.664,-10.44,14.2,rule4_qtr_hold0,IS_2020_2022,value,0,none,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule4_qtr_hold0,IS_2020_2022,qm,0,none,13,3
155,2.98,4.12,7.37,0.424,-13.34,40.6,rule4_qtr_hold0,IS_2020_2022,dual,0,none,13,3
51,0.98,0.0,0.0,,0.0,0.0,rule4_qtr_hold0,OOS_2023,value,0,none,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule4_qtr_hold0,OOS_2023,qm,0,none,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule4_qtr_hold0,OOS_2023,dual,0,none,13,3
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule4_qtr_hold0,OOS_2024,value,0,none,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule4_qtr_hold0,OOS_2024,qm,0,none,13,3
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule4_qtr_hold0,OOS_2024,dual,0,none,13,3
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,rule4_qtr_hold0,OOS_2025,value,0,none,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule4_qtr_hold0,OOS_2025,qm,0,none,13,3
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,rule4_qtr_hold0,OOS_2025,dual,0,none,13,3
309,5.94,1.71,8.04,0.088,-17.77,11.7,rule4_qtr_hold0,FULL_2020_2025,value,0,none,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule4_qtr_hold0,FULL_2020_2025,qm,0,none,13,3
309,5.94,4.18,7.11,0.448,-13.34,42.1,rule4_qtr_hold0,FULL_2020_2025,dual,0,none,13,3
155,2.98,6.03,7.57,0.664,-10.44,14.2,rule4_qtr_hold20,IS_2020_2022,value,20,none,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule4_qtr_hold20,IS_2020_2022,qm,20,none,13,3
155,2.98,4.12,7.37,0.424,-13.34,40.6,rule4_qtr_hold20,IS_2020_2022,dual,20,none,13,3
51,0.98,0.0,0.0,,0.0,0.0,rule4_qtr_hold20,OOS_2023,value,20,none,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule4_qtr_hold20,OOS_2023,qm,20,none,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule4_qtr_hold20,OOS_2023,dual,20,none,13,3
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule4_qtr_hold20,OOS_2024,value,20,none,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule4_qtr_hold20,OOS_2024,qm,20,none,13,3
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule4_qtr_hold20,OOS_2024,dual,20,none,13,3
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,rule4_qtr_hold20,OOS_2025,value,20,none,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule4_qtr_hold20,OOS_2025,qm,20,none,13,3
