range,fill_rate,n_fill,fwd20_fill,fwd40_fill,win20_fill,fwd20_nofill,delta_fill_vs_nofill
narrow (0.99/1.01),0.9672963640056876,4762,0.012319218219149037,0.028343524509848925,0.5193196136077278,0.06271944145204258,-0.050400223232893546
live (0.98/1.02),0.9900467194799919,4874,0.013262656783948109,0.029877923801349043,0.520927369716865,0.08407669527354074,-0.07081403848959263
wide (0.95/1.05),0.9983749746089783,4915,0.013860654771686512,0.030649426279966387,0.5222787385554425,0.07960362881592262,-0.06574297404423611
