combo,regime,stop_mult,be_mult,stop_ceil,ma20_mult,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp_trigger_rate,be_arm_rate,false_stop_rate,rr_median,avg_holding_ret
baseline,volatile,3.0,3.0,0.14,1.2,5349,0.028381984056981682,0.12206201856473282,0.23252101178328408,0.532809871003926,0.2796784445690783,0.18433352028416528,0.4127874369040942,0.12967914438502673,0.8592910848549945,0.08078067185858041
baseline,neutral,3.0,3.0,0.14,1.2,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277,0.857755977927652,0.0762032265756289
baseline,ranging,3.0,3.0,0.14,1.2,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933,0.8080922440057525,0.07343427196919475
baseline,trending,3.0,3.0,0.14,1.2,1898,-0.00027282649999422635,0.11533184128065747,-0.0023655782909969255,0.4067439409905163,0.38777660695468913,0.15489989462592202,0.35932560590094836,0.06521739130434782,0.7090336134453787,0.06437522515750449
baseline,ALL,3.0,3.0,0.14,1.2,12797,0.018944265922700626,0.12076982024029137,0.15686258276287818,0.49628819254512774,0.314839415488005,0.17543174181448776,0.40017191529264673,0.10871183916604617,0.8324382384532765,0.07608096647275656
best_pess,volatile,2.0,1.5,0.16,1.0,5349,0.02730472470667691,0.11683183759955196,0.23370962288777372,0.4974761637689288,0.3853056646102075,0.1779771919985044,0.6318938119274631,0.18583212032993693,1.147636529713525,0.09568275065799636
best_pess,neutral,2.0,1.5,0.16,1.0,2900,0.01644678545219086,0.11446904644436634,0.1436788892985515,0.44551724137931037,0.4489655172413793,0.17379310344827587,0.6220689655172413,0.18202764976958524,1.1515151515151512,0.09482110825884736
best_pess,ranging,2.0,1.5,0.16,1.0,2650,0.01687188234588921,0.11197405302292349,0.15067671384936987,0.45962264150943394,0.43433962264150944,0.16150943396226414,0.5966037735849057,0.15030408340573415,1.0566178029117825,0.09073303344148037
best_pess,trending,2.0,1.5,0.16,1.0,1898,0.0001074985600923437,0.10634540346688981,0.0010108435022846373,0.36617492096944154,0.5305584826132771,0.14488935721812435,0.5421496311907271,0.12413108242303873,0.941774348055193,0.08721693045244974
best_pess,ALL,2.0,1.5,0.16,1.0,12797,0.01864993129257091,0.11416046536215892,0.16336593612689365,0.45838868484801126,0.4314292412284129,0.16871141673829804,0.6090489958584043,0.16627422568375294,1.095885310017537,0.09343706945066547
best_opt,volatile,2.0,1.5,0.14,1.0,5349,0.027181851413863607,0.11666211970549412,0.2329963786230047,0.49672836044120394,0.38624041876986354,0.17760329033464198,0.6318938119274631,0.18731848983543078,1.1532144116946732,0.09563998387434637
best_opt,neutral,2.0,1.5,0.14,1.0,2900,0.016483085384849116,0.1144070126208302,0.1440740825868573,0.44551724137931037,0.4496551724137931,0.17379310344827587,0.6220689655172413,0.18174846625766872,1.1515151515151512,0.0950671309390358
best_opt,ranging,2.0,1.5,0.14,1.0,2650,0.016796704799785293,0.11195490721180394,0.15003098317082375,0.4592452830188679,0.4354716981132076,0.16150943396226414,0.5966037735849057,0.15077989601386482,1.0619984121713648,0.09094957697364735
best_opt,trending,2.0,1.5,0.14,1.0,1898,0.00014904795281700078,0.10623680962215,0.0014029784341897708,0.36617492096944154,0.5310853530031612,0.14488935721812435,0.5421496311907271,0.12400793650793651,0.9460974015723302,0.0873221449618001
best_opt,ALL,2.0,1.5,0.14,1.0,12797,0.018597392479698098,0.11405010035454775,0.16306335918937687,0.45799796827381417,0.43228881769164645,0.1685551301086192,0.6090489958584043,0.1668474331164136,1.0983715527864952,0.09352931647718632
