freq_weeks,freq_label,n_periods,mean_period_ret,std,cagr,sharpe_ann,mdd,final_cum
1,weekly,309,0.006076150174911252,0.040469603279178215,0.31234241463807644,1.0484162951355356,-0.4658944453369763,5.028895125800263
2,biweekly,155,0.01273649695697733,0.05969752778814509,0.32627745957133003,1.0550266903945047,-0.4512134602007007,5.38380876510034
4,monthly,78,0.023076947644228997,0.09038895030580937,0.2756352818921264,0.8898390429274629,-0.49221779625174034,4.308827774139248
13,quarterly,24,0.11147224007806467,0.21987763344808703,0.4215956340059328,0.9912080493971019,-0.3882927335115879,8.253848364615102
