feature,target,direction,n,n_pos,baseline,auc,lift_top10,lift_top5,lift10_1999-2007,lift10_2008-2014,lift10_2015-2026,lift_min_epoch,lift_max_epoch,lift_stable,auc_5d_5pct,lift10_5d_5pct,pass_filter
range_5d_avg,fwd_21d_mdd_10pct,1,6769,651,0.09617373319544985,0.7532957820317172,2.3038071186925237,2.3004091730897325,1.3290986010407957,2.8879717813051147,1.539100658313867,1.3290986010407957,2.8879717813051147,Y,0.7747151802900932,2.856720827178729,True
rv_20d,fwd_21d_mdd_10pct,1,6753,638,0.09447652895009626,0.7279660734562474,2.145111851013708,3.1628656489399196,2.0,3.379541446208113,1.392519643236356,1.392519643236356,3.379541446208113,Y,0.7620612468783007,2.8794985502302577,True
rv_10d,fwd_21d_mdd_10pct,1,6763,645,0.09537187638621913,0.7267526754195904,2.137322661536876,2.56719032265441,1.527377521613833,2.765079365079365,1.0993576130813336,1.0993576130813336,2.765079365079365,Y,0.7634432466708941,3.073741620270424,True
move_level,fwd_21d_mdd_10pct,1,5780,385,0.06660899653979238,0.7210363130845059,2.4632707534261944,3.012987012987013,1.0320581896551724,2.9494179894179897,1.9788437035464006,1.0320581896551724,2.9494179894179897,Y,0.7186152901303957,3.019686660643274,True
vix_term,fwd_21d_mdd_10pct,1,4868,333,0.06840591618734593,0.6937585876946406,2.581521973719099,4.014128882981343,1.6911196911196913,2.8265255731922396,2.1254247186239117,1.6911196911196913,2.8265255731922396,Y,0.7797874614782098,3.8512315883979125,True
vix_level,fwd_21d_mdd_10pct,1,6773,653,0.09641222501107338,0.6854105986447667,1.8969674793442564,2.1964507702008826,1.6338028169014085,1.966278659611993,2.1254247186239117,1.6338028169014085,2.1254247186239117,Y,0.7331164403813977,2.8102823430257056,True
vix3m_level,fwd_21d_mdd_10pct,1,4868,333,0.06840591618734593,0.658709205346471,1.8235904616272716,2.156845369960124,1.6911196911196913,1.7819400352733685,1.392519643236356,1.392519643236356,1.7819400352733685,Y,0.7317221632511691,3.2321461769314532,True
ma_dist_60,fwd_21d_mdd_10pct,-1,6714,638,0.09502532022639261,0.6561392683274139,2.850117554858934,3.22595723242275,2.226232114467409,3.871111111111111,2.931620301550223,2.226232114467409,3.871111111111111,Y,0.6873253856668272,3.1152561247216033,True
rsi14,fwd_21d_mdd_10pct,-1,6760,642,0.09497041420118343,0.643594459533637,2.05607476635514,2.3676012461059193,1.3934966042395553,2.580740740740741,2.931620301550223,1.3934966042395553,2.931620301550223,Y,0.6818507931052309,2.158590308370044,True
vix_5d_chg,fwd_21d_mdd_10pct,1,6773,653,0.09641222501107338,0.62207784083516,1.988756228344785,1.9218944239257725,2.2535211267605635,2.273509700176367,1.8322626884688895,1.8322626884688895,2.273509700176367,Y,0.6153776581127008,2.1077117572692794,True
ma_dist_20,fwd_21d_mdd_10pct,-1,6754,638,0.09446254071661238,0.6063388388747537,2.2863701285451947,2.505611099775556,1.5526158250910984,3.072310405643739,3.664525376937779,1.5526158250910984,3.664525376937779,Y,0.6552292010121804,2.9840747237786043,True
ret_20d,fwd_21d_mdd_10pct,-1,6753,638,0.09447652895009626,0.604891871316999,2.4112936135482554,2.755764129769435,1.3823529411764706,3.6867724867724867,3.3713633467827564,1.3823529411764706,3.6867724867724867,Y,0.6470616796413485,2.9016485390781823,True
foreign_5d_z,fwd_21d_mdd_10pct,-1,2611,133,0.05093833780160858,0.5963334486336908,1.5735235034150261,1.7983125753314584,,,1.5735235034150261,,,?,0.5793850301473669,1.7182153198210055,False
ret_5d,fwd_21d_mdd_10pct,-1,6768,650,0.09604018912529551,0.5777928936052505,2.322390637427565,2.4571817562968006,1.5590583700440528,2.9494179894179897,2.931620301550223,1.5590583700440528,2.9494179894179897,Y,0.6017535766941755,2.372925154609054,False
inst_5d_z,fwd_21d_mdd_10pct,-1,2611,133,0.05093833780160858,0.5742594986254984,1.5735235034150261,1.648453194053837,,,1.5735235034150261,,,?,0.5905377343024208,1.6036676318329386,False
move_5d_chg,fwd_21d_mdd_10pct,1,5775,385,0.06666666666666667,0.5513040021203286,1.6868512110726643,2.0761245674740487,1.8275862068965518,1.5361552028218695,1.8322626884688895,1.5361552028218695,1.8322626884688895,Y,0.5207214081489091,1.457812557721435,False
gap_open,fwd_21d_mdd_10pct,-1,6772,653,0.0964264619019492,0.5483352508079297,2.1567171258588678,2.6002972439433156,1.4641434510144569,2.519294532627866,2.1254247186239117,1.4641434510144569,2.519294532627866,Y,0.5754529466101415,2.502538169794807,False
vol_ratio_20d,fwd_21d_mdd_10pct,1,6752,638,0.09449052132701422,0.5011485023836552,1.2211237038823246,1.158501975478103,0.7616605934409162,0.7988007054673721,1.029038789428815,0.7616605934409162,1.029038789428815,N,0.4280847029077118,1.0606901607582344,False
