train_start,train_end,test_start,test_end,version,test_ic_20d,test_ir_20d,test_n_weeks,test_top20_ret,best_weights
2021-08-27,2021-11-12,2021-11-19,2021-12-10,v1_current,-0.10493161166550564,-6.058672491995386,4,-0.000756424719151624,
2021-08-27,2021-11-12,2021-11-19,2021-12-10,v2_flat,-0.10628202116500939,-6.159804754507036,4,-0.000756424719151624,
2021-08-27,2021-11-12,2021-11-19,2021-12-10,v3_trained,-0.09732589386549212,-5.03656289892842,4,0.0009629300500972379,"{'trending': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2021-09-24,2021-12-10,2021-12-17,2022-01-07,v1_current,-0.1411372109435939,-2.818911225065736,4,-0.07280662947971805,
2021-09-24,2021-12-10,2021-12-17,2022-01-07,v2_flat,-0.13828354649537433,-2.754879298221178,4,-0.07331492922219536,
2021-09-24,2021-12-10,2021-12-17,2022-01-07,v3_trained,-0.13828354649537433,-2.754879298221178,4,-0.07331492922219536,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}}"
2021-10-22,2022-01-07,2022-01-14,2022-02-11,v1_current,0.24722619074254648,11.062965751306061,4,0.016802341327301774,
2021-10-22,2022-01-07,2022-01-14,2022-02-11,v2_flat,0.26096163716854615,12.688813133789942,4,0.016802341327301774,
2021-10-22,2022-01-07,2022-01-14,2022-02-11,v3_trained,0.260379751660511,9.398378162375062,4,0.016098437445239182,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}}"
2021-11-19,2022-02-11,2022-02-18,2022-03-11,v1_current,0.057054011324290256,3.2624753331327114,4,-0.019997838761773124,
2021-11-19,2022-02-11,2022-02-18,2022-03-11,v2_flat,0.05380030205708511,3.396128453777409,4,-0.019997838761773124,
2021-11-19,2022-02-11,2022-02-18,2022-03-11,v3_trained,0.09350689099654808,5.568639113667905,4,-0.01974830904798359,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 1.3, 'volume': 1.0}, 'neutral': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}}"
2021-12-17,2022-03-11,2022-03-18,2022-04-08,v1_current,0.1393226421335045,5.154790959290896,4,-0.06033820588636515,
2021-12-17,2022-03-11,2022-03-18,2022-04-08,v2_flat,0.10211855116113192,4.113522444453184,4,-0.06033820588636515,
2021-12-17,2022-03-11,2022-03-18,2022-04-08,v3_trained,0.0741123994544671,3.8041730934215012,4,-0.06370495031838629,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 1.3, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.7, 'volume': 1.0}}"
2022-01-14,2022-04-08,2022-04-15,2022-05-06,v1_current,0.09852362627624668,6.659770965514465,4,-0.05615695853117679,
2022-01-14,2022-04-08,2022-04-15,2022-05-06,v2_flat,0.08736610865852175,5.283591149126558,4,-0.05615695853117679,
2022-01-14,2022-04-08,2022-04-15,2022-05-06,v3_trained,0.12416767752047747,18.888521952430875,4,-0.05615695853117679,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 1.0, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.7, 'volume': 1.0}}"
2022-02-18,2022-05-06,2022-05-13,2022-06-02,v1_current,-0.048594516243615674,-1.2416754601835494,4,,
2022-02-18,2022-05-06,2022-05-13,2022-06-02,v2_flat,-0.05816741356356467,-1.4212989504181097,4,,
2022-02-18,2022-05-06,2022-05-13,2022-06-02,v3_trained,0.04932760534151906,1.3649893190578737,4,,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.5, 'momentum': 0.7, 'volume': 1.0}}"
2022-03-18,2022-06-02,2022-06-10,2022-07-01,v1_current,-0.055615261934046104,-1.8241503493933287,4,,
2022-03-18,2022-06-02,2022-06-10,2022-07-01,v2_flat,-0.07349156608080692,-2.8661950099823557,4,,
2022-03-18,2022-06-02,2022-06-10,2022-07-01,v3_trained,-0.02541464300388384,-0.8123936817925769,4,,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}}"
2022-04-15,2022-07-01,2022-07-08,2022-07-29,v1_current,-0.12393749327060032,-7.8117720913251105,4,0.06258127872090427,
2022-04-15,2022-07-01,2022-07-08,2022-07-29,v2_flat,-0.12321051633682986,-7.926582307150412,4,0.06258127872090427,
2022-04-15,2022-07-01,2022-07-08,2022-07-29,v3_trained,-0.1382415506597455,-11.82341791401833,4,0.06258127872090427,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}}"
2022-05-13,2022-07-29,2022-08-05,2022-08-26,v1_current,-0.0027497366569819368,-0.3393233936707576,4,-0.006701950543481917,
2022-05-13,2022-07-29,2022-08-05,2022-08-26,v2_flat,-0.002309206578539138,-0.2900824324470785,4,-0.006701950543481917,
2022-05-13,2022-07-29,2022-08-05,2022-08-26,v3_trained,0.011283734529153922,1.4165009491653193,4,-0.0052753952129466625,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 0.7, 'volume': 1.0}, 'neutral': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}}"
2022-06-10,2022-08-26,2022-09-02,2022-09-23,v1_current,0.26944513732320546,12.092132022101366,4,-0.08978912986349058,
2022-06-10,2022-08-26,2022-09-02,2022-09-23,v2_flat,0.258203880959514,10.933982940046981,4,-0.08978912986349058,
2022-06-10,2022-08-26,2022-09-02,2022-09-23,v3_trained,0.23674321851909857,11.488408631710044,4,-0.08978912986349058,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 0.5, 'volume': 1.0}}"
2022-07-08,2022-09-23,2022-09-30,2022-10-21,v1_current,-0.02643170450094916,-0.44990865571600713,3,,
2022-07-08,2022-09-23,2022-09-30,2022-10-21,v2_flat,-0.009331915975660734,-0.16427766938762428,3,,
2022-07-08,2022-09-23,2022-09-30,2022-10-21,v3_trained,0.0813903853660818,1.4090225152218991,3,,"{'trending': {'trend': 1.0, 'momentum': 1.0, 'volume': 1.0}, 'ranging': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'volatile': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}, 'neutral': {'trend': 1.3, 'momentum': 1.0, 'volume': 1.0}}"
2022-08-05,2022-10-21,2022-10-28,2022-11-18,v1_current,-0.31191822692557564,-7.700210530142373,4,0.008914232320565502,
2022-08-05,2022-10-21,2022-10-28,2022-11-18,v2_flat,-0.3048759530979333,-7.3655698886257985,4,0.008914232320565502,
