score,label,liquidity,horizon,ic_mean,ic_ir,ic_win,ic_t,n_days
sig_lambda_level,lambda level (低衝擊=高分),all,10,0.005480651457637981,0.03609087366363172,52.980132450331126,2.5476680394569575,4983
sig_lambda_level,lambda level (低衝擊=高分),all,20,-0.003200397081492399,-0.020722407555037705,51.25678664789866,-1.4613338371719646,4973
sig_lambda_level,lambda level (低衝擊=高分),all,60,-0.023873463247020794,-0.14919294658329466,48.205959862152845,-10.478614158620656,4933
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,-0.00167957381618781,-0.01446884568605065,50.52271813429835,-1.020438358035936,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,-0.008143506993109702,-0.07415756459607585,49.31506849315068,-5.224820143907372,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,0.009142960579413495,0.08126633105287165,56.25507717303005,5.702557527566227,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,-0.0004387130521682263,-0.0036130765665591397,50.663449939686366,-0.2548179722859489,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,-0.005798140342485715,-0.0505489119188452,49.69782433521354,-3.561456942184392,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,0.010683742272909299,0.09479233007754578,58.75304630381804,6.651693369638715,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,0.027921688095737918,0.186226981281129,58.6248492159228,13.13395409170162,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,0.029313999973672723,0.19437468328985982,61.24093473005641,13.69479656256424,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,0.037191100134336186,0.24016392507355777,65.94232331437856,16.85259542339919,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,-0.00961303963585045,-0.06622935900758352,47.48693204664254,-4.670930897039527,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,-0.017863387227247507,-0.13046795304835615,43.04995970991136,-9.192205716764922,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,-0.004045698122669354,-0.028418158488355688,50.101543460601135,-1.9941368277338558,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,-0.0019611629193326944,-0.0128354539036431,50.78407720144753,-0.9052408042962978,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,-0.009279448806729236,-0.06448378898832685,47.199838839645444,-4.543247900558898,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,0.0033744761296156636,0.02307754791013875,53.18846466287571,1.6193796723407226,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,0.027683727038271773,0.1736532821864986,57.94129473260957,12.247173961692175,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,0.02987626383556972,0.18456164378523185,60.07252215954875,13.00341238947272,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,0.04277848737708271,0.26081348057428544,65.86108854589764,18.301599908232646,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,-0.013223580650650196,-0.08232854973535032,47.5070365902694,-5.806351932581298,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,-0.02066706242422518,-0.137825354666231,43.976631748589845,-9.710576302277966,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,-0.007342117375348533,-0.04704190821237474,48.578391551584076,-3.30098805141121,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,-0.0051870925743867525,-0.030948111581848285,50.442299959790915,-2.182664799400062,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,-0.011902759983437443,-0.075671135825272,47.07896857373086,-5.331459803537741,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,0.0010084485434077369,0.006322099021751525,51.441917140536155,0.4436293960785903,4924
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,0.012736928893359116,0.09191814634683167,54.36268596702855,6.482673488065248,4974
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,0.006605261306020065,0.04733833847011566,52.96132151490733,3.3352538714688804,4964
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,60,-0.003923990324153866,-0.027350409670429,53.655564581640945,-1.919211591411124,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,10,-0.005731713823141337,-0.04552555110635251,48.51226377161238,-3.2107619106364154,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,20,-0.013279338354258546,-0.1117232661246277,47.01853344077357,-7.871536431523642,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),ex_bottom20pct,60,0.006659390320544362,0.055055242505624546,56.03168155970756,3.8632934883965007,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,10,-0.0014859426206776925,-0.010850348275233472,50.26135906714918,-0.7652380720855892,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,20,-0.007934860298805803,-0.06183530148739977,49.69782433521354,-4.35664696616868,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),ex_bottom20pct,60,0.011732186590248125,0.09209340354428466,58.30625507717303,6.462306404345755,4924
