date,wp,qm,twii
2016-01-15,0.0,-0.004950495049504955,-0.016716613519849988
2016-01-22,-0.0066253620380942735,0.028683298309894578,-0.0007510412921105658
2016-01-29,0.03916887207108144,0.025443003598343394,0.041827280249110865
2016-02-03,0.0,0.01941747572815533,0.0
2016-02-05,-0.012369380161772137,0.0,-0.0021780681438937632
2016-02-12,0.0,0.0,0.0
2016-02-19,0.0,-0.004761904761904745,0.0
2016-02-26,0.010824930783398523,0.12361536622980307,0.010344709068474067
2016-03-04,0.013623756379215868,0.005050524511261201,0.027628727086455473
2016-03-11,0.008112098687006908,0.017157259872807695,0.007241219772466279
2016-03-18,0.008536355096059323,-0.09554140436910008,0.012011099835593342
2016-03-25,-0.023220219094912897,-0.003582338408327168,-0.012001329614049538
2016-04-01,-0.017676482198301535,-0.045184173054667764,-0.005447453967622917
2016-04-08,-0.015038905944705583,0.015321577199266745,-0.013404462845211351
2016-04-15,0.014016001229960606,-0.027088010750729863,0.01860207790639823
2016-04-22,0.0017579760235648667,-0.027554103479681347,-0.018923250002609637
2016-04-29,-0.03668851552084451,-0.00852200302031117,-0.01849276389010923
2016-05-06,-0.03671575265266647,-0.004166354919314386,-0.027628666378364808
2016-05-13,-0.016370958124719337,0.013263916414948063,-0.011384156295933145
2016-05-20,0.010804216696474578,0.062096801977741256,0.00963158810223641
2016-05-27,0.037903204437912175,-0.006480855945858788,0.040873197452443444
2016-06-03,0.02420024525747122,-0.008643006422716815,0.014621419803093172
2016-06-08,0.0,-0.010355763134860101,0.0
2016-06-10,-0.013620470565574694,0.0,0.014919615800702779
2016-06-17,-0.002492197151599318,-0.011445003283074295,-0.01691248017289637
2016-06-24,-0.009187902454876773,0.016801576317758544,-0.010631301635772528
2016-07-01,0.0243190233177788,-0.01516346288256698,0.030818721359452184
2016-07-08,0.0003109470410982418,0.023262394437208678,-0.011138407220954716
2016-07-15,0.013664544188923822,-0.014836794916333051,0.03575311483843446
2016-07-22,0.0067893782281975845,-0.02155172413793105,0.007071631572021397
2016-07-29,-0.013230747548779176,0.01350632126866517,-0.003187512155376493
2016-08-05,-0.008194299974370933,0.007039709034889402,0.011988540044843399
2016-08-12,0.015007022692600458,-0.008085670726889458,0.006408794703432141
2016-08-19,-0.015597232693852714,0.005282542084738452,-0.012690182784437898
