oos_year,n_oos,oos_combo_mean,oos_bh_mean,oos_diff,oos_combo_sharpe,oos_bh_sharpe,oos_combo_win,oos_bh_win,ins_combo_mean,ins_bh_mean,ins_diff
2015,103,-0.01691829200089206,-0.05999864786086513,0.04308035585997307,-1.0914136962397205,-0.9765758148255332,0.23300970873786409,0.3300970873786408,0.03886417083499116,0.049084042321707384,-0.010219871486716221
2016,207,0.022934556464964437,0.025332495199438143,-0.0023979387344737063,0.5887738102638411,0.549805135591014,0.6280193236714976,0.6570048309178744,0.03834505219684434,0.04774414689454554,-0.009399094697701206
2017,548,0.05064138894394121,0.06104804922556163,-0.01040666028162042,0.5282612659830838,0.6054617339209777,0.5583941605839416,0.593065693430657,0.036075711590236745,0.04501734680808062,-0.008941635217843878
2018,492,-0.02267113955919847,-0.028564601453432217,0.005893461894233749,-0.2432068894109049,-0.22804885792363022,0.40040650406504064,0.3882113821138211,0.04440011735763737,0.05517016636787387,-0.010770049010236503
2019,487,0.016508669263650806,0.02669073404598341,-0.010182064782332603,0.2170591900414799,0.3158437402953122,0.4928131416837782,0.5092402464065708,0.04002321853407746,0.04900965639778326,-0.008986437863705801
2020,523,0.07863283063392644,0.10120461380616073,-0.022571783172234294,0.7161173001044658,0.8281447664634463,0.5391969407265774,0.5755258126195029,0.032831306574323184,0.040335275054622366,-0.007503968480299182
2021,607,0.040201953332392994,0.06510938122371164,-0.024907427891318647,0.324639358808874,0.4633093548664024,0.44810543657331137,0.5189456342668863,0.037344794642215705,0.04422702244165142,-0.006882227799435717
2022,391,-0.02870643724964592,-0.05751791105189889,0.028811473802252973,-0.5575252699723733,-0.6251993188772896,0.25831202046035806,0.3350383631713555,0.043426067147656025,0.05580201378690489,-0.012375946639248868
2023,573,0.09500750171219544,0.10746986407088582,-0.012462362358690388,0.6765957556798834,0.7403566183030393,0.5881326352530541,0.6335078534031413,0.030147912843098285,0.03881034279272251,-0.008662429949624226
2024,577,0.041631226136568264,0.05502583516062186,-0.013394609024053594,0.4245938240426471,0.4678720794382197,0.48180242634315423,0.5303292894280762,0.03717475882829398,0.045709920932646496,-0.008535162104352519
2025,415,0.0606674523741574,0.08590428853256363,-0.025236836158406224,0.3451179397326863,0.442766158391741,0.38795180722891565,0.472289156626506,0.03558245931971833,0.043202072653049366,-0.007619613333331034
