stock_id,entry_date,regime,year,ret_3stage,exit_day,hit_S1,hit_S2,hit_S3,ret_bh
9910,2015-10-11,ranging,2015,0.01704546800370621,60,False,False,True,-0.0625000493469231
1216,2015-10-19,ranging,2015,-0.01760563403929627,60,False,True,True,-0.10211266399588603
2308,2015-10-19,ranging,2015,-0.027355644308894478,60,False,True,True,-0.10067142441542143
2317,2015-10-19,ranging,2015,-0.02993156142354192,60,False,True,True,-0.1299885871910128
2357,2015-10-19,ranging,2015,-0.028942953020134277,60,False,True,True,-0.08053691275167785
2412,2015-10-19,ranging,2015,-0.014779600712056418,60,False,True,True,0.012024017149777633
9904,2015-10-19,ranging,2015,-0.002072507235670318,60,False,False,True,-0.11813473083812343
9910,2015-10-19,ranging,2015,-0.018469639050871067,60,False,False,True,-0.10026380246467181
1216,2015-10-26,neutral,2015,-0.01418445088854714,60,False,False,True,-0.0691489613540065
2317,2015-10-26,neutral,2015,-0.04143180747142139,60,False,True,True,-0.1510710169699614
2412,2015-10-26,neutral,2015,-0.021641802431932256,60,False,True,True,0.00995024875621886
3081,2015-10-26,neutral,2015,-0.012195144371927036,60,False,False,True,0.1707317309178178
9904,2015-10-26,neutral,2015,-0.011328511754964299,60,False,False,True,-0.19979404563069436
9910,2015-10-26,neutral,2015,-0.0342105203668196,60,False,False,True,-0.136842147955765
1216,2015-11-02,neutral,2015,0.01651378946566795,60,False,False,True,-0.02752293577981646
2308,2015-11-02,neutral,2015,-0.036144606082632036,60,False,True,True,-0.17526042365326888
2330,2015-11-02,neutral,2015,0.010909090909090757,60,False,True,True,0.0
2357,2015-11-02,neutral,2015,-0.012414383561643816,60,False,True,True,-0.08904109589041098
2412,2015-11-02,neutral,2015,-0.02114429758555858,60,False,True,True,0.014925373134328401
6176,2015-11-02,neutral,2015,-0.09309521629696804,60,False,True,True,-0.4285714285714286
9910,2015-11-02,neutral,2015,-0.013262577071049164,60,False,False,True,-0.12732092753128232
2308,2015-11-09,neutral,2015,-0.06764708159457433,60,False,False,True,-0.19761599233994764
2357,2015-11-09,neutral,2015,-0.012027491408934665,60,False,False,True,-0.05670103092783507
2412,2015-11-09,neutral,2015,-0.011088694636704699,60,False,False,True,0.03830648355503952
2882,2015-11-09,neutral,2015,-0.04781705673329306,60,False,False,True,-0.23076930546381347
6176,2015-11-09,neutral,2015,-0.057286401489871186,60,False,False,True,-0.36180904522613067
9910,2015-11-09,neutral,2015,-0.023809509486607205,60,False,False,True,-0.08201061436976398
2330,2015-11-16,neutral,2015,0.03240740740740744,60,False,True,True,0.11851851851851847
2412,2015-11-16,neutral,2015,0.01618699888483821,60,False,True,True,0.07399791081622298
2412,2015-11-23,volatile,2015,-0.007042299465704449,60,False,False,True,0.05130783094397939
3081,2015-11-23,volatile,2015,-0.059233457825914826,60,False,False,True,0.29152155664292656
4938,2015-11-23,volatile,2015,-0.05465114948361416,60,False,True,True,-0.09883720930232553
2330,2015-11-30,volatile,2015,0.003597122302158251,60,False,True,True,0.09712230215827344
2412,2015-11-30,volatile,2015,-0.011022104908605557,60,False,False,True,0.062124216018578426
4938,2015-11-30,volatile,2015,-0.05574909889405677,60,False,True,True,-0.08013939196471442
2330,2015-12-07,ranging,2015,-0.028745644599303177,60,False,True,True,0.08013937282229966
4938,2015-12-07,ranging,2015,-0.08893951760302332,60,False,False,True,-0.087799284107005
2330,2015-12-14,ranging,2015,0.003597122302158251,60,False,False,True,0.14748201438848918
2330,2015-12-21,ranging,2015,-0.014134275618374548,60,False,False,True,0.11660777385159005
8299,2015-12-21,ranging,2015,-0.04016064257028118,60,False,False,True,0.030120481927710774
2330,2015-12-28,ranging,2015,-0.027874564459930307,60,False,False,True,0.1045296167247387
2412,2015-12-28,ranging,2015,-0.005025125628140725,60,False,False,True,0.10050251256281406
2330,2016-01-03,neutral,2016,-0.010752688172043001,60,False,False,True,0.1362007168458781
2412,2016-01-03,neutral,2016,0.006110041977209768,60,False,False,True,0.11507131774875368
2412,2016-01-11,volatile,2016,0.10000000000000009,60,False,True,False,0.1100000000000001
2412,2016-01-18,volatile,2016,0.10375000000000001,60,False,True,False,0.11499999999999999
2330,2016-01-25,volatile,2016,-0.014336917562724039,60,False,False,True,0.057347670250896154
2412,2016-01-25,volatile,2016,0.07475490196078427,60,False,True,False,0.08333333333333326
2330,2016-02-01,volatile,2016,0.06336805555555558,60,False,True,True,0.02083333333333326
2412,2016-02-01,volatile,2016,0.06796116504854366,60,False,True,False,0.07766990291262132
2412,2016-02-06,volatile,2016,0.05980861244019131,60,False,True,False,0.0717703349282297
2412,2016-02-22,volatile,2016,0.05048076923076916,60,False,True,False,0.05769230769230771
2412,2016-02-29,volatile,2016,0.0390995260663507,60,False,True,False,0.04739336492891
2498,2016-02-29,volatile,2016,0.05385083415021308,60,True,True,True,-0.007335037666636457
2412,2016-03-07,volatile,2016,0.037735849056603765,60,False,True,False,0.04716981132075482
4938,2016-03-07,volatile,2016,-0.04045510641365879,60,False,True,True,-0.14538559066802537
2356,2016-03-14,volatile,2016,-0.0472102364866801,60,False,False,True,-0.0472102364866801
2412,2016-03-14,volatile,2016,0.044811320754717165,60,False,True,False,0.05660377358490565
