signal,threshold,horizon_m,n,pocket_mean,univ_mean,alpha,snr
F3_sinkhole,1,3,6195,0.023975038855010504,0.03625030475846807,-0.012275265903457566,-3.8474971690162496
F3_sinkhole,1,6,6085,0.04305515075115356,0.07578245573234324,-0.03272730498118968,-6.380656893831493
F3_sinkhole,1,12,5763,0.09153720843431659,0.16708866573632206,-0.07555145730200546,-8.549358303043398
F3_sinkhole,0,3,162276,0.03592088573706324,0.03625030475846807,-0.00032941902140482676,-0.5284483727057413
F3_sinkhole,0,6,159037,0.07392005385270647,0.07578245573234324,-0.0018624018796367658,-1.8562964997954683
F3_sinkhole,0,12,149499,0.15537548553788316,0.16708866573632206,-0.011713180198438894,-6.750879118836492
