me_date,n,ic,p,factor,horizon_m
2017-02-28,1386,0.08579851443223406,0.001387639891511889,yoy,1
2017-03-31,1386,0.06871344726685696,0.010501872161282197,yoy,1
2017-04-30,1386,0.04874111572013055,0.0696738747661117,yoy,1
2017-05-31,1413,0.0009477842544922797,0.971604828024603,yoy,1
2017-06-30,1413,0.12540206512964625,2.263466483789794e-06,yoy,1
2017-07-31,1413,0.08196480139620038,0.0020457372532066767,yoy,1
2017-08-31,1422,-0.05503504951352639,0.03797844895284202,yoy,1
2017-09-30,1422,0.07584720954968854,0.0042129358986652665,yoy,1
2017-10-31,1422,0.0316847883535928,0.23245296700571585,yoy,1
2017-11-30,1445,-0.025786678139795675,0.32730948231461743,yoy,1
2017-12-31,1445,0.029907510590840184,0.255894150332948,yoy,1
2018-01-31,1445,-0.026833705579818817,0.30804412691243477,yoy,1
2018-02-28,1452,0.06203371802174416,0.01807669593297719,yoy,1
2018-03-31,1452,0.08042591415874299,0.002162414205692508,yoy,1
2018-04-30,1451,0.013389425872485627,0.6103224606179163,yoy,1
2018-05-31,1461,-0.06912429065966208,0.008216528376717535,yoy,1
2018-06-30,1461,-0.005647527199204878,0.8292351986216899,yoy,1
2018-07-31,1461,-0.03468442015014255,0.18516864414713044,yoy,1
2018-08-31,1468,-0.013017463997212757,0.6182347459789409,yoy,1
2018-09-30,1467,-0.009772635452324699,0.7084074124359713,yoy,1
2018-10-31,1466,-0.024766664114526875,0.3433270625164273,yoy,1
2018-11-30,1481,-0.09258903721116095,0.00035994698318907766,yoy,1
2018-12-31,1481,0.018650970479207194,0.4732409118398704,yoy,1
2019-01-31,1481,0.05863937320146342,0.02402680633920711,yoy,1
2019-02-28,1509,0.12194262649772385,2.0263482474576512e-06,yoy,1
2019-03-31,1510,-0.027462179232404665,0.2862146283972385,yoy,1
2019-04-30,1511,0.0844459384115005,0.0010172893292793106,yoy,1
2019-05-31,1547,0.013930560746241133,0.5840356901640141,yoy,1
2019-06-30,1547,-0.008014267117089378,0.7527868742087642,yoy,1
2019-07-31,1547,0.003158459475053404,0.9012137925808262,yoy,1
2019-08-31,1553,-0.023283932508572722,0.359162808933454,yoy,1
2019-09-30,1553,-0.02225722880028914,0.3807485530089768,yoy,1
2019-10-31,1553,0.01624003139754896,0.5224873214687853,yoy,1
2019-11-30,1572,-0.0713042083704807,0.004677348358054726,yoy,1
2019-12-31,1572,0.005470325037873233,0.8284273149968411,yoy,1
2020-01-31,1572,-0.005896661696337788,0.8152880855912504,yoy,1
2020-02-29,1577,0.12295007302965462,9.718907440875043e-07,yoy,1
2020-03-31,1577,0.0073504094333506804,0.7705405001535008,yoy,1
2020-04-30,1577,0.08532683740570252,0.0006939613384354651,yoy,1
2020-05-31,1600,0.01088793926341363,0.6634244487894253,yoy,1
2020-06-30,1600,0.0709835190241195,0.004501385683627134,yoy,1
2020-07-31,1600,-0.01219786157741418,0.6258677119257067,yoy,1
2020-08-31,1603,-0.12356453139349786,6.963412915897908e-07,yoy,1
2020-09-30,1604,0.039279090894255755,0.11583305792319662,yoy,1
2020-10-31,1604,-0.029112155238079848,0.24390610281824626,yoy,1
2020-11-30,1610,0.012907342888394553,0.6047904659638204,yoy,1
2020-12-31,1610,0.044627722621891464,0.07342500882235434,yoy,1
2021-01-31,1610,0.028994490967326925,0.2449353449396572,yoy,1
2021-02-28,1613,0.10124259952235097,4.6323666699129975e-05,yoy,1
2021-03-31,1613,0.023225400455430038,0.35124086116512343,yoy,1
2021-04-30,1613,-0.028921565832155226,0.2456845044675914,yoy,1
2021-05-31,1624,-0.020038350769889034,0.4196766187399893,yoy,1
2021-06-30,1624,-0.0059081766239792635,0.8119496033708464,yoy,1
2021-07-31,1624,-0.13088284371879247,1.2022387190144392e-07,yoy,1
