scenario,twii_regime,n,mean_20d,win_20d,mean_40d,win_40d,mean_60d,win_60d
A,bear,131,-0.004896636820696903,0.46564885496183206,-0.016747428568552863,0.44274809160305345,-0.027206388917358406,0.42748091603053434
A,bull,1080,0.014792202437323744,0.5157407407407407,0.026588130028824843,0.5259259259259259,0.035390517347584485,0.5037037037037037
A,unknown,19,-0.018433112596594928,0.3684210526315789,-0.057067634033709534,0.2631578947368421,-0.06436889342701282,0.2631578947368421
B,bear,129,0.00046879015950991273,0.5348837209302325,0.01079379915021244,0.5503875968992248,0.014027733335643647,0.5503875968992248
B,bull,1007,0.018858076256522152,0.5382323733862959,0.03736917314040665,0.5273088381330685,0.06478501567980878,0.5372393247269116
B,unknown,20,-0.037241871388581836,0.25,-0.0703006260900085,0.15,-0.09833230009562935,0.15
C_low,bear,130,0.011471952723811336,0.5692307692307692,0.06376236025599105,0.6461538461538462,0.10338423117347038,0.5769230769230769
C_low,bull,559,0.013080579299300368,0.5348837209302325,0.03436527061805011,0.5080500894454383,0.04962061839883746,0.5134168157423972
C_low,unknown,6,-0.06713808097345297,0.16666666666666666,-0.054639337579713086,0.3333333333333333,-0.05213458661819261,0.5
C_mid,bear,244,-0.0009252718362392662,0.5122950819672131,0.0002204539486452673,0.45901639344262296,0.019294323485666096,0.45491803278688525
C_mid,bull,1568,0.018269206971495706,0.5248724489795918,0.039646229416527616,0.5331632653061225,0.05756107862743596,0.5510204081632653
C_mid,unknown,30,-0.04495271763486531,0.26666666666666666,-0.04931784554511789,0.26666666666666666,-0.06699448329390484,0.23333333333333334
