version,regime,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp_trigger_rate,be_arm_rate,false_stop_rate
V1_current,ALL,12797,0.017670090310442,0.11718600976750525,0.15078668815073673,0.4980073454715949,0.3123388294131437,0.20246932874892554,0.40017191529264673,0.10933199899924943
V1_current,trending,1898,0.0008124196274948502,0.11315759682956048,0.007179541190844904,0.3904109589041096,0.4541622760800843,0.13119072708113805,0.35932560590094836,0.08700696055684455
V1_current,ranging,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933
V1_current,volatile,5349,0.024948553049307747,0.11448353652862361,0.21792262718115818,0.5427182650962796,0.2501402131239484,0.2574312955692653,0.4127874369040942,0.12406576980568013
V1_current,neutral,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277
V2_all_one,ALL,12797,0.018944265922700626,0.12076982024029137,0.15686258276287818,0.49628819254512774,0.314839415488005,0.17543174181448776,0.40017191529264673,0.10871183916604617
V2_all_one,trending,1898,-0.00027282649999422635,0.11533184128065747,-0.0023655782909969255,0.4067439409905163,0.38777660695468913,0.15489989462592202,0.35932560590094836,0.06521739130434782
V2_all_one,ranging,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933
V2_all_one,volatile,5349,0.028381984056981682,0.12206201856473282,0.23252101178328408,0.532809871003926,0.2796784445690783,0.18433352028416528,0.4127874369040942,0.12967914438502673
V2_all_one,neutral,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277
V3_trending_only,ALL,12797,0.0191052252998964,0.12043931965473997,0.15862946880358353,0.4938657497851059,0.32468547315777135,0.17191529264671407,0.40017191529264673,0.11191335740072202
V3_trending_only,trending,1898,0.0008124196274948502,0.11315759682956048,0.007179541190844904,0.3904109589041096,0.4541622760800843,0.13119072708113805,0.35932560590094836,0.08700696055684455
V3_trending_only,ranging,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933
V3_trending_only,volatile,5349,0.028381984056981682,0.12206201856473282,0.23252101178328408,0.532809871003926,0.2796784445690783,0.18433352028416528,0.4127874369040942,0.12967914438502673
V3_trending_only,neutral,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277
V4_volatile_only,ALL,12797,0.017509130933246235,0.11752369399545484,0.14898383753937644,0.5004297882316168,0.30249277174337735,0.20598577791669923,0.40017191529264673,0.10591578403513303
V4_volatile_only,trending,1898,-0.00027282649999422635,0.11533184128065747,-0.0023655782909969255,0.4067439409905163,0.38777660695468913,0.15489989462592202,0.35932560590094836,0.06521739130434782
V4_volatile_only,ranging,2650,0.015554591815988282,0.11894593951722407,0.13077026318948773,0.4939622641509434,0.32339622641509436,0.16528301886792454,0.38452830188679243,0.09801633605600933
V4_volatile_only,volatile,5349,0.024948553049307747,0.11448353652862361,0.21792262718115818,0.5427182650962796,0.2501402131239484,0.2574312955692653,0.4127874369040942,0.12406576980568013
V4_volatile_only,neutral,2900,0.017211274026422422,0.12176579146007999,0.14134736710568674,0.4896551724137931,0.32413793103448274,0.18172413793103448,0.41793103448275865,0.11914893617021277
