score,horizon,IC,IR,n_weeks,top_decile,bot_decile,spread,grade
qm_score,5,0.021997529753605492,0.06206165702896572,445,0.00792038557333364,-0.0013398956794085386,0.009260281252742178,C
f_score,5,0.011011630168054006,0.03109898706464086,445,0.005575315110013388,-0.002588948899311264,0.008164264009324653,D
body_score,5,-0.0063685688825583404,-0.017264257742242623,445,0.007098697810996879,-0.00413734047132485,0.011236038282321729,D
trend_score,5,0.0324876803053636,0.0866491734555255,445,0.008542739691405392,0.0017336189610768708,0.006809120730328521,C
qm_score,20,0.028687388972316364,0.07552228257639487,445,0.02539600126421549,-0.00044060925867418267,0.025836610522889675,C
f_score,20,0.039995484891399556,0.105823999822355,445,0.025580022225188067,0.0001884781474816385,0.02539154407770643,B
body_score,20,-0.008791306944402713,-0.022143812264048924,445,0.02653186406738844,-0.0004245215843195446,0.026956385651707986,D
trend_score,20,0.031357755624995494,0.0836920171971069,445,0.01937737499728414,0.009447899899333253,0.009929475097950887,C
qm_score,40,0.0010678207132117541,0.0029511740439491516,445,0.03617462973273706,0.008443360962636827,0.02773126877010023,D
f_score,40,0.03171229985904812,0.0899896616092456,445,0.05540545654851444,0.002267007822652488,0.05313844872586195,C
body_score,40,-0.03905583367680663,-0.10034557252828895,445,0.041490209187253727,0.006668424693403912,0.03482178449384982,B(rev)
trend_score,40,0.00032319125693736447,0.0008440987126177098,445,0.025970398011820096,0.03499347220431022,-0.009023074192490124,D
qm_score,60,0.0031070397928151918,0.008408623025424649,445,0.06284207684207038,0.017222381875822555,0.04561969496624783,D
f_score,60,0.03545853672203966,0.098831975885769,445,0.08873558023323619,0.00888787198461634,0.07984770824861985,C
body_score,60,-0.04025371311390717,-0.10826456711623775,445,0.06554332154738442,0.015513620981845775,0.05002970056553864,B(rev)
trend_score,60,0.006913495263832812,0.01822987129130498,445,0.04064161629547157,0.05379297157325081,-0.01315135527777924,D
