quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m,scenario
2015-12-31,240,0.167677920929336,0.24107292507457675,0.167677920929336,0.13876735372306356,0.2244844878178301,7,16,190,0.37365901566342813,0.3897380139169636,0.37365901566342813,0.31732706386671705,0.4001047224462377,0.6972309105520335,0.7366644252791225,0.6972309105520335,0.5655378375098795,0.6933896771513479,P/B bottom 20%
2016-03-31,240,0.08980309449877005,0.16033544474325886,0.08980309449877005,0.08544355777920168,0.11870200628728485,4,13,190,0.008336664379657355,0.2647055186547136,0.008336664379657355,0.17073746850433216,0.24806710351371264,0.1939034597445386,0.4162586856385957,0.1939034597445386,0.38479793016356917,0.3955812527813278,P/B bottom 20%
2016-06-30,241,-0.016473007732028828,0.09615904045084883,-0.016473007732028828,0.051144269561659,0.10298124083124402,6,18,180,0.11342445359755741,0.22873903577522062,0.11342445359755741,0.1649009045291912,0.2712751825845327,0.15989783977123664,0.23590127058209093,0.15989783977123664,0.2648411856938517,0.27022331892639817,P/B bottom 20%
2016-09-30,243,0.04271276383520106,0.12421952534567351,0.04271276383520106,0.08529508152669323,0.12363031828235388,4,25,170,0.1652199075645842,0.1268780389784508,0.1652199075645842,0.11683928634958829,0.11478209783952127,0.3481853641379804,0.2756519994109976,0.3481853641379804,0.21518255901710343,0.26825713708027815,P/B bottom 20%
2016-12-31,246,0.08763887426055994,0.01851676868310779,0.08763887426055994,0.0771254521203156,0.0015437818034721078,8,30,172,0.05576075804752019,0.037456030793163744,0.05576075804752019,0.10100106734681727,0.06241277499317244,0.3020477160888554,0.1058253389891055,0.3020477160888554,0.31754433929482473,0.17251424710143728,P/B bottom 20%
2017-03-31,248,0.026626490338315822,0.0539621776240411,0.026626490338315822,0.012645594329339585,0.035402302879930375,10,36,170,0.16223617704538648,0.11715160584595424,0.16223617704538648,0.08564240519153184,0.12139464771096056,0.4556306189302449,0.24077357217997342,0.4556306189302449,0.26155692322035057,0.22392336486040684,P/B bottom 20%
2017-06-30,248,0.08427021401322446,0.051430214536953,0.08427021401322446,0.07368635504498698,0.06162530584477729,7,28,188,0.20706719037468152,0.10720077326892954,0.20706719037468152,0.12223082874154453,0.11895908275075727,0.3717390192865167,0.25232141857025203,0.3717390192865167,0.2733525271584908,0.26478430157955324,P/B bottom 20%
2017-09-30,249,0.0861122303886616,0.06898480117334299,0.0861122303886616,0.08204077217883748,0.060327967469027646,10,35,181,0.12835826912716994,0.1216952593144028,0.12835826912716994,0.10426306404871577,0.13746603217610534,0.01188687862223894,0.07888237407572113,0.01188687862223894,0.07863954441899443,0.10407938997982186,P/B bottom 20%
2017-12-31,253,0.06083466383829853,0.05979208823501466,0.06083466383829853,0.06276647755069713,0.056917767029169286,3,23,190,0.014154334672224156,0.10594308911772955,0.014154334672224156,0.10000305428877147,0.13124711428041386,0.032111209260420805,0.11583749012425816,0.032111209260420805,0.05433949326071602,0.13627318847620695,P/B bottom 20%
2018-03-31,255,0.17306724469532503,0.05970275030889803,0.17306724469532503,0.14196471404747654,0.05311187399069899,7,22,186,0.04290429649565218,0.07429591391758757,0.04290429649565218,0.08755698564290323,0.03064496347241395,-0.1243444377165325,0.20805990992685286,-0.1243444377165325,0.016216006437598397,0.10235326102363308,P/B bottom 20%
