score,label,drop_year,ls_spread_20d,ic_mean,direction
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2013,0.006806192191927284,-0.010409743523081863,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2014,0.00747801649134483,-0.009674640865640866,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2015,0.007103142413355194,-0.010300223638121003,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2016,0.007075659140642145,-0.008973859483405141,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2017,0.006874574662431139,-0.008487091344074554,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2018,0.006960210970270001,-0.00911569092003176,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2019,0.00807382818485664,-0.00634113905876003,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2020,0.006191479603260164,-0.008851458959723333,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2021,0.007240921362135312,-0.007531036465978284,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2022,0.008116495907302849,-0.006523704312360833,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2023,0.0069709601506944205,-0.008916921724590663,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2024,0.006208112890128802,-0.009971604398776285,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2025,0.006092204829635012,-0.010594498265155548,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),2026,0.0060812970650339394,-0.010650539429272464,top
