theme,pair,signal,horizon_d,segment,n,n_b_weak,n_b_strong,b_weak_signal_hit_div,b_strong_signal_hit_conv,overall_acc,div_rate_baseline,conv_rate_baseline
abf_substrate,3037_欣興_vs_3189_景碩,S1_short_ratio_diff,20,ai_era_2023-2025,722,511,203,0.4521,0.4631,0.4238,0.4169,0.3296
abf_substrate,3037_欣興_vs_3189_景碩,S1_short_ratio_diff,60,pre_ai_2021-2022,423,188,235,0.6489,0.4723,0.4799,0.435,0.3617
abf_substrate,3037_欣興_vs_3189_景碩,S1_short_ratio_diff,60,ai_era_2023-2025,722,511,203,0.6321,0.4089,0.403,0.5928,0.2992
abf_substrate,3037_欣興_vs_3189_景碩,S2_sbl_diff,20,pre_ai_2021-2022,403,231,172,0.4762,0.5174,0.4218,0.4144,0.397
abf_substrate,3037_欣興_vs_3189_景碩,S2_sbl_diff,20,ai_era_2023-2025,718,368,350,0.4538,0.3514,0.3398,0.415,0.3329
abf_substrate,3037_欣興_vs_3189_景碩,S2_sbl_diff,60,pre_ai_2021-2022,403,231,172,0.5195,0.4012,0.4069,0.4591,0.33
abf_substrate,3037_欣興_vs_3189_景碩,S2_sbl_diff,60,ai_era_2023-2025,718,368,350,0.6576,0.32,0.3774,0.5905,0.3008
abf_substrate,3037_欣興_vs_3189_景碩,S3_rs_slope_5d,20,pre_ai_2021-2022,426,211,215,0.4076,0.4047,0.3075,0.4131,0.3991
abf_substrate,3037_欣興_vs_3189_景碩,S3_rs_slope_5d,20,ai_era_2023-2025,723,376,347,0.4202,0.3372,0.3223,0.4163,0.3306
abf_substrate,3037_欣興_vs_3189_景碩,S3_rs_slope_5d,60,pre_ai_2021-2022,426,211,215,0.4455,0.3628,0.3404,0.4366,0.3592
abf_substrate,3037_欣興_vs_3189_景碩,S3_rs_slope_5d,60,ai_era_2023-2025,723,376,347,0.609,0.3343,0.3679,0.5934,0.2988
abf_substrate,3037_欣興_vs_3189_景碩,S4_foreign_diff,20,pre_ai_2021-2022,422,152,270,0.3684,0.3889,0.3531,0.4076,0.4028
abf_substrate,3037_欣興_vs_3189_景碩,S4_foreign_diff,20,ai_era_2023-2025,723,369,354,0.4417,0.3898,0.3928,0.4163,0.3306
abf_substrate,3037_欣興_vs_3189_景碩,S4_foreign_diff,60,pre_ai_2021-2022,422,152,270,0.4211,0.3444,0.3318,0.4408,0.3555
abf_substrate,3037_欣興_vs_3189_景碩,S4_foreign_diff,60,ai_era_2023-2025,723,369,354,0.626,0.3446,0.3707,0.5934,0.2988
abf_substrate,3037_欣興_vs_8046_南電,S1_short_ratio_diff,20,pre_ai_2021-2022,423,378,45,0.4868,0.3111,0.3877,0.4846,0.2435
abf_substrate,3037_欣興_vs_8046_南電,S1_short_ratio_diff,20,ai_era_2023-2025,722,608,111,0.4622,0.2613,0.2798,0.4501,0.2909
abf_substrate,3037_欣興_vs_8046_南電,S1_short_ratio_diff,60,pre_ai_2021-2022,423,378,45,0.5503,0.1778,0.3759,0.5556,0.3026
abf_substrate,3037_欣興_vs_8046_南電,S1_short_ratio_diff,60,ai_era_2023-2025,722,608,111,0.6349,0.3694,0.3753,0.615,0.3006
abf_substrate,3037_欣興_vs_8046_南電,S2_sbl_diff,20,pre_ai_2021-2022,403,260,143,0.4654,0.2587,0.3176,0.4764,0.2481
abf_substrate,3037_欣興_vs_8046_南電,S2_sbl_diff,20,ai_era_2023-2025,718,384,334,0.5547,0.4102,0.4345,0.4471,0.2925
abf_substrate,3037_欣興_vs_8046_南電,S2_sbl_diff,60,pre_ai_2021-2022,403,260,143,0.6038,0.3497,0.3176,0.536,0.3176
abf_substrate,3037_欣興_vs_8046_南電,S2_sbl_diff,60,ai_era_2023-2025,718,384,334,0.7708,0.485,0.4666,0.6142,0.3008
abf_substrate,3037_欣興_vs_8046_南電,S3_rs_slope_5d,20,pre_ai_2021-2022,426,219,207,0.4429,0.1981,0.2958,0.4836,0.2418
abf_substrate,3037_欣興_vs_8046_南電,S3_rs_slope_5d,20,ai_era_2023-2025,723,372,351,0.4677,0.339,0.3624,0.4495,0.2918
abf_substrate,3037_欣興_vs_8046_南電,S3_rs_slope_5d,60,pre_ai_2021-2022,426,219,207,0.5479,0.2899,0.3239,0.554,0.3028
abf_substrate,3037_欣興_vs_8046_南電,S3_rs_slope_5d,60,ai_era_2023-2025,723,372,351,0.6317,0.3504,0.3734,0.6155,0.3001
abf_substrate,3037_欣興_vs_8046_南電,S4_foreign_diff,20,pre_ai_2021-2022,422,154,268,0.3571,0.1828,0.2725,0.4787,0.2441
abf_substrate,3037_欣興_vs_8046_南電,S4_foreign_diff,20,ai_era_2023-2025,723,369,354,0.5176,0.3927,0.4053,0.4495,0.2918
abf_substrate,3037_欣興_vs_8046_南電,S4_foreign_diff,60,pre_ai_2021-2022,422,154,268,0.487,0.2836,0.3199,0.5498,0.3057
abf_substrate,3037_欣興_vs_8046_南電,S4_foreign_diff,60,ai_era_2023-2025,723,369,354,0.6558,0.3305,0.3568,0.6155,0.3001
ccl,2383_台光電_vs_6274_台燿,S1_short_ratio_diff,20,pre_ai_2021-2022,423,90,333,0.6778,0.2372,0.4137,0.5319,0.2104
ccl,2383_台光電_vs_6274_台燿,S1_short_ratio_diff,20,ai_era_2023-2025,722,221,501,0.3937,0.3593,0.3463,0.4238,0.3504
ccl,2383_台光電_vs_6274_台燿,S1_short_ratio_diff,60,pre_ai_2021-2022,423,90,333,0.9333,0.2553,0.5461,0.6548,0.2033
ccl,2383_台光電_vs_6274_台燿,S1_short_ratio_diff,60,ai_era_2023-2025,722,221,501,0.5928,0.4371,0.4127,0.4875,0.3934
ccl,2383_台光電_vs_6274_台燿,S2_sbl_diff,20,pre_ai_2021-2022,403,156,247,0.5128,0.2389,0.3201,0.5236,0.2184
ccl,2383_台光電_vs_6274_台燿,S2_sbl_diff,20,ai_era_2023-2025,718,326,392,0.4325,0.3342,0.344,0.422,0.3524
ccl,2383_台光電_vs_6274_台燿,S2_sbl_diff,60,pre_ai_2021-2022,403,156,247,0.4487,0.1984,0.2457,0.6328,0.2159
ccl,2383_台光電_vs_6274_台燿,S2_sbl_diff,60,ai_era_2023-2025,718,326,392,0.546,0.4694,0.3343,0.4847,0.3955
ccl,2383_台光電_vs_6274_台燿,S3_rs_slope_5d,20,pre_ai_2021-2022,426,224,202,0.5,0.1931,0.3216,0.5352,0.2089
ccl,2383_台光電_vs_6274_台燿,S3_rs_slope_5d,20,ai_era_2023-2025,723,375,348,0.4293,0.3247,0.3416,0.4232,0.3513
ccl,2383_台光電_vs_6274_台燿,S3_rs_slope_5d,60,pre_ai_2021-2022,426,224,202,0.6473,0.2079,0.3451,0.6526,0.2042
ccl,2383_台光電_vs_6274_台燿,S3_rs_slope_5d,60,ai_era_2023-2025,723,375,348,0.4853,0.3534,0.3098,0.4882,0.3928
ccl,2383_台光電_vs_6274_台燿,S4_foreign_diff,20,pre_ai_2021-2022,422,283,139,0.5088,0.223,0.3602,0.5308,0.2109
ccl,2383_台光電_vs_6274_台燿,S4_foreign_diff,20,ai_era_2023-2025,723,361,362,0.4515,0.3757,0.3555,0.4232,0.3513
ccl,2383_台光電_vs_6274_台燿,S4_foreign_diff,60,pre_ai_2021-2022,422,283,139,0.6466,0.2086,0.3294,0.6493,0.2062
ccl,2383_台光電_vs_6274_台燿,S4_foreign_diff,60,ai_era_2023-2025,723,361,362,0.4654,0.3867,0.3001,0.4882,0.3928
pcb_hard,2368_金像電_vs_3044_健鼎,S1_short_ratio_diff,20,pre_ai_2021-2022,423,28,395,0.7857,0.2785,0.513,0.487,0.2624
pcb_hard,2368_金像電_vs_3044_健鼎,S1_short_ratio_diff,20,ai_era_2023-2025,722,23,696,0.5652,0.3448,0.3324,0.4266,0.3407
pcb_hard,2368_金像電_vs_3044_健鼎,S1_short_ratio_diff,60,pre_ai_2021-2022,423,28,395,0.7857,0.2228,0.4823,0.6265,0.2151
pcb_hard,2368_金像電_vs_3044_健鼎,S1_short_ratio_diff,60,ai_era_2023-2025,722,23,696,0.7391,0.2486,0.3684,0.6385,0.2479
pcb_hard,2368_金像電_vs_3044_健鼎,S2_sbl_diff,20,pre_ai_2021-2022,403,261,142,0.5364,0.2746,0.3573,0.4814,0.273
pcb_hard,2368_金像電_vs_3044_健鼎,S2_sbl_diff,20,ai_era_2023-2025,718,365,353,0.4301,0.3059,0.3134,0.4234,0.3426
pcb_hard,2368_金像電_vs_3044_健鼎,S2_sbl_diff,60,pre_ai_2021-2022,403,261,142,0.6398,0.2887,0.3896,0.603,0.2283
pcb_hard,2368_金像電_vs_3044_健鼎,S2_sbl_diff,60,ai_era_2023-2025,718,365,353,0.5644,0.1756,0.2577,0.6379,0.2493
pcb_hard,2368_金像電_vs_3044_健鼎,S3_rs_slope_5d,20,pre_ai_2021-2022,426,203,223,0.4286,0.2197,0.2887,0.4883,0.2606
pcb_hard,2368_金像電_vs_3044_健鼎,S3_rs_slope_5d,20,ai_era_2023-2025,723,368,355,0.4185,0.3324,0.3057,0.426,0.3416
pcb_hard,2368_金像電_vs_3044_健鼎,S3_rs_slope_5d,60,pre_ai_2021-2022,426,203,223,0.5961,0.2108,0.3052,0.6244,0.216
pcb_hard,2368_金像電_vs_3044_健鼎,S3_rs_slope_5d,60,ai_era_2023-2025,723,368,355,0.6277,0.2338,0.3015,0.639,0.2476
pcb_hard,2368_金像電_vs_3044_健鼎,S4_foreign_diff,20,pre_ai_2021-2022,416,236,180,0.5042,0.2556,0.3413,0.4952,0.262
pcb_hard,2368_金像電_vs_3044_健鼎,S4_foreign_diff,20,ai_era_2023-2025,723,371,352,0.407,0.3438,0.3472,0.426,0.3416
pcb_hard,2368_金像電_vs_3044_健鼎,S4_foreign_diff,60,pre_ai_2021-2022,416,236,180,0.6144,0.2,0.3462,0.6202,0.2212
pcb_hard,2368_金像電_vs_3044_健鼎,S4_foreign_diff,60,ai_era_2023-2025,723,371,352,0.5741,0.1733,0.3043,0.639,0.2476
advanced_test,3711_日月光_vs_2449_京元電,S1_short_ratio_diff,20,pre_ai_2021-2022,423,183,240,0.3169,0.3292,0.3499,0.3239,0.2979
advanced_test,3711_日月光_vs_2449_京元電,S1_short_ratio_diff,20,ai_era_2023-2025,722,392,330,0.3546,0.5242,0.374,0.2812,0.446
advanced_test,3711_日月光_vs_2449_京元電,S1_short_ratio_diff,60,pre_ai_2021-2022,423,183,240,0.3661,0.4583,0.409,0.3428,0.4208
advanced_test,3711_日月光_vs_2449_京元電,S1_short_ratio_diff,60,ai_era_2023-2025,722,392,330,0.4719,0.7242,0.4834,0.3061,0.5512
advanced_test,3711_日月光_vs_2449_京元電,S2_sbl_diff,20,pre_ai_2021-2022,402,183,219,0.3279,0.3333,0.3582,0.2985,0.3159
advanced_test,3711_日月光_vs_2449_京元電,S2_sbl_diff,20,ai_era_2023-2025,717,330,387,0.2091,0.3953,0.2762,0.2831,0.4435
advanced_test,3711_日月光_vs_2449_京元電,S2_sbl_diff,60,pre_ai_2021-2022,402,183,219,0.3443,0.4247,0.3706,0.3159,0.4428
advanced_test,3711_日月光_vs_2449_京元電,S2_sbl_diff,60,ai_era_2023-2025,717,330,387,0.297,0.5426,0.3152,0.3068,0.5495
advanced_test,3711_日月光_vs_2449_京元電,S3_rs_slope_5d,20,pre_ai_2021-2022,426,212,214,0.25,0.229,0.3122,0.3239,0.3005
advanced_test,3711_日月光_vs_2449_京元電,S3_rs_slope_5d,20,ai_era_2023-2025,723,372,351,0.2742,0.433,0.3568,0.2808,0.4467
advanced_test,3711_日月光_vs_2449_京元電,S3_rs_slope_5d,60,pre_ai_2021-2022,426,212,214,0.283,0.4065,0.2817,0.3427,0.4202
advanced_test,3711_日月光_vs_2449_京元電,S3_rs_slope_5d,60,ai_era_2023-2025,723,372,351,0.3199,0.5499,0.3264,0.3071,0.5505
advanced_test,3711_日月光_vs_2449_京元電,S4_foreign_diff,20,pre_ai_2021-2022,422,176,246,0.4318,0.3171,0.3104,0.3246,0.3033
advanced_test,3711_日月光_vs_2449_京元電,S4_foreign_diff,20,ai_era_2023-2025,723,416,307,0.3197,0.4853,0.3679,0.2808,0.4467
advanced_test,3711_日月光_vs_2449_京元電,S4_foreign_diff,60,pre_ai_2021-2022,422,176,246,0.392,0.4797,0.3744,0.3389,0.4242
advanced_test,3711_日月光_vs_2449_京元電,S4_foreign_diff,60,ai_era_2023-2025,723,416,307,0.3438,0.5798,0.3513,0.3071,0.5505
semi_equipment,6515_穎崴_vs_6223_旺矽,S1_short_ratio_diff,20,pre_ai_2021-2022,350,119,231,0.7647,0.368,0.4714,0.5257,0.2914
semi_equipment,6515_穎崴_vs_6223_旺矽,S1_short_ratio_diff,20,ai_era_2023-2025,722,386,335,0.3705,0.5104,0.3892,0.3615,0.4889
semi_equipment,6515_穎崴_vs_6223_旺矽,S1_short_ratio_diff,60,pre_ai_2021-2022,350,119,231,0.9664,0.303,0.5914,0.6943,0.2029
semi_equipment,6515_穎崴_vs_6223_旺矽,S1_short_ratio_diff,60,ai_era_2023-2025,722,386,335,0.285,0.6179,0.3324,0.3019,0.633
semi_equipment,6515_穎崴_vs_6223_旺矽,S2_sbl_diff,20,pre_ai_2021-2022,351,83,268,0.5301,0.3209,0.2821,0.5214,0.2963
semi_equipment,6515_穎崴_vs_6223_旺矽,S2_sbl_diff,20,ai_era_2023-2025,717,346,371,0.3902,0.504,0.3375,0.3626,0.4881
semi_equipment,6515_穎崴_vs_6223_旺矽,S2_sbl_diff,60,pre_ai_2021-2022,351,83,268,0.9518,0.2649,0.4672,0.6952,0.2023
semi_equipment,6515_穎崴_vs_6223_旺矽,S2_sbl_diff,60,ai_era_2023-2025,717,346,371,0.3295,0.6496,0.3989,0.3013,0.6332
semi_equipment,6515_穎崴_vs_6223_旺矽,S3_rs_slope_5d,20,pre_ai_2021-2022,426,218,208,0.4633,0.4231,0.3286,0.439,0.3967
semi_equipment,6515_穎崴_vs_6223_旺矽,S3_rs_slope_5d,20,ai_era_2023-2025,723,375,348,0.4053,0.5287,0.3831,0.361,0.4896
semi_equipment,6515_穎崴_vs_6223_旺矽,S3_rs_slope_5d,60,pre_ai_2021-2022,426,218,208,0.6055,0.2788,0.3333,0.6268,0.277
semi_equipment,6515_穎崴_vs_6223_旺矽,S3_rs_slope_5d,60,ai_era_2023-2025,723,375,348,0.304,0.6293,0.325,0.3015,0.6335
semi_equipment,6515_穎崴_vs_6223_旺矽,S4_foreign_diff,20,pre_ai_2021-2022,422,179,243,0.3911,0.3745,0.2796,0.4431,0.391
semi_equipment,6515_穎崴_vs_6223_旺矽,S4_foreign_diff,20,ai_era_2023-2025,723,369,354,0.3062,0.4096,0.2849,0.361,0.4896
semi_equipment,6515_穎崴_vs_6223_旺矽,S4_foreign_diff,60,pre_ai_2021-2022,422,179,243,0.6648,0.3086,0.3863,0.6327,0.2701
semi_equipment,6515_穎崴_vs_6223_旺矽,S4_foreign_diff,60,ai_era_2023-2025,723,369,354,0.187,0.5254,0.2296,0.3015,0.6335
semi_equipment,6223_旺矽_vs_6510_中華精測,S1_short_ratio_diff,20,pre_ai_2021-2022,426,225,201,0.4444,0.3731,0.4085,0.4413,0.2817
semi_equipment,6223_旺矽_vs_6510_中華精測,S1_short_ratio_diff,20,ai_era_2023-2025,724,317,404,0.5615,0.4134,0.4033,0.518,0.3591
semi_equipment,6223_旺矽_vs_6510_中華精測,S1_short_ratio_diff,60,pre_ai_2021-2022,426,225,201,0.6044,0.4527,0.4577,0.5141,0.3028
semi_equipment,6223_旺矽_vs_6510_中華精測,S1_short_ratio_diff,60,ai_era_2023-2025,724,317,404,0.7129,0.3762,0.4309,0.6367,0.2887
semi_equipment,6223_旺矽_vs_6510_中華精測,S2_sbl_diff,20,pre_ai_2021-2022,407,195,212,0.5128,0.283,0.3292,0.457,0.2654
semi_equipment,6223_旺矽_vs_6510_中華精測,S2_sbl_diff,20,ai_era_2023-2025,724,349,375,0.6218,0.432,0.4019,0.518,0.3591
semi_equipment,6223_旺矽_vs_6510_中華精測,S2_sbl_diff,60,pre_ai_2021-2022,407,195,212,0.5538,0.3868,0.4251,0.4914,0.317
semi_equipment,6223_旺矽_vs_6510_中華精測,S2_sbl_diff,60,ai_era_2023-2025,724,349,375,0.6819,0.3227,0.3467,0.6367,0.2887
semi_equipment,6223_旺矽_vs_6510_中華精測,S3_rs_slope_5d,20,pre_ai_2021-2022,426,220,206,0.4045,0.2233,0.2958,0.4413,0.2817
semi_equipment,6223_旺矽_vs_6510_中華精測,S3_rs_slope_5d,20,ai_era_2023-2025,724,365,359,0.5589,0.3788,0.355,0.518,0.3591
semi_equipment,6223_旺矽_vs_6510_中華精測,S3_rs_slope_5d,60,pre_ai_2021-2022,426,220,206,0.5,0.3058,0.3169,0.5141,0.3028
semi_equipment,6223_旺矽_vs_6510_中華精測,S3_rs_slope_5d,60,ai_era_2023-2025,724,365,359,0.6438,0.3148,0.3287,0.6367,0.2887
semi_equipment,6223_旺矽_vs_6510_中華精測,S4_foreign_diff,20,pre_ai_2021-2022,422,265,157,0.4453,0.2803,0.3104,0.4455,0.2749
