theme,pair,signal,horizon_d,segment,n,n_b_weak,n_b_strong,b_weak_signal_hit_div,b_strong_signal_hit_conv,overall_acc,div_rate_baseline,conv_rate_baseline
silicon_wafer,6488_環球晶_vs_5483_中美晶,S3_rs_slope_5d,60,ai_era_2023-2025,723,361,362,0.4155,0.2928,0.332,0.4232,0.3126
silicon_wafer,6488_環球晶_vs_5483_中美晶,S4_foreign_diff,20,pre_ai_2021-2022,422,145,277,0.3241,0.444,0.3981,0.2512,0.3791
silicon_wafer,6488_環球晶_vs_5483_中美晶,S4_foreign_diff,20,ai_era_2023-2025,723,394,329,0.2817,0.2188,0.2932,0.3375,0.2407
silicon_wafer,6488_環球晶_vs_5483_中美晶,S4_foreign_diff,60,pre_ai_2021-2022,422,145,277,0.131,0.574,0.3009,0.2441,0.5972
silicon_wafer,6488_環球晶_vs_5483_中美晶,S4_foreign_diff,60,ai_era_2023-2025,723,394,329,0.4391,0.2796,0.3638,0.4232,0.3126
optical_lens,3008_大立光_vs_3406_玉晶光,S1_short_ratio_diff,20,pre_ai_2021-2022,423,406,17,0.3818,0.0,0.4113,0.4019,0.3783
optical_lens,3008_大立光_vs_3406_玉晶光,S1_short_ratio_diff,20,ai_era_2023-2025,722,638,81,0.3386,0.3704,0.356,0.331,0.3463
optical_lens,3008_大立光_vs_3406_玉晶光,S1_short_ratio_diff,60,pre_ai_2021-2022,423,406,17,0.4212,0.3529,0.435,0.4232,0.4303
optical_lens,3008_大立光_vs_3406_玉晶光,S1_short_ratio_diff,60,ai_era_2023-2025,722,638,81,0.4075,0.358,0.3629,0.3878,0.3532
optical_lens,3008_大立光_vs_3406_玉晶光,S2_sbl_diff,20,pre_ai_2021-2022,403,212,191,0.3915,0.2723,0.2829,0.3896,0.3896
optical_lens,3008_大立光_vs_3406_玉晶光,S2_sbl_diff,20,ai_era_2023-2025,718,307,411,0.355,0.365,0.3412,0.3315,0.3482
optical_lens,3008_大立光_vs_3406_玉晶光,S2_sbl_diff,60,pre_ai_2021-2022,403,212,191,0.5425,0.4346,0.4119,0.4392,0.4069
optical_lens,3008_大立光_vs_3406_玉晶光,S2_sbl_diff,60,ai_era_2023-2025,718,307,411,0.43,0.3601,0.3287,0.3844,0.3538
optical_lens,3008_大立光_vs_3406_玉晶光,S3_rs_slope_5d,20,pre_ai_2021-2022,426,218,208,0.3853,0.3702,0.3474,0.4014,0.3803
optical_lens,3008_大立光_vs_3406_玉晶光,S3_rs_slope_5d,20,ai_era_2023-2025,723,362,361,0.2983,0.2881,0.2849,0.3306,0.3472
optical_lens,3008_大立光_vs_3406_玉晶光,S3_rs_slope_5d,60,pre_ai_2021-2022,426,218,208,0.4037,0.4423,0.3451,0.4225,0.4319
optical_lens,3008_大立光_vs_3406_玉晶光,S3_rs_slope_5d,60,ai_era_2023-2025,723,362,361,0.3923,0.3324,0.3057,0.3873,0.3527
optical_lens,3008_大立光_vs_3406_玉晶光,S4_foreign_diff,20,pre_ai_2021-2022,422,212,210,0.3538,0.3905,0.3365,0.3957,0.3839
optical_lens,3008_大立光_vs_3406_玉晶光,S4_foreign_diff,20,ai_era_2023-2025,723,340,383,0.2971,0.3368,0.3057,0.3306,0.3472
optical_lens,3008_大立光_vs_3406_玉晶光,S4_foreign_diff,60,pre_ai_2021-2022,422,212,210,0.4528,0.4667,0.4171,0.4265,0.4265
optical_lens,3008_大立光_vs_3406_玉晶光,S4_foreign_diff,60,ai_era_2023-2025,723,340,383,0.3471,0.342,0.2835,0.3873,0.3527
