aum_per_stock,net_cagr,net_sharpe,net_vol,net_mdd,net_total,net_years
1M,0.23288430689909112,1.4582651183257584,0.15153492265118532,-0.28504109917647946,7.127273062897579,10.01
5M,0.2054273978114327,1.3074014961126015,0.15181334052222228,-0.287791936766742,5.487159239472712,10.01
20M,0.1571656131295318,1.0309375897273028,0.15304839765173023,-0.29275044347418594,3.3098120765355636,10.01
50M,0.10328319632864269,0.7098559397183831,0.15563916491987462,-0.2984848471669864,1.6742919826907103,10.01
