score,label,liquidity,horizon,decile,mean_ret,median_ret,win_rate,n_days
sig_rvol_log_rn,log(RVOL),all,10,1,0.0031885321303475977,0.005215436101943899,0.5742931622217766,4987
sig_rvol_log_rn,log(RVOL),all,10,2,0.004125246907601556,0.00843959060103573,0.5939442550631642,4987
sig_rvol_log_rn,log(RVOL),all,10,3,0.004895539744578454,0.008845227492764998,0.6013635452175656,4987
sig_rvol_log_rn,log(RVOL),all,10,4,0.005433715039988084,0.009336497600147028,0.6129937838379788,4987
sig_rvol_log_rn,log(RVOL),all,10,5,0.005718877061660828,0.009440480252373788,0.6143974333266493,4987
sig_rvol_log_rn,log(RVOL),all,10,6,0.006398197699378332,0.010103914462989791,0.6200120312813314,4987
sig_rvol_log_rn,log(RVOL),all,10,7,0.006486201962043809,0.009914594898419535,0.6248245438139162,4987
sig_rvol_log_rn,log(RVOL),all,10,8,0.006999466115591544,0.010268979326383194,0.6318427912572689,4987
sig_rvol_log_rn,log(RVOL),all,10,9,0.007454645271304526,0.010414238708112143,0.6298375777020253,4987
sig_rvol_log_rn,log(RVOL),all,10,10,0.008055101386770106,0.010703641914863754,0.6262281933025867,4987
sig_rvol_log_rn,log(RVOL),all,20,1,0.00846132624958061,0.010677725530835335,0.5925256178420736,4977
sig_rvol_log_rn,log(RVOL),all,20,2,0.009969818441748457,0.013349194309179383,0.6015672091621459,4977
sig_rvol_log_rn,log(RVOL),all,20,3,0.010575913680824047,0.013889716223174304,0.6023709061683745,4977
sig_rvol_log_rn,log(RVOL),all,20,4,0.011126902555064993,0.013830384977329923,0.6098051034759896,4977
sig_rvol_log_rn,log(RVOL),all,20,5,0.011161632603392677,0.014257054302089489,0.617842073538276,4977
sig_rvol_log_rn,log(RVOL),all,20,6,0.012388251303092573,0.015229140213929132,0.6210568615631907,4977
sig_rvol_log_rn,log(RVOL),all,20,7,0.012354224094971927,0.015017954827770156,0.6236688768334337,4977
sig_rvol_log_rn,log(RVOL),all,20,8,0.013594831963259382,0.015179129008274773,0.6323086196503918,4977
sig_rvol_log_rn,log(RVOL),all,20,9,0.014163728058571436,0.016602987020046853,0.6389391199517782,4977
sig_rvol_log_rn,log(RVOL),all,20,10,0.01589260792326625,0.01860363560865621,0.6387381957002211,4977
sig_atr_pct_rn,ATR% (raw rank),all,10,1,0.00320188955254024,0.004222686722629667,0.611865761086696,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,2,0.0034651524879050883,0.005926193940548988,0.6082700759089094,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,3,0.004287141679399672,0.007022143308773413,0.6138633639632441,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,4,0.005053084242381,0.008085390917940083,0.6132640831002797,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,5,0.00523816970844841,0.008665456444961262,0.6156612065521374,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,6,0.005223405833458804,0.009679254917179456,0.6050739113064323,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,7,0.006225622406201405,0.010812985188042967,0.6090691170595286,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,8,0.007469033137359544,0.011010682329993016,0.6184578505793048,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,9,0.008308111455540992,0.011746334067448155,0.6100679184978026,5006
sig_atr_pct_rn,ATR% (raw rank),all,10,10,0.009462777526053444,0.012630779775669114,0.6012784658409908,5006
sig_atr_pct_rn,ATR% (raw rank),all,20,1,0.006662288409169157,0.007605856459040684,0.6375100080064051,4996
