slide,test_start,test_end,V1_ret,V1_sharpe,V1_n,Vcleana_ret,Vcleana_sharpe,Vcleana_n,V8_ret,V8_sharpe,V8_n,V10_ret,V10_sharpe,V10_n,V11_ret,V11_sharpe,V11_n
0,2022-05-07,2022-08-07,-0.1409366806756701,-2.9028794151508612,13,-0.14119852302669714,-2.8899575207428754,13,-0.13972405535396068,-2.907900639760951,13,-0.14156861653821046,-3.2239961253951313,13,-0.14499985231942517,-3.615209247490974,13
1,2022-08-07,2022-11-07,0.07080232214152406,0.606911381279504,13,0.07034795395889308,0.6013459294880001,13,0.0685647382268335,0.5863219289685491,13,0.08108282272630861,0.7010069987627896,13,0.07810992257209262,0.6568007296088241,13
2,2022-11-07,2023-02-07,0.12275341930836997,2.5037006904758305,12,0.12051264514754943,2.4784647103017505,12,0.12325029330552918,2.4872858491808962,12,0.12762655323501004,2.498471799443409,12,0.13284164606346308,2.5912884914186085,12
3,2023-02-07,2023-05-07,0.09171210016033272,2.452130442221356,13,0.09153555038774994,2.4298523257925333,13,0.08485919218519358,2.514043175483434,13,0.09691896873521434,2.7291086542819385,13,0.10068182319833598,2.7865630536191883,13
4,2023-05-07,2023-08-07,0.03017911235101343,0.7108946294499009,13,0.028876543203864735,0.7408839296281114,13,0.031718188760652404,0.8170266611305594,13,0.03318474870065593,0.7766655303034325,13,0.03421964661723738,0.7748111453125064,13
5,2023-08-07,2023-11-07,0.10797972764321023,3.683713576257353,13,0.11064721043918177,3.7974993533888295,13,0.10828456369579025,3.615118514997045,13,0.10747880869919217,3.4069051364649106,13,0.10625103405142734,3.3109632814866288,13
6,2023-11-07,2024-02-07,0.09513368390850076,2.2729813903488463,14,0.09549962493424011,2.345164815012363,14,0.09519766090839568,2.3401557586209973,14,0.1014961508176354,2.6435966734387595,14,0.11360375360662053,4.36655798075255,14
7,2024-02-07,2024-05-07,0.07999228990322522,0.9298233858858826,12,0.07906340912747388,0.9146822276759078,12,0.08103349318781446,0.9738923378336818,12,0.0790022935192129,0.9336461746969944,12,0.08745158215504512,1.3708991629844869,12
8,2024-05-07,2024-08-07,-0.001356495707307307,-0.025681592272547092,13,-0.0007191873109904998,-0.013950642718777637,13,-0.0031990365070984532,-0.062078363717028844,13,0.006057415308169379,0.10671523636978389,13,0.00031059390604991995,0.005328570461482285,13
9,2024-08-07,2024-11-07,0.006757756056367239,0.15803863224127473,13,0.00569330832073931,0.12969481987669124,13,0.007606068741333891,0.18293411045964353,13,0.01687399624407633,0.3629085574984872,13,0.019329459996235195,0.42349239612668027,13
10,2024-11-07,2025-02-07,-0.07508538953957412,-0.6542096489498185,12,-0.07559990781419447,-0.6603659055135317,12,-0.07640602774489669,-0.6714820318942294,12,-0.06953244167276142,-0.6238031379659964,12,-0.06171861169535341,-0.5905167791112466,12
11,2025-02-07,2025-05-07,-6.990208600654152e-05,-0.0004711122757566659,13,-7.048359751058313e-05,-0.00047350709042771807,13,-0.0008278403798160339,-0.0055847764388283865,13,0.0015701858913832617,0.011090722406477455,13,0.003243859344997636,0.02462141486378072,13
12,2025-05-07,2025-08-07,0.1501736599417443,4.649749873764202,13,0.14860728185411654,4.944665999327596,13,0.1512723671502371,4.542701939715749,13,0.15216354588419057,4.124373238604924,13,0.14677902305048512,4.042378202954829,13
13,2025-08-07,2025-11-07,0.06598839896833596,1.0863586751765286,13,0.0652286132822491,1.098682452021299,13,0.06742252219428933,1.1252882109242872,13,0.06851937177213702,1.1187065640958218,13,0.07667330276658707,1.3518964209133915,13
14,2025-11-07,2026-02-07,0.3052562944881113,4.101669593670681,9,0.300451558421696,3.7111094576377925,9,0.304868319001136,3.769190740713113,9,0.3071962491339555,3.942933281502798,9,0.3147004604413724,4.447591965293509,9
