score,label,regime,ic_mean,ic_t,ls_spread_20d,monotonic_rho,direction,n_obs
sig_lambda_level,lambda level (低衝擊=高分),low_vol,0.03935590758974694,9.854685185536793,-0.0016658248792639175,0.12727272727272726,bot,483674
sig_lambda_level,lambda level (低衝擊=高分),mid_vol,0.014738357897274176,4.237287139145327,0.006838310330888057,-0.8424242424242423,bot,545273
sig_lambda_level,lambda level (低衝擊=高分),high_vol,0.038840222627440676,10.733347686623942,-0.002660102137571103,-0.10303030303030303,bot,582094
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),low_vol,-0.018451147197389807,-5.342109116866186,0.0031278254627337965,0.24848484848484845,top,483674
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),mid_vol,-0.011520834373768829,-3.735423450679508,0.007098931746682673,0.6484848484848483,top,545273
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),high_vol,-0.025841929081128017,-7.147953170390081,0.008354055048897769,0.8060606060606059,top,582094
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),low_vol,-0.008314589549537019,-2.4016516969743837,0.004429629043707037,0.5636363636363636,top,483674
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),mid_vol,-0.003106040992441895,-0.9556089048044463,0.00835685752563234,0.8303030303030302,top,545273
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),high_vol,-0.01860300119397759,-4.717088915032567,0.008226309005109345,0.8303030303030302,top,582094
