feature,n_valid,ic_60d,ic_40d,ic_20d,hit_top_decile_60d,best_lag_60d,best_lag_ic,abs_ic_60d
buffett_indicator_us,3087,-0.370842886027649,-0.32902513330765665,-0.2813089142360017,0.22330097087378642,10,-0.3814583509041609,0.370842886027649
eem_close,3196,-0.3457944235660904,-0.30178421267920735,-0.22967484485460962,0.215625,60,-0.3936729425054918,0.3457944235660904
buffett_indicator_tw,3196,-0.34166709397565775,-0.32511182310672,-0.2819935182063474,0.29375,60,-0.3658254147325931,0.34166709397565775
tlt_spy_ratio,3196,0.3166655949411809,0.2892217317544957,0.24975021710034534,0.20249221183800623,3,0.31889302692514154,0.3166655949411809
ewj_close,3196,-0.2961765256282834,-0.2670228857024561,-0.22035951589433958,0.17027863777089783,60,-0.3584028184425282,0.2961765256282834
hy_oas,890,0.2954009931043432,0.1680565490474879,0.17281155584121408,0.37362637362637363,59,0.4441473880069555,0.2954009931043432
us_buffett_strict_rank,3196,0.28904369776662714,0.28039084989985164,0.2577237368834937,0.5451713395638629,0,0.28904369776662714,0.28904369776662714
us_durable_yoy,3196,-0.2735486381967341,-0.23923969050155608,-0.1898368417989838,0.20535714285714285,1,-0.2736846613545336,0.2735486381967341
eem_to_spy_ratio,3196,0.2323055782771455,0.22630871580125433,0.22866751445949524,0.309375,2,0.23239999395491287,0.2323055782771455
fed_bs_trillion,3196,-0.22978634526164063,-0.22704712062302235,-0.19184777197884795,0.5046153846153846,60,-0.24212379871720668,0.22978634526164063
st_louis_fsi,3196,0.2287902256022985,0.16938971121527455,0.10244283972914003,0.284375,12,0.25701619661340447,0.2287902256022985
buffett_rank_tw,3196,-0.22112239710745388,-0.17673078234342296,-0.10397672293116682,0.2125,60,-0.33908792574953195,0.22112239710745388
hyg_dollar_flow,3196,-0.21784832502043613,-0.21868077386841614,-0.22946558549168297,0.3,0,-0.21784832502043613,0.21784832502043613
hyg_dollar_flow_ma20,3196,-0.2162254593167947,-0.22446550852607172,-0.22418545744944318,0.23125,0,-0.2162254593167947,0.2162254593167947
usdjpy_close,3196,-0.20554264866575894,-0.1864314227463783,-0.15712755509916881,0.365625,16,-0.21898852126086207,0.20554264866575894
emb_volume,3196,-0.19713753393129627,-0.19038588076293364,-0.1808456189590635,0.225,0,-0.19713753393129627,0.19713753393129627
fxi_volume,3196,-0.19631505403918742,-0.17463306229668107,-0.1945632510459348,0.328125,0,-0.19631505403918742,0.19631505403918742
margin_to_index_ratio,3196,0.19163130463070915,0.2006765972703871,0.20370156921567348,0.03115264797507788,3,0.19247554612730938,0.19163130463070915
foreign_holding_chg_4w,3173,0.18336466904924464,0.16149645257784398,0.10977322493314907,0.22327044025157233,16,0.20250836981201528,0.18336466904924464
us_claims_ma4,3196,0.18118462950184444,0.13415574400120825,0.09130377005230073,0.30606060606060603,0,0.18118462950184444,0.18118462950184444
us_claims_yoy,3196,0.17689917506056593,0.12397155710072619,0.07726665669152664,0.22429906542056074,57,0.22360373044391874,0.17689917506056593
emb_close,3196,-0.16980460063606037,-0.14671239984501475,-0.11075618629662091,0.115625,60,-0.24821768826479693,0.16980460063606037
buffett_rank_us,2779,-0.1645192515603655,-0.10293327767289857,-0.07641156250144837,0.15412186379928317,21,-0.23820263083914106,0.1645192515603655
foreign_cum_20d,3196,0.1639852474571132,0.1693295691368005,0.1518737195823689,0.42857142857142855,22,0.190086795109543,0.1639852474571132
short_to_long_ratio,3196,0.15830490940450423,0.2063066542614936,0.1397839821668445,0.40625,58,0.1805491462860677,0.15830490940450423
margin_ratio_z_252d,2877,0.1578533782141137,0.1449225406467719,0.1600549249290009,0.1875,13,0.16484091062547793,0.1578533782141137
us_buffett_strict,3196,-0.15631412482444682,-0.1422900970009394,-0.12731895311434513,0.18478260869565216,60,-0.37646548006976666,0.15631412482444682
hy_oas_rank,638,0.15538972029127765,-0.07841746203942182,-0.11447715571724026,0.203125,60,0.48430287534292965,0.15538972029127765
us_sent_yoy,3196,0.15324269833442944,0.17324282077377076,0.19269313372754604,0.3323262839879154,0,0.15324269833442944,0.15324269833442944
yield_curve_10y_2y,3196,0.15088648049797154,0.12463570896754045,0.1104331758217538,0.17901234567901234,0,0.15088648049797154,0.15088648049797154
hyg_to_lqd_ratio,3196,-0.146369737189587,-0.142680394222713,-0.13953720629737493,0.25625,2,-0.14671111087542152,0.146369737189587
jnk_dollar_flow,3196,-0.13747084062620105,-0.14410189745279428,-0.13553383155368764,0.3625,0,-0.13747084062620105,0.13747084062620105
foreign_cum_5d,3196,0.1305883131615541,0.1481014266433611,0.1833319054943897,0.38125,0,0.1305883131615541,0.1305883131615541
vix_close,3196,-0.12915615261490515,-0.1640379198326389,-0.21057534993872104,0.265625,0,-0.12915615261490515,0.12915615261490515
eem_dollar_flow_z_252d,3196,-0.12622942542721305,-0.08974963003931223,-0.08072622056565494,0.2875,0,-0.12622942542721305,0.12622942542721305
