score,label,liquidity,horizon,decile,mean_ret,median_ret,win_rate,n_days
sig_lambda_level,lambda level (低衝擊=高分),all,10,1,0.009433914102994422,0.009053017365198287,0.6453943407585792,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,2,0.007832300458222953,0.008522506189155104,0.6191049568533012,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,3,0.006545086079078517,0.008207393139938363,0.6120810756572346,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,4,0.005913683520596898,0.008977503680816519,0.6148906281356612,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,5,0.006188682679127655,0.009406599945570273,0.6183022275737508,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,6,0.005427592789534405,0.009376795902213346,0.6026490066225165,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,7,0.004503712928049457,0.008193157065364533,0.5942203491872367,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,8,0.0042457689288981455,0.007534568267792837,0.5894039735099338,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,9,0.005265040676346417,0.008752375629888684,0.5986353602247642,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,10,0.0054638515452471075,0.009265921549257513,0.6030503712622918,4983
sig_lambda_level,lambda level (低衝擊=高分),all,20,1,0.020531537328383833,0.01758320070127977,0.6539312286346269,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,2,0.015857327866259846,0.014829905796565597,0.6289965815403177,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,3,0.013346032801280074,0.014869188881143375,0.6197466318117836,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,4,0.012074238131413582,0.014511057422346206,0.617534687311482,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,5,0.012852680121175946,0.014292117797018642,0.6195455459481198,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,6,0.010759674780472284,0.012394481387703597,0.5992358737180776,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,7,0.008904688309992737,0.010994512753942823,0.5835511763523025,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,8,0.009165758994830114,0.012160094290536758,0.5851598632616127,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,9,0.010118075663580008,0.015072037376560427,0.6064749648099739,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,10,0.01062285553346652,0.014207889109122322,0.607279308264629,4973
sig_lambda_level,lambda level (低衝擊=高分),all,60,1,0.0665045177875583,0.048366144214295005,0.7474153659031015,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,2,0.052818190571921775,0.044372875853586013,0.7099128319481046,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,3,0.04081868705860883,0.03653635195915947,0.6715994323940807,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,4,0.03577524749580442,0.03625124285178906,0.661260896006487,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,5,0.038965284177208924,0.03853623792526058,0.6689641191972431,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,6,0.03177447931907377,0.0358384672819987,0.6454490168254612,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,7,0.024062222534713337,0.03145177418922674,0.6330833164403,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,8,0.028693309897345722,0.033051720475214486,0.6229474964524631,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,9,0.027727995839982044,0.03332122242616499,0.6418001216298399,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,10,0.030994776056339955,0.03714898039744255,0.6484897628218123,4933
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,1,0.00439293483899575,0.007547478806883412,0.5874223913478871,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,2,0.0038851816531226082,0.00774713666071179,0.5898257560584819,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,3,0.0044130751190185735,0.0075576884659972286,0.597236130582816,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,4,0.004878461108071979,0.00818698044309902,0.5992389345083117,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,5,0.005035823600790979,0.00843502406741869,0.6024434207891047,4993
